uni,book,cost,family,reentry,arming,arm,s,fires,releases,blk_mean,terminal_blocked,blocked_day_frac,zero_day_frac,stuck,gross,TO,dSharpe,dd_gain,rate_DD,rate_gross,m_H1,m_H2,m_OOS,m_DD,m_CAGR,p4b,f4b,p4a,IS4b,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
u56,V1,10,STOP,-,-,control,,0,0,,0,0.0,0.0,False,0.7495210220604044,23.58532168462946,0.0,0.0,,0.4658527161269386,-0.31571123917310306,-0.14622382530707634,-0.1349469324905902,0.06402545015558125,-0.04206578006749406,False,"H1,H2,OOS,CAGR",False,False,0.06453053483847215,0.6641804017269177,-0.13827796154480831,0.6409087934305884,0.6877921123353656,0.5534299312214817,0.07730300522922962,0.747063834691694,-0.13827796154480798
u56,V1,10,STOP,free,always,s10%/free/always,0.1,53,53,2.2641509433962264,0,0.011066184294530752,0.05405405405405406,False,0.7473417070726573,23.781539009364597,-0.017498775796448096,0.004222650928938143,0.541948510541552,0.4658527161269386,-0.31908736651356395,-0.176255985086349,-0.16216210310561074,0.0682481010845194,-0.04435423944896899,False,"H1,H2,OOS,CAGR",False,False,0.062242075456997226,0.6466816259304696,-0.13405531061587017,0.6375326660901275,0.657759952556093,0.5497241916550042,0.0734040183591913,0.7198486640766735,-0.13405531061587006
u56,V1,10,STOP,free,always,s15%/free/always,0.15,7,7,2.857142857142857,0,0.0021281123643328366,0.05405405405405406,False,0.7491122878170543,23.61695668377741,-0.012817318405619282,-0.0027672576285378003,,0.4658527161269386,-0.31571123917310306,-0.17010832605567983,-0.15709511025070722,0.061258192527043454,-0.043525133757192136,False,"H1,H2,OOS,CAGR",False,False,0.06307118114877408,0.6513630833212984,-0.14104521917334611,0.6409087934305884,0.6639076115867621,0.5534299312214817,0.07460889022583972,0.724915656931577,-0.1410452191733459
u56,V1,10,STOP,free,always,s20%/free/always,0.2,0,0,,0,0.0,0.05405405405405406,False,0.7495210220604044,23.58532168462946,0.0,0.0,,0.4658527161269386,-0.31571123917310306,-0.14622382530707634,-0.1349469324905902,0.06402545015558125,-0.04206578006749406,False,"H1,H2,OOS,CAGR",False,False,0.06453053483847215,0.6641804017269177,-0.13827796154480831,0.6409087934305884,0.6877921123353656,0.5534299312214817,0.07730300522922962,0.747063834691694,-0.13827796154480798
u56,V1,10,STOP,free,always,s25%/free/always,0.25,0,0,,0,0.0,0.05405405405405406,False,0.7495210220604044,23.58532168462946,0.0,0.0,,0.4658527161269386,-0.31571123917310306,-0.14622382530707634,-0.1349469324905902,0.06402545015558125,-0.04206578006749406,False,"H1,H2,OOS,CAGR",False,False,0.06453053483847215,0.6641804017269177,-0.13827796154480831,0.6409087934305884,0.6877921123353656,0.5534299312214817,0.07730300522922962,0.747063834691694,-0.13827796154480798
u56,V1,10,STOP,free,spy_below,s10%/free/spy_below,0.1,27,27,2.2222222222222223,0,0.004681847201532241,0.05405405405405406,False,0.7484500940653169,23.667060678807804,-0.009355374770551705,0.004100447861927203,0.28731411712297694,0.4658527161269386,-0.31908736651356395,-0.16085694494157698,-0.14828387983408342,0.06812589801750846,-0.043243896624752476,False,"H1,H2,OOS,CAGR",False,False,0.06335241828121374,0.654825026956366,-0.1341775136828811,0.6375326660901275,0.673158992700865,0.5497241916550042,0.07545284703702482,0.7337268873482008,-0.134177513682881
u56,V1,10,STOP,free,spy_below,s15%/free/spy_below,0.15,5,5,2.6,0,0.0010640561821664183,0.05405405405405406,False,0.7492653832301636,23.601600742461166,-0.015070237176351142,-0.0027672576285378003,,0.4658527161269386,-0.31571123917310306,-0.17429614638959234,-0.16100478628705173,0.061258192527043454,-0.04376830360115591,False,"H1,H2,OOS,CAGR",False,False,0.0628280113048103,0.6491101645505666,-0.14104521917334611,0.6409087934305884,0.6597197912528496,0.5534299312214817,0.07416027048359974,0.7210059808952325,-0.1410452191733459
u56,V1,10,STOP,free,spy_below,s20%/free/spy_below,0.2,0,0,,0,0.0,0.05405405405405406,False,0.7495210220604044,23.58532168462946,0.0,0.0,,0.4658527161269386,-0.31571123917310306,-0.14622382530707634,-0.1349469324905902,0.06402545015558125,-0.04206578006749406,False,"H1,H2,OOS,CAGR",False,False,0.06453053483847215,0.6641804017269177,-0.13827796154480831,0.6409087934305884,0.6877921123353656,0.5534299312214817,0.07730300522922962,0.747063834691694,-0.13827796154480798
u56,V1,10,STOP,free,spy_below,s25%/free/spy_below,0.25,0,0,,0,0.0,0.05405405405405406,False,0.7495210220604044,23.58532168462946,0.0,0.0,,0.4658527161269386,-0.31571123917310306,-0.14622382530707634,-0.1349469324905902,0.06402545015558125,-0.04206578006749406,False,"H1,H2,OOS,CAGR",False,False,0.06453053483847215,0.6641804017269177,-0.13827796154480831,0.6409087934305884,0.6877921123353656,0.5534299312214817,0.07730300522922962,0.747063834691694,-0.13827796154480798
u56,V1,10,STOP,nhigh,always,s10%/nhigh/always,0.1,45,44,154.29545454545453,1,0.5850180889550969,0.05405405405405406,True,0.7358232639245739,23.281080193148988,-0.043106843504926884,0.0012647367858480418,5.01588033116631,0.4658527161269386,-0.33135688205282476,-0.213576861669583,-0.19515013144855675,0.0652901869414293,-0.04840954843573175,False,"H1,H2,OOS,CAGR",False,False,0.05818676647023446,0.6210735582219908,-0.13701322475896027,0.6252631505508667,0.620439075972859,0.533992722803978,0.06812563912906344,0.6868606357337275,-0.1370132247589605
