universe,grid,book,cost_bps,dOOS_Sharpe,dOOS_CAGR,dOOS_MaxDD,d4b,d4b_oos,differs
u56,sleeve,top20,10,0.0,0.0,0.0,0,0,False
u56,sleeve,top20,25,0.0,0.0,0.0,0,0,False
u56,sleeve,ewall,10,-0.06406916648645677,0.02430362537513009,-0.04233646247119671,1,0,True
u56,sleeve,ewall,25,-0.05224899663734606,0.019193448489141174,-0.04825655710344301,-1,-1,True
u56,band,top20,10,0.0,0.0,0.0,0,0,False
u56,band,top20,25,0.0,0.0,0.0,0,0,False
u56,band,ewall,10,0.0,0.0,0.0,0,0,False
u56,band,ewall,25,0.0,0.0,0.0,0,0,False
u56,breadth,top20,10,0.0,0.0,0.0,0,0,False
u56,breadth,top20,25,-0.035868489627961964,-0.002378821812909049,0.0,0,0,True
u56,breadth,ewall,10,-0.08847027938225493,-0.0025345640466598596,2.220446049250313e-16,0,0,True
u56,breadth,ewall,25,-0.09287623307995618,-0.003762191859802755,-0.006836601908245421,0,0,True
u56,stop,top20,10,0.0,0.0,0.0,0,0,False
u56,stop,top20,25,0.0,0.0,0.0,0,0,False
u56,stop,ewall,10,0.0,0.0,0.0,0,0,False
u56,stop,ewall,25,0.0,0.0,0.0,0,0,False
u56,crypto,top20,10,0.0,0.0,0.0,0,0,False
u56,crypto,top20,25,0.0,0.0,0.0,0,0,False
u56,crypto,ewall,10,0.0,0.0,0.0,0,0,False
u56,crypto,ewall,25,0.0,0.0,0.0,0,0,False
u56,gross,top20,10,0.0,0.0,0.0,0,0,False
u56,gross,top20,25,0.0,0.0,0.0,0,0,False
u56,gross,ewall,10,0.0,0.0,0.0,0,0,False
u56,gross,ewall,25,0.0,0.0,0.0,0,0,False
broad,sleeve,top20,10,0.0,0.0,0.0,0,0,False
broad,sleeve,top20,25,-0.04282506368150929,0.02164974305507661,-0.05462749866594474,0,0,True
broad,sleeve,ewall,10,0.0,0.0,0.0,0,0,False
broad,sleeve,ewall,25,-0.06223648605350507,0.019166552082727994,-0.04498464858064499,1,0,True
broad,band,top20,10,0.0,0.0,0.0,0,0,False
broad,band,top20,25,0.0,0.0,0.0,0,0,False
broad,band,ewall,10,0.0,0.0,0.0,0,0,False
broad,band,ewall,25,0.0,0.0,0.0,0,0,False
broad,breadth,top20,10,0.0,0.0,0.0,0,0,False
broad,breadth,top20,25,0.0,0.0,0.0,0,0,False
broad,breadth,ewall,10,0.0,0.0,0.0,0,0,False
broad,breadth,ewall,25,-0.017424340537870564,1.9731733657879502e-05,-0.0056309636310328814,0,0,True
broad,stop,top20,10,0.0,0.0,0.0,0,0,False
broad,stop,top20,25,0.0,0.0,0.0,0,0,False
broad,stop,ewall,10,0.0,0.0,0.0,0,0,False
broad,stop,ewall,25,0.0,0.0,0.0,0,0,False
broad,gross,top20,10,0.0,0.0,0.0,0,0,False
broad,gross,top20,25,0.0,0.0,0.0,0,0,False
broad,gross,ewall,10,0.0,0.0,0.0,0,0,False
broad,gross,ewall,25,0.0,0.0,0.0,0,0,False
