uni,book,cost,selector,pick,lag,IS_rate,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_dMaxDD,ctl_Sharpe,v1_Sharpe,spy_Sharpe,p4a,p4b
universe.json(56),V1u,10.0,S1 idea94,ebud-0.10,t+1,0.36097338504385806,0.02547677147011851,0.5179719749810424,-0.09312654363785,6.3594378601233625,0.7135835570891119,0.747063834691694,0.8820107671822842,False,False
universe.json(56),V1u,10.0,S1 idea94,ebud-0.10,t+2,0.36097338504385806,0.025538380074772382,0.5059652573467962,-0.10264810002195457,7.487630078354169,0.6582422145724867,0.7036789197984026,0.8820107671822842,False,False
universe.json(56),V1u,10.0,S1 idea94,ebud-0.10,nr,0.36097338504385806,0.028924306978375114,0.5436384597138622,-0.11455740042717899,4.982110930479999,0.755520097231917,0.7977862275788077,0.8820107671822842,False,False
universe.json(56),V1u,10.0,S2 lag-screened,ddctl-8/.5/high,t+1,1.8799003858367143,0.04460959495550498,0.6309280405012703,-0.11984243715107101,3.6878485088012614,0.7135835570891119,0.747063834691694,0.8820107671822842,False,False
universe.json(56),V1u,10.0,S2 lag-screened,ddctl-8/.5/high,t+2,1.8799003858367143,0.04290807343321501,0.6016115446045561,-0.13206180766713282,4.546259313836343,0.6582422145724867,0.7036789197984026,0.8820107671822842,False,False
universe.json(56),V1u,10.0,S2 lag-screened,ddctl-8/.5/high,nr,1.8799003858367143,0.0461605259837492,0.6026505750745336,-0.12529185857157565,3.908665116040333,0.755520097231917,0.7977862275788077,0.8820107671822842,False,False
universe.json(56),V1u,25.0,S1 idea94,ebud-0.10,t+1,0.0730301344052739,0.009515797736436848,0.21069454724710715,-0.11081637294244429,8.866392091256559,0.3592038657013107,0.39920030769495,0.8820107671822842,False,False
universe.json(56),V1u,25.0,S1 idea94,ebud-0.10,t+2,0.0730301344052739,0.00957406125431337,0.20731872149026723,-0.12588183499476213,9.790304957308116,0.3072789565620959,0.35914745281543936,0.8820107671822842,False,False
universe.json(56),V1u,25.0,S1 idea94,ebud-0.10,nr,0.0730301344052739,0.012935112953714967,0.26002146749059407,-0.13058450603101623,8.304351772635144,0.416555813665462,0.4644130164651798,0.8820107671822842,False,False
universe.json(56),V1u,25.0,S2 lag-screened,NOTHING (no eligible arm),-,,,,,,,,,False,False
universe.json(56),TOP20,10.0,S1 idea94,ddctl-8/.5/recover,t+1,2.114821497577796,0.11916531684602782,1.0513995671478398,-0.16561879723114092,5.648528996750491,1.1676752607259366,0.747063834691694,0.8820107671822842,False,True
universe.json(56),TOP20,10.0,S1 idea94,ddctl-8/.5/recover,t+2,2.114821497577796,0.11245056417853982,0.9723387683220849,-0.15177095510619742,7.277361159471507,1.157191712490548,0.7036789197984026,0.8820107671822842,False,True
universe.json(56),TOP20,10.0,S1 idea94,ddctl-8/.5/recover,nr,2.114821497577796,0.13624599424460615,1.1232803043054367,-0.15653788952278636,6.231901489732772,1.155281593551311,0.7977862275788077,0.8820107671822842,False,True
universe.json(56),TOP20,10.0,S2 lag-screened,NOTHING (no eligible arm),-,,,,,,,,,False,False
universe.json(56),TOP20,25.0,S1 idea94,ddctl-8/.5/recover,t+1,1.8334742867399463,0.10248478192926624,0.9253098353893306,-0.16679038072120722,5.66123206460839,1.0721876011978528,0.39920030769495,0.8820107671822842,False,False
universe.json(56),TOP20,25.0,S1 idea94,ddctl-8/.5/recover,t+2,1.8334742867399463,0.10320821093366273,0.9099042415962543,-0.1530223919608047,7.282069346531128,1.0622703531260256,0.35914745281543936,0.8820107671822842,True,False
universe.json(56),TOP20,25.0,S1 idea94,ddctl-8/.5/recover,nr,1.8334742867399463,0.11895261160952253,1.0089437839902131,-0.15787439997879782,6.228211141986495,1.0615314207866422,0.4644130164651798,0.8820107671822842,True,True
universe.json(56),TOP20,25.0,S2 lag-screened,NOTHING (no eligible arm),-,,,,,,,,,False,False
