panel,book,cost,mode,ceil,screened,n_adm,arm,m,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,gross
u56,V1u,10.0,none,1.3333,False,0,ebud-0.10,0.8,0.599836488309743,0.027218385269575762,0.5695479818607977,-0.0909047518676167,0.36947505325454116
u56,V1u,25.0,none,1.3333,False,0,ebud-0.10,0.85,0.30165615292272896,0.010885355937885866,0.24179529909872366,-0.1091659616966637,0.374514670087127
u56,TOP20,10.0,none,1.3333,False,0,ebud-0.20,0.75,1.187557621456552,0.1243113943211902,1.167124733493759,-0.17014210377791916,0.560313375886336
u56,TOP20,25.0,none,1.3333,False,0,control,1.25,1.0695775514341563,0.18856868381151615,1.0727458529116758,-0.2733330674057828,0.9335124490365454
u56,EWall,10.0,none,1.3333,False,0,ddctl-8/.5/high,0.5,1.166140141073278,0.045818033308010486,0.8838026428416288,-0.11605130872215796,0.30279555100294714
u56,EWall,25.0,none,1.3333,False,0,ddctl-8/.5/high,0.45,1.1477706090207123,0.04913267576684133,0.9827695380955158,-0.10516677946603947,0.2880516329613564
broad,V1u,10.0,none,1.3333,False,0,ebud-0.20,0.75,0.7275112288082732,0.029470785411441325,0.4483970115983604,-0.17188349870939013,0.48048548572220634
broad,V1u,25.0,none,1.3333,False,0,ebud-0.10,1.15,0.3496685715814081,-0.0013247243157331612,-0.0089284660622397,-0.11317182275647386,0.3105451268933376
broad,TOP20,10.0,none,1.3333,False,0,ebud-0.10,1.3333,1.19689182593647,0.14338747079391623,0.8369116175466702,-0.2645492609766814,0.7684939693426595
broad,TOP20,25.0,none,1.3333,False,0,ebud-0.10,1.3333,1.090695347319228,0.12551876327294975,0.7491385608688648,-0.2657856608088368,0.7684939693426595
broad,EWall,10.0,none,1.3333,False,0,ddctl-8/.5/high,0.55,1.2073098402768834,0.057439579576259,0.9895220419330251,-0.11486439630622358,0.35072117218407467
broad,EWall,25.0,none,1.3333,False,0,ddctl-8/.5/high,0.5,1.1942449034480334,0.053819209716623684,0.950177058680942,-0.12999407298245913,0.3279314199717195
small,V1u,10.0,none,1.3333,False,0,ddctl-8/.5/high,0.65,0.6521534153031082,0.025205730279263205,0.4431321705944808,-0.15878404235998755,0.31441689518961186
small,V1u,25.0,none,1.3333,False,0,ebud-0.20,1.05,0.3399207491989955,-0.012710621140710088,-0.08228085148475031,-0.38523268093964835,0.5089855285378396
small,TOP20,10.0,none,1.3333,False,0,ddctl-8/.5/high,1.3,0.7425377075075156,0.1404263938419157,0.836508706637107,-0.22658135252367673,0.5921207312186646
small,TOP20,25.0,none,1.3333,False,0,ddctl-8/.5/high,1.3333,0.6462492280481119,0.10385297611857225,0.6432934492899557,-0.2523265420776051,0.585814131720577
