universe,sleeve,book,corr
u56,S9,v1,0.7264725381171878
u56,S9,top20,0.8195327609049042
u56,S9,ewall,0.8002230245604617
u56,S9,SPY,0.6351666774399947
u56,S4,v1,0.2123206348967732
u56,S4,top20,0.11982166171076832
u56,S4,ewall,0.1069025829369223
u56,S4,SPY,-0.14154723487600818
broad,S9,v1,0.6259133456228687
broad,S9,top20,0.7426913296608938
broad,S9,ewall,0.7497282223567944
broad,S9,SPY,0.6351821804995426
broad,S4,v1,0.130160568578761
broad,S4,top20,0.03515875843561142
broad,S4,ewall,-0.01129746367411618
broad,S4,SPY,-0.1414748803396452
