delta,phi_ind_lo,phi_ind_hi,phi_ind_open,phi_ind_width,phi_weak_lo,phi_weak_hi,n_strict,phi,delta_ind_lo,delta_ind_hi,delta_ind_open,delta_ind_width,delta_weak_lo,delta_weak_hi
0.3,0.4028159603,3.0188509213,True,inf,0.4028159603,3.0188509213,0,,,,,,,
0.4,0.568688187,3.0188509213,True,inf,0.5567853030000001,3.0188509213,9,,,,,,,
0.5,0.68450558085,0.708446806,False,0.023941225149999967,0.6576786099,0.7459901939,36,,,,,,,
0.6,0.69652905045,0.70197357175,False,0.005444521299999949,0.69652905045,0.70197357175,0,,,,,,,
0.7,0.69652905045,0.70197357175,False,0.005444521299999949,0.69652905045,0.70197357175,0,,,,,,,
0.8,0.69652905045,0.70197357175,False,0.005444521299999949,0.69652905045,0.70197357175,0,,,,,,,
0.9,0.69652905045,0.70197357175,False,0.005444521299999949,0.69652905045,0.70197357175,0,,,,,,,
1.0,0.69652905045,0.70197357175,False,0.005444521299999949,0.69652905045,0.70197357175,0,,,,,,,
1.1,0.69652905045,0.70197357175,False,0.005444521299999949,0.69652905045,0.70197357175,0,,,,,,,
,,,,,,,5,0.0,0.5978999578,0.6012120607,False,0.003312102899999947,0.59689045305,0.6012120607
,,,,,,,5,0.1,0.5978999578,0.6012120607,False,0.003312102899999947,0.59689045305,0.6012120607
,,,,,,,5,0.2,0.5978999578,0.6012120607,False,0.003312102899999947,0.59689045305,0.6012120607
,,,,,,,5,0.3,0.5978999578,0.6012120607,False,0.003312102899999947,0.59689045305,0.6012120607
,,,,,,,5,0.4,0.5978999578,0.6012120607,False,0.003312102899999947,0.59689045305,0.6012120607
,,,,,,,5,0.5,0.5978999578,0.6012120607,False,0.003312102899999947,0.59689045305,0.6012120607
,,,,,,,5,0.6,0.5978999578,0.6012120607,False,0.003312102899999947,0.59689045305,0.6012120607
,,,,,,,5,0.7,0.5978999578,0.6012120607,False,0.003312102899999947,0.59689045305,0.6012120607
,,,,,,,11,0.8,0.5978999578,0.6012120607,False,0.003312102899999947,0.59592133155,0.6012120607
,,,,,,,48,0.9,0.5978999578,0.6075940013,False,0.009694043499999916,0.5906077491,0.6284484491
,,,,,,,0,1.0,-2.4752568654,0.6587256794,True,inf,-2.4752568654,0.6587256794
,,,,,,,0,1.1,-2.4752568654,3.22838645435,True,inf,-2.4752568654,3.22838645435
