panel,conv,band,cad,CAGR,Sharpe,MaxDD,H1,H2,OOS,Turnover,path4a,path4b,failing
U56,rw,none,W,0.13302241347407873,1.128380320819475,-0.2245669050549508,1.1945040285745303,1.0763148070726318,1.1403609047423904,0.8394534940096922,False,False,DD
U56,rw,none,M,0.1331978067693682,1.1385064105801395,-0.22208497310866748,1.193309652030621,1.0954140680676585,1.159197226822536,0.41108866374490327,False,False,DD
U56,rw,0.00,W,0.11616152764881837,1.0966487188945881,-0.18623026847371627,1.1735569504420336,1.0415753441992581,1.1169417076963275,7.603863725083241,False,True,-
U56,rw,0.00,M,0.1266301001625032,1.164257588802671,-0.18207811479908076,1.213926292672723,1.1298447589637042,1.201590438346593,3.258886467577801,False,True,-
U56,rw,0.02,W,0.12093094483509725,1.143107839151641,-0.1770666160121518,1.2066731496447116,1.097527680251231,1.1721795279984466,5.2776050369312095,False,True,-
U56,rw,0.02,M,0.129433862303731,1.1877956868928805,-0.18319058882967665,1.2258308470118007,1.1635622028435793,1.2367644290849982,2.9846298054515885,False,True,-
U56,rw,0.03,W,0.12323879251251468,1.1681011593718076,-0.17635069739490172,1.2166150864253822,1.1364935286304911,1.2105529978249203,4.320391346566975,False,True,-
U56,rw,0.03,M,0.12532691202827562,1.1596411756426672,-0.18954786603196327,1.182759405474868,1.1499124271755534,1.214148573359976,2.7891806269337005,False,True,-
U56,rw,0.05,W,0.12821620819997737,1.1620663164477292,-0.18408682802484833,1.203785683958075,1.1365041255457662,1.2089619688980795,3.5052636348308353,False,True,-
U56,rw,0.05,M,0.13157940322062922,1.1648949191534423,-0.19987960539811078,1.1938407127755322,1.1515211074730578,1.2170460838236605,2.5179442595162627,False,True,-
U56,rw,0.08,W,0.13300793013504153,1.1844765880579005,-0.19662952662141886,1.2695446286025411,1.12815851017057,1.1922163635817549,2.605455046231562,False,True,-
U56,rw,0.08,M,0.13246719592060718,1.1570578049714109,-0.21804971289209962,1.2087043252256013,1.1305087315492044,1.1942235634599958,1.9881282430689888,False,False,DD
