panel,cost,conv,trend,volcap,d_CAGR_pp,d_Sharpe,Gross
U56,0,rw,on,0.30,-4.875371169984533,-0.1050295890333297,0.7501509720140574
U56,0,rw,on,0.45,-2.7091460779422816,-0.013984181055125555,0.7501886833197622
U56,0,rw,on,0.60,-2.03072981386736,0.00193726156079288,0.750209387788793
U56,0,rw,on,0.90,-1.8088216416830116,-0.01809453536226746,0.7502258249405873
U56,0,rw,on,off,-0.9292036807979409,0.03364999065702268,0.7502405986873925
U56,0,rw,off,0.30,-3.7025131760984653,0.011012373810496134,0.7501645167737386
U56,0,rw,off,0.45,-1.8943894466252997,-0.00016652561320595893,0.750196325958624
U56,0,rw,off,0.60,-0.9609435202591943,0.01222863724513612,0.750214014722868
U56,0,rw,off,0.90,-0.5168847547725619,-0.013345432417460446,0.7502259568483272
U56,0,rw,off,off,0.0,0.0,0.7502302461672524
U56,0,dg,on,0.30,-8.173224345446805,-0.05718902785498825,0.4363990306770092
U56,0,dg,on,0.45,-6.153324206366451,0.04830973803993577,0.4983287062696419
U56,0,dg,on,0.60,-5.7128799916110085,0.033104270275349235,0.5172584241127175
U56,0,dg,on,0.90,-5.16864941034354,0.05882614532011665,0.5278327014617628
U56,0,dg,on,off,-4.836424713367493,0.08632725906292538,0.5306849334994476
U56,0,dg,off,0.30,-6.071983260567748,0.023071657667476986,0.5676973295746635
U56,0,dg,off,0.45,-3.07448711096725,0.022590739456124664,0.6783894913088014
U56,0,dg,off,0.60,-1.6461269093583475,0.016317725245318382,0.7193270998757755
U56,0,dg,off,0.90,-0.9036257476454645,-0.022067724321050308,0.7432931507273017
U56,0,dg,off,off,0.0,0.0,0.7502302461672524
U56,10,rw,on,0.30,-5.926955867177663,-0.2267504213630308,0.7501509720140574
U56,10,rw,on,0.45,-3.5832985281921914,-0.10002013701069434,0.7501886833197622
U56,10,rw,on,0.60,-2.845572341339486,-0.07396919564782611,0.750209387788793
U56,10,rw,on,0.90,-2.58082414530425,-0.08697005318136575,0.7502258249405873
U56,10,rw,on,off,-1.6860885825260352,-0.031731601924886776,0.7502405986873925
U56,10,rw,off,0.30,-4.219235777825325,-0.04891984923218762,0.7501645167737386
U56,10,rw,off,0.45,-2.1261985649808413,-0.022399772030218257,0.750196325958624
U56,10,rw,off,0.60,-1.0776697624305775,0.0016953923321341158,0.750214014722868
U56,10,rw,off,0.90,-0.5500936327624384,-0.01619327047124397,0.7502259568483272
U56,10,rw,off,off,0.0,0.0,0.7502302461672524
U56,10,dg,on,0.30,-8.45694500583356,-0.12469031725605406,0.4363990306770092
U56,10,dg,on,0.45,-6.423406622524541,-0.0006823478639161884,0.4983287062696419
