panel,book,cost,stop,arm,fires,fires_yr,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,dCAGR,dSharpe,dMaxDD,gross,turn_yr,lever_pp,d_crash_ann,d_trend_ann,y2020,y2022,fail4a,fail4b
u56,v1,10,none,none,0,0.0,0.06453053483847215,0.6641804017269177,-0.13827796154480831,0.6409087934305884,0.6877921123353656,0.5534299312214817,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.0,0.0,0.0,0.7495210220604044,23.58532168462946,,0.0,0.0,0.0,0.0,H1|H2,H1|H2|OOS|CAGR
u56,v1,10,0.10,always,53,3.008785762559135,0.062119666039542,0.6456162698263356,-0.13430797979695241,0.6369221161899234,0.6562991988802264,0.5490431686713966,0.7184942322285264,0.07324209142161031,-0.13430797979695264,-0.24108687989301547,-0.018564131900582148,0.39699817478558996,0.7473417070726573,23.89813010714958,0.4697741620315583,-0.6954704744484983,-0.1388163718441132,-0.5282350182006068,-0.6065348711617791,H1|H2,H1|H2|OOS|CAGR
u56,v1,10,0.10,spy200,27,1.5327776526244652,0.06331675744946175,0.6545041405869336,-0.13430797979695275,0.6375326660901275,0.6725609761994386,0.5497241916550042,0.7331708641132262,0.07538701744196197,-0.13430797979695241,-0.12137773890104064,-0.0096762611399841,0.39699817478555666,0.7484500940653169,23.700770835356018,0.4697741620315977,-0.6954704744484983,0.001995645937319796,-0.7425202475117798,-0.6065348711617791,H1|H2,H1|H2|OOS|CAGR
u56,v1,10,0.10,breadth20,23,1.3056994818652852,0.06342865837902534,0.6553166434414468,-0.13786210296709622,0.6447105800452425,0.6679494120134645,0.5575485405443351,0.7288243421917396,0.07492869482461528,-0.13786210296709578,-0.11018764594468156,-0.008863758285470924,0.041585857771209156,0.7486450580469568,23.68450501895662,0.4697771378803328,-0.6215637450281575,-1.484079019371793e-18,-1.1846944833445283,-0.6065348711617791,H2,H1|H2|OOS|CAGR
u56,v1,10,0.15,always,7,0.39738679882856504,0.06307118114877408,0.6513630833212984,-0.14104521917334611,0.6409087934305884,0.6639076115867621,0.5534299312214817,0.724915656931577,0.07460889022583972,-0.1410452191733459,-0.1459353689698073,-0.012817318405619282,-0.27672576285378003,0.7491122878170543,23.61695668377741,,-0.945706212056925,0.02757160974633699,-1.6962203429727873,-1.3766852366692062,H1|H2|DD,H1|H2|OOS|CAGR
u56,v1,10,0.15,spy200,5,0.283847713448975,0.0628280113048103,0.6491101645505666,-0.14104521917334611,0.6409087934305884,0.6597197912528496,0.5534299312214817,0.7210059808952325,0.07416027048359974,-0.1410452191733459,-0.17025235336618483,-0.015070237176351142,-0.27672576285378003,0.7492653832301636,23.601600742461166,,-0.945706212056925,0.0,-1.5807111402489138,-1.3766852366692062,H1|H2|DD,H1|H2|OOS|CAGR
u56,v1,10,0.15,breadth20,5,0.283847713448975,0.0628280113048103,0.6491101645505666,-0.14104521917334611,0.6409087934305884,0.6597197912528496,0.5534299312214817,0.7210059808952325,0.07416027048359974,-0.1410452191733459,-0.17025235336618483,-0.015070237176351142,-0.27672576285378003,0.7492653832301636,23.601600742461166,,-0.945706212056925,0.0,-1.5807111402489138,-1.3766852366692062,H1|H2|DD,H1|H2|OOS|CAGR
u56,v1,10,0.20,always,0,0.0,0.06453053483847215,0.6641804017269177,-0.13827796154480831,0.6409087934305884,0.6877921123353656,0.5534299312214817,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.0,0.0,0.0,0.7495210220604044,23.58532168462946,,0.0,0.0,0.0,0.0,H1|H2,H1|H2|OOS|CAGR
u56,v1,10,0.20,spy200,0,0.0,0.06453053483847215,0.6641804017269177,-0.13827796154480831,0.6409087934305884,0.6877921123353656,0.5534299312214817,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.0,0.0,0.0,0.7495210220604044,23.58532168462946,,0.0,0.0,0.0,0.0,H1|H2,H1|H2|OOS|CAGR
u56,v1,10,0.20,breadth20,0,0.0,0.06453053483847215,0.6641804017269177,-0.13827796154480831,0.6409087934305884,0.6877921123353656,0.5534299312214817,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.0,0.0,0.0,0.7495210220604044,23.58532168462946,,0.0,0.0,0.0,0.0,H1|H2,H1|H2|OOS|CAGR
