load_prices: network unavailable (ModuleNotFoundError); using prices.csv

==================================================================================================================================================================================================================
UNIVERSE universe.json(56): 56 names, 2008-01-02 -> 2026-09-04 | eval 2009-01-13 -> 2026-09-04 | IS <= 2016-12-31 | OOS >= 2017-01-01
SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834 OOS 0.882
==================================================================================================================================================================================================================
[gate A] ladder rung TOP20 / V1u vs idea 94 targets(): max|diff| = 0.000e+00 (EXACT)
[gate B] control vs engine.backtest @10bps: max|diff| = 0.000e+00 (EXACT)
[note]  ALL rung (scored limit) vs idea 94 EWall (priced limit): max|dw| = 0.0150; ALL holds 53.8 names on average (panel 56), differs from priced count on 1530 of 4439 eval days

MAIN GRID universe.json(56) — 224 published rows (7 books x 16 arms x 2 costs)
  book  n    cost                arm   dCAGR  dMaxDD    rate  dMaxDD_IS  dMaxDD_OOS   CAGR  Sharpe   MaxDD  D1_pass  D2_pass  p4a_v2  p4a_v1   p4b               f4b
  TOP3  3 10.0000            g200-dg -0.2202  0.0000     NaN     1.4958     -0.0000 0.2740  1.1145 -0.3450    False    False   False   False False                DD
  TOP3  3 10.0000            g200-rw -0.1403  0.0000     NaN     1.1598      0.0000 0.2732  1.1115 -0.3450    False     True   False   False False                DD
  TOP3  3 10.0000           band3-dg  0.1967 -0.1349     NaN     0.0000     -0.1349 0.2699  1.1008 -0.3463    False    False   False   False False                DD
  TOP3  3 10.0000           band3-rw  0.3169 -0.0901     NaN     0.0000     -0.0901 0.2687  1.0967 -0.3459    False    False   False   False False                DD
  TOP3  3 10.0000           abs12-dg  0.1208  0.0000     NaN     0.0000      0.0000 0.2706  1.1090 -0.3450    False    False   False   False False                DD
  TOP3  3 10.0000           abs12-rw -0.5665  0.0000     NaN     0.0000      0.0000 0.2775  1.1282 -0.3450    False    False   False   False False                DD
  TOP3  3 10.0000           vol60-dg  8.9124 13.2763  0.6713     2.0299     13.2763 0.1827  0.9817 -0.2122     True     True   False   False False                DD
  TOP3  3 10.0000           vol60-rw  5.0707  7.9282  0.6396    -0.1269      7.9282 0.2211  1.0456 -0.2657     True    False   False   False False                DD
  TOP3  3 10.0000          v1gate-dg  8.7749 13.2763  0.6609     2.7600     13.2763 0.1841  0.9886 -0.2122     True     True   False   False False                DD
  TOP3  3 10.0000          v1gate-rw  5.3302  8.6847  0.6137     1.7125      8.6847 0.2185  1.0361 -0.2581     True     True   False   False False                DD
  TOP3  3 10.0000             stop15  1.9645  0.8367  2.3480     1.4380      0.8367 0.2522  1.0688 -0.3366     True     True   False   False False                DD
  TOP3  3 10.0000             stop25  0.2316 -1.7233     NaN    -0.0855     -1.7233 0.2695  1.1073 -0.3622    False    False   False   False False                DD
  TOP3  3 10.0000 ddctl-8/.5/recover 11.6553 13.9680  0.8344     4.7011     13.9680 0.1553  0.9161 -0.2053     True     True   False   False False            OOS,DD
  TOP3  3 10.0000    ddctl-8/.5/high 11.2561 13.9680  0.8059     6.7734     13.9680 0.1593  0.9793 -0.2053     True     True   False   False False            OOS,DD
  TOP3  3 10.0000          ebud-0.10  8.4144  1.0639  7.9090     4.5883      1.0639 0.1877  0.9576 -0.3343     True     True   False   False False         H2,OOS,DD
  TOP3  3 10.0000          ebud-0.20  3.3226  0.2124 15.6463     2.0537      0.2124 0.2386  1.0478 -0.3428     True     True   False   False False            OOS,DD
  TOP3  3 25.0000            g200-dg -0.2415 -0.6140     NaN     1.5211     -0.6140 0.2414  1.0085 -0.3602    False    False   False   False False            OOS,DD
  TOP3  3 25.0000            g200-rw -0.1581 -0.4787     NaN     1.1549     -0.4787 0.2406  1.0053 -0.3588    False    False   False   False False            OOS,DD
  TOP3  3 25.0000           band3-dg  0.1806 -2.0638     NaN     0.0000     -2.0638 0.2372  0.9942 -0.3747    False    False   False   False False            OOS,DD
  TOP3  3 25.0000           band3-rw  0.3083 -2.0688     NaN     0.0000     -2.0688 0.2359  0.9898 -0.3747    False    False   False   False False            OOS,DD
  TOP3  3 25.0000           abs12-dg  0.0364 -0.0000     NaN    -0.0000      0.0000 0.2386  1.0041 -0.3540    False    False   False   False False            OOS,DD
  TOP3  3 25.0000           abs12-rw -0.5846  0.0000     NaN     0.0000      0.0000 0.2448  1.0220 -0.3540    False    False   False   False False            OOS,DD
  TOP3  3 25.0000           vol60-dg  8.7430 12.1695  0.7184     2.0519     12.1695 0.1516  0.8403 -0.2323     True     True   False   False False         H1,OOS,DD
  TOP3  3 25.0000           vol60-rw  5.5318  7.8435  0.7053    -0.1268      7.8435 0.1837  0.8990 -0.2756     True    False   False   False False             H1,DD
  TOP3  3 25.0000          v1gate-dg  8.5894 12.1695  0.7058     2.5034     12.1695 0.1531  0.8481 -0.2323     True     True   False   False False         H1,OOS,DD
  TOP3  3 25.0000          v1gate-rw  5.7780  8.6431  0.6685     0.6635      8.6431 0.1812  0.8896 -0.2676     True     True   False   False False             H1,DD
  TOP3  3 25.0000             stop15  2.3601  1.4383  1.6409     0.0920      1.4383 0.2154  0.9430 -0.3396     True     True   False   False False         H2,OOS,DD
  TOP3  3 25.0000             stop25  0.3384 -1.0132     NaN    -0.1150     -1.0132 0.2356  0.9956 -0.3641    False    False   False   False False            OOS,DD
  TOP3  3 25.0000 ddctl-8/.5/recover 11.6522 13.0204  0.8949     4.7661     13.0204 0.1225  0.7632 -0.2238     True     True   False   False False      H1,H2,OOS,DD
  TOP3  3 25.0000    ddctl-8/.5/high 11.1952 13.0204  0.8598     6.8877     13.0204 0.1270  0.8269 -0.2238     True     True   False   False False         H2,OOS,DD
  TOP3  3 25.0000          ebud-0.10  6.7717  1.9403  3.4900     3.6759      1.9403 0.1713  0.8883 -0.3346     True     True   False   False False         H2,OOS,DD
  TOP3  3 25.0000          ebud-0.20  2.6128  1.0965  2.3828     1.7413      1.0965 0.2129  0.9563 -0.3430     True     True   False   False False         H2,OOS,DD
  TOP5  5 10.0000            g200-dg  0.2589 -0.0000     NaN     0.2452     -0.0000 0.2294  1.1311 -0.2845    False    False   False   False False                DD
  TOP5  5 10.0000            g200-rw  0.2217  0.0000     NaN     0.4920     -0.0000 0.2298  1.1315 -0.2845    False    False   False   False False                DD
  TOP5  5 10.0000           band3-dg  0.4229 -0.0000     NaN    -0.1856     -0.0000 0.2278  1.1234 -0.2845    False    False   False   False False                DD
  TOP5  5 10.0000           band3-rw  0.3573 -0.0000     NaN     0.7289     -0.0000 0.2284  1.1253 -0.2845    False    False   False   False False                DD
  TOP5  5 10.0000           abs12-dg  0.3295  0.0000     NaN    -0.0000     -0.0000 0.2287  1.1348 -0.2845    False    False   False   False False                DD
  TOP5  5 10.0000           abs12-rw  0.2126 -0.0000     NaN     0.0000      0.0000 0.2299  1.1354 -0.2845    False     True   False   False False                DD
  TOP5  5 10.0000           vol60-dg  6.8408  7.8180  0.8750     1.4682      7.8180 0.1636  1.0067 -0.2064     True     True   False   False False                DD
  TOP5  5 10.0000           vol60-rw  6.2686  7.1006  0.8828     0.4649      7.1006 0.1693  0.9700 -0.2135     True     True   False   False False             H1,DD
  TOP5  5 10.0000          v1gate-dg  7.0607  8.6313  0.8180     0.7939      8.6313 0.1614  0.9975 -0.1982     True     True   False   False  True                 -
  TOP5  5 10.0000          v1gate-rw  6.6780  6.8744  0.9714     0.7427      6.8744 0.1652  0.9503 -0.2158     True     True   False   False False             H1,DD
  TOP5  5 10.0000             stop15  1.9837 -3.1024     NaN     2.2513     -3.1024 0.2121  1.0888 -0.3156    False    False   False   False False                DD
  TOP5  5 10.0000             stop25  0.3602 -2.7236     NaN     0.6274     -2.7236 0.2284  1.1332 -0.3118    False    False   False   False False                DD
  TOP5  5 10.0000 ddctl-8/.5/recover  8.9159  7.0633  1.2623     4.1124      7.0633 0.1428  0.9524 -0.2139     True     True   False   False False         H2,OOS,DD
  TOP5  5 10.0000    ddctl-8/.5/high  8.1217 13.0336  0.6231     4.1124     13.0336 0.1508  1.0584 -0.1542     True     True   False   False  True                 -
  TOP5  5 10.0000          ebud-0.10  5.9302  0.0000     NaN     1.4873      0.0000 0.1727  0.9983 -0.2845    False    False   False   False False                DD
  TOP5  5 10.0000          ebud-0.20  1.9680 -0.0000     NaN     0.3715     -0.0000 0.2123  1.0842 -0.2845    False    False   False   False False                DD
  TOP5  5 25.0000            g200-dg  0.2445 -0.0000     NaN     0.2275      0.0000 0.2015  1.0167 -0.2847    False     True   False   False False                DD
  TOP5  5 25.0000            g200-rw  0.2161  0.0000     NaN     0.4161      0.0000 0.2018  1.0168 -0.2847    False     True   False   False False                DD
  TOP5  5 25.0000           band3-dg  0.3958  0.0000     NaN    -0.1478      0.0000 0.2000  1.0094 -0.2847    False    False   False   False False                DD
  TOP5  5 25.0000           band3-rw  0.3488 -0.0000     NaN     0.7206      0.0000 0.2005  1.0106 -0.2847    False     True   False   False False                DD
  TOP5  5 25.0000           abs12-dg  0.2477  0.0000     NaN     0.0000      0.0000 0.2015  1.0223 -0.2847    False     True   False   False False                DD
  TOP5  5 25.0000           abs12-rw  0.1986  0.0000     NaN     0.0000      0.0000 0.2020  1.0207 -0.2847    False     True   False   False False                DD
  TOP5  5 25.0000           vol60-dg  6.7848  7.0925  0.9566     1.4736      7.0925 0.1361  0.8608 -0.2138     True     True   False   False False             H1,DD
  TOP5  5 25.0000           vol60-rw  6.5285  6.3592  1.0266     0.4248      6.3592 0.1387  0.8204 -0.2211     True     True   False   False False             H1,DD
  TOP5  5 25.0000          v1gate-dg  6.9861  7.0196  0.9952     0.8065      7.0196 0.1341  0.8519 -0.2145     True     True   False   False False         H1,OOS,DD
  TOP5  5 25.0000          v1gate-rw  6.9150  5.3080  1.3028     0.6993      5.3080 0.1348  0.8014 -0.2316     True     True   False   False False         H1,OOS,DD
