sleeve,n_assets,n,corr_mean,beats_null,raw_mean,null_mean,conv_mean,beat_rate
S4,4,18,0.09884445714745334,18,0.03945903672884614,-6.773341021685656e-05,0.07418205913001366,1.0
S5r,5,18,0.30947222417478476,16,0.03463466813152996,-6.773341021685656e-05,0.055892735320947566,0.8888888888888888
S5f,5,18,0.46727099857503634,18,0.06402889500975693,-6.773341021685656e-05,0.032442530576520544,1.0
S6r,6,18,0.46911820124981773,14,0.020061910621433487,-6.773341021685656e-05,0.04492613077764343,0.7777777777777778
S7r,7,18,0.5859886323468172,10,0.01606985806368734,-6.773341021685656e-05,0.03805848808188783,0.5555555555555556
S6f,6,18,0.6580168930092218,18,0.14123511842117625,-6.773341021685656e-05,0.005896394236622737,1.0
S8r,8,18,0.6927570659993199,12,0.04565247965904261,-6.773341021685656e-05,0.030428632467268804,0.6666666666666666
S7f,7,18,0.7181499190097763,18,0.12929336811479294,-6.773341021685656e-05,0.013875460552418955,1.0
S8f,8,18,0.7431123480152574,14,0.08159313075750531,-6.773341021685656e-05,0.02243491041245864,0.7777777777777778
S9,9,18,0.7440935368705184,12,0.07284402326700078,-6.773341021685656e-05,0.030168062752683245,0.6666666666666666
