sleeve,corr_uncond,corr_crisis_q05,corr_crisis_q10,corr_crisis_q20
SCASH,0.0,0.0,0.0,0.0
S4,0.09884445714745331,0.44017622674398243,0.3344420594745127,0.2592200874777889
S5r,0.3094722241747846,0.525945954011417,0.42338093752867434,0.3613865559422984
S5f,0.46727099857503657,0.604208915896574,0.5151136122781844,0.46142504860860717
S6r,0.4691182012498172,0.5872473778282545,0.4939556425269312,0.44423687856083677
S7r,0.5859886323468183,0.6261063691456507,0.5482504717304219,0.5075036904648277
S6f,0.6580168930092213,0.6785653224796221,0.6085123883144706,0.581483128344838
S8r,0.69275706599932,0.6735018493774104,0.6109500459370941,0.5898130187990049
S7f,0.718149919009775,0.6967393086843483,0.6388592747253328,0.6184564079378156
S8f,0.7431123480152572,0.7062261949916545,0.6539035431866086,0.6386411698928586
S9,0.744093536870518,0.6970676936393754,0.6467897409568811,0.6349691710204913
