panel,gross,target,m_H1,m_H2,m_DD,m_CAGR,m_OOS,binding,worst,pass4b
U56,0.75,OFF,0.11958116573026711,0.2380505366192397,0.019219924721608717,0.021707946515430065,0.25487608554830044,DD,0.019219924721608717,True
U56,0.75,0.08,0.08289539500849019,0.22025433390315585,0.08744079916443093,-0.01903903830571696,0.2493472880553672,CAGR,-0.01903903830571696,False
U56,0.75,0.1,0.0836271250013797,0.24595786981224876,0.0696323283176854,-0.0033783016639777896,0.2769072236472768,CAGR,-0.0033783016639777896,False
U56,0.75,0.12,0.08830987666524914,0.25023072018666215,0.05523389512212484,0.006635774379636916,0.27894010648923795,CAGR,0.006635774379636916,True
U56,0.75,0.15,0.11256362770843309,0.2492555672447826,0.045239700396768945,0.015901000587964398,0.2714080911672162,CAGR,0.015901000587964398,True
U56,0.75,0.18,0.13452468822997277,0.24945786685726767,0.04904480835522196,0.020498878656521557,0.26847667063643377,CAGR,0.020498878656521557,True
U56,0.75,0.2,0.1325663815474124,0.25496780152554865,0.043643024835748445,0.021880252887720997,0.2725660609463775,CAGR,0.021880252887720997,True
U56,0.75,0.25,0.11968819370999195,0.24566539457714132,0.028786157484427033,0.021666586743054883,0.2627369890411789,CAGR,0.021666586743054883,True
U56,0.75,0.3,0.11958116573026711,0.2350176529843403,0.019219924721608717,0.021326525813375796,0.2522418377815602,DD,0.019219924721608717,True
U56,0.85,OFF,0.11960137121239434,0.23829618652958928,-0.003717862311076958,0.038831672273779705,0.25511117304893516,DD,-0.003717862311076958,False
U56,0.85,0.08,0.07313008275047606,0.20542702914063626,0.08675092317911948,-0.017875846523037198,0.22928569322201076,CAGR,-0.017875846523037198,False
U56,0.85,0.1,0.08375580316492959,0.22747363698202794,0.06325250454160825,0.00032010961392037185,0.25999810287609926,CAGR,0.00032010961392037185,True
U56,0.85,0.12,0.08838374972798546,0.2523160786755986,0.04816706484314692,0.014757616390174033,0.28265199114732453,CAGR,0.014757616390174033,True
U56,0.85,0.15,0.09280474927125837,0.250699094552408,0.030713955398062875,0.02662026452973809,0.2763886990345178,CAGR,0.02662026452973809,True
U56,0.85,0.18,0.12266806778032746,0.24895662030686105,0.02613917251231801,0.034360140737450195,0.2699599844535897,DD,0.02613917251231801,True
U56,0.85,0.2,0.13404952806652048,0.24900886073902362,0.029263919898142032,0.03708457334501036,0.2683471366519564,DD,0.029263919898142032,True
U56,0.85,0.25,0.12698650027175262,0.256070113502627,0.017179437170500855,0.03950294515995123,0.2729705313726697,DD,0.017179437170500855,True
U56,0.85,0.3,0.1196085109872086,0.2427017624894786,0.0038965976277975933,0.03868373508549505,0.2598108835649614,DD,0.0038965976277975933,True
U56,1.0,OFF,0.11953658931576927,0.23857601798234185,-0.03748547594239382,0.06445391532868705,0.255371058887793,DD,-0.03748547594239382,False
U56,1.0,0.08,0.08536823251793446,0.20299384675141796,0.08670058923779378,-0.015781540589475118,0.23086162392970977,CAGR,-0.015781540589475118,False
U56,1.0,0.1,0.07750665018615155,0.21448495355548125,0.059440297446375356,0.0038237229819805263,0.23994221288310713,CAGR,0.0038237229819805263,True
U56,1.0,0.12,0.08406712624745782,0.2315364616281027,0.038523931761545116,0.021128355604296822,0.2641555663901688,CAGR,0.021128355604296822,True
