stat,K,c_K,CF_clear,CF_err,CF_flip,MC_err,MC_flip,err_gap,flip_gap
MAX,20,0,0.17689894123509955,0.17689894123509955,0.10203515659065325,0.17678125,0.10113541666666667,0.00011769123509955404,0.0008997399239865783
MAX,50,0,0.11047881089831608,0.11047881089831608,0.08764441465716688,0.11032986111111112,0.0879513888888889,0.00014894978720496332,-0.0003069742317220181
MAX,100,0,0.0666566035697157,0.0666566035697157,0.06998982973458517,0.06677777777777778,0.07092361111111112,-0.00012117420806208312,-0.000933781376525944
MAX,200,0,0.031661688702419095,0.031661688702419095,0.04278654836302274,0.031885416666666666,0.04284027777777778,-0.00022372796424757063,-5.372941475504517e-05
MAX,400,0,0.010268414520907728,0.010268414520907728,0.018237609785259144,0.010288194444444444,0.018215277777777775,-1.9779923536715135e-05,2.2332007481369598e-05
Q95,20,1,0.25561937052704903,0.0702602885128538,0.07419478597472921,0.06759375,0.07493402777777777,0.002666538512853811,-0.0007392418030485598
Q95,50,2,0.21967776850937382,0.04335270632535634,0.05796704427301121,0.04298958333333333,0.053451388888888896,0.00036312299202300585,0.004515655384122318
Q95,100,5,0.22673790267368718,0.03515746193213961,0.04278886282519156,0.03412152777777777,0.04242708333333334,0.001035934154361838,0.0003617794918582204
Q95,200,10,0.22171310641809075,0.027150528496784374,0.036960525533069395,0.026729166666666665,0.03648263888888889,0.00042136183011770925,0.00047788664418050436
Q95,400,20,0.2180450547663857,0.020215863851436346,0.03533478796494958,0.02015277777777778,0.034819444444444445,6.308607365856575e-05,0.0005153435205051335
