panel,family,depth,bps,arm,thr,n_pool,empty,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,sd_across_draws,d_vs_S0,d_vs_SPY
U56,DDCTL,0.5,10,S0_do_nothing,,0.0,True,1.1774914098378444,0.14486780221909457,-0.1820705506780067,0.0,0.0,0.2954804252481612
U56,DDCTL,0.5,10,S1_IS_argmax,0.15,5.0,False,1.1774914098378444,0.14486780221909457,-0.1820705506780067,0.0,0.0,0.2954804252481612
U56,DDCTL,0.5,10,S2_MAX_K20,,0.355,False,1.1518225460275764,,,0.034925201589537984,-0.025668863810268006,0.2698115614378932
U56,DDCTL,0.5,10,S2_MAX_K50,,0.0675,False,1.1725153765431573,,,0.018518225113064557,-0.004976033294687099,0.2905043919534741
U56,DDCTL,0.5,10,S2_MAX_K100,,0.0025,False,1.177307112308412,,,0.0036859505886573172,-0.00018429752943238675,0.2952961277187288
U56,DDCTL,0.5,10,S2_MAX_K200,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,DDCTL,0.5,10,S2_MAX_K400,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,DDCTL,0.5,10,S3_EXACT_MAX,,0.0,True,1.1774914098378444,0.14486780221909457,-0.1820705506780067,0.0,0.0,0.2954804252481612
U56,DDCTL,0.5,10,S2_Q95_K20,,0.8325,False,1.1230538142357738,,,0.030904278742224466,-0.05443759560207062,0.24104282964609058
U56,DDCTL,0.5,10,S2_Q95_K50,,0.55,False,1.136945953362614,,,0.03672067486261947,-0.040545456475230335,0.25493496877293087
U56,DDCTL,0.5,10,S2_Q95_K100,,0.63,False,1.1310484324207624,,,0.0356364298922452,-0.04644297741708203,0.24903744783107917
U56,DDCTL,0.5,10,S2_Q95_K200,,0.615,False,1.1321542175973596,,,0.03591624911740754,-0.045337192240484825,0.2501432330076764
