panel,tau,mode,bps,kind,on_share,d_real,null_max_abs,null_mean,clears_two,clears_signed,clears_signed_IS,gap,overlap,pass4a,pass4b
BROAD136,0.05,half,10,ROT,0.9364102564102564,0.04333910725396495,0.04947918084837455,0.04144482657190625,False,False,False,0.03252972400047902,0.9382803943044907,False,False
BROAD136,0.05,half,10,RS1,0.9364102564102564,0.04333910725396495,0.06501993969648434,0.04179298016808108,False,False,False,0.03828097375802325,0.9362541073384447,False,False
BROAD136,0.05,half,10,RS16,0.9364102564102564,0.04333910725396495,0.04360128448244327,0.04241570261142906,False,False,False,5.6752771556741594e-05,0.998904709748083,False,False
BROAD136,0.05,half,10,RS2,0.9364102564102564,0.04333910725396495,0.04929579800789252,0.039771636298784246,False,False,False,0.026273550888983366,0.9421139101861993,False,False
BROAD136,0.05,half,10,RS4,0.9364102564102564,0.04333910725396495,0.04470071304847312,0.037358157242156416,False,False,False,0.018185912678286374,0.9496166484118292,False,False
BROAD136,0.05,half,10,RS8,0.9364102564102564,0.04333910725396495,0.041623687743185034,0.03446065704600092,True,True,False,0.008542856541684206,0.9673603504928805,False,False
BROAD136,0.05,half,25,ROT,0.9364102564102564,0.09506986413478313,0.09720415973160579,0.09012827480723609,False,False,False,0.03252972400047902,0.9382803943044907,False,False
BROAD136,0.05,half,25,RS1,0.9364102564102564,0.09506986413478313,0.11250969836839853,0.08979572039579062,False,False,True,0.03828097375802325,0.9362541073384447,False,False
BROAD136,0.05,half,25,RS16,0.9364102564102564,0.09506986413478313,0.09530705560147779,0.09415161764120195,False,False,False,5.6752771556741594e-05,0.998904709748083,False,False
BROAD136,0.05,half,25,RS2,0.9364102564102564,0.09506986413478313,0.09856026094020232,0.0890529110035846,False,False,False,0.026273550888983366,0.9421139101861993,False,False
BROAD136,0.05,half,25,RS4,0.9364102564102564,0.09506986413478313,0.09466359195924734,0.08743506102985502,True,True,False,0.018185912678286374,0.9496166484118292,False,False
BROAD136,0.05,half,25,RS8,0.9364102564102564,0.09506986413478313,0.09259468565427675,0.0853538626228751,True,True,False,0.008542856541684206,0.9673603504928805,False,False
BROAD136,0.05,skip,10,ROT,0.9364102564102564,-0.007147121351681829,0.15383932295732472,0.0323451810441749,False,False,False,2.1047704072772158,0.9382803943044907,False,False
BROAD136,0.05,skip,10,RS1,0.9364102564102564,-0.007147121351681829,0.1778033337132061,0.07912750895533062,False,False,False,5.363556275288739,0.9360898138006573,False,False
BROAD136,0.05,skip,10,RS16,0.9364102564102564,-0.007147121351681829,0.06502126605258352,0.004595679234324373,False,False,False,0.06540580131454204,0.998904709748083,False,False
BROAD136,0.05,skip,10,RS2,0.9364102564102564,-0.007147121351681829,0.19884688449768317,0.06642806524738806,False,False,True,4.817727775118355,0.9406900328587076,False,False
BROAD136,0.05,skip,10,RS4,0.9364102564102564,-0.007147121351681829,0.17157516001386997,0.04714900072905135,False,False,False,3.610677619471034,0.948630887185104,False,False
BROAD136,0.05,skip,10,RS8,0.9364102564102564,-0.007147121351681829,0.12237182152682813,0.0025894471346184834,False,False,False,2.6492689166276633,0.9676889375684556,False,False
BROAD136,0.05,skip,25,ROT,0.9364102564102564,0.13488965887285143,0.28597914613712827,0.1665540857619264,False,False,False,2.1047704072772158,0.9382803943044907,False,False
BROAD136,0.05,skip,25,RS1,0.9364102564102564,0.13488965887285143,0.2986442423661514,0.2004300100949234,False,False,False,5.363556275288739,0.9360898138006573,False,False
BROAD136,0.05,skip,25,RS16,0.9364102564102564,0.13488965887285143,0.1997557657317789,0.14710704522579687,False,False,False,0.06540580131454204,0.998904709748083,False,False
BROAD136,0.05,skip,25,RS2,0.9364102564102564,0.13488965887285143,0.32311385463262077,0.19024509159343767,False,False,False,4.817727775118355,0.9406900328587076,False,False
BROAD136,0.05,skip,25,RS4,0.9364102564102564,0.13488965887285143,0.30199009491781836,0.17607389343631064,False,False,False,3.610677619471034,0.948630887185104,False,False
BROAD136,0.05,skip,25,RS8,0.9364102564102564,0.13488965887285143,0.2537003499323748,0.13469044729297383,False,False,False,2.6492689166276633,0.9676889375684556,False,False
BROAD136,0.1,half,10,ROT,0.8769230769230769,0.025503676449835533,0.05569254810864366,0.035958822563950166,False,False,False,0.04870845644569168,0.8796491228070176,False,False
BROAD136,0.1,half,10,RS1,0.8769230769230769,0.025503676449835533,0.058756921693276176,0.03741618805666823,False,False,False,0.054045979696172114,0.8781286549707602,False,False
