scope,item,file,x,y,rows,levels,pinned,x0,n_pins,next_up,next_dn,exact_crossing,last_nonpos,reader_floor,published,kind
REGISTERED,219,2026-09-06_what-modal-share-makes-a-mode-writable_cloud.cells.csv,share_mean,d_mean,560,242,True,1.0,1,,0.96875,,1.0,False,0.425,crossing
REGISTERED,167,2026-09-05_is-the-value-cost-parallelism-general_cloud.curve.csv,m,"('ratio_TO', -1.0)",120,10,False,,0,,,0.05,,False,,no-crossing
REGISTERED,159B,2026-09-05_the-share-at-which-ranking-stops-paying_B.curve.csv,m,"('g', '-c_INC')",120,10,False,,0,,,0.05,,False,,no-crossing
REGISTERED,159c,2026-09-05_the-share-at-which-ranking-stops-paying_cloud.curve.csv,m,"('absdC', '-cost')",42,14,False,,0,,,0.03,,False,0.85,no-crossing
REGISTERED,168B,2026-09-05_the-sign-is-the-parameter-not-the-share_B.curve.csv,k,dSharpe,486,9,True,0.0,1,0.25,-0.25,,1.0,False,,argmax
REGISTERED,168c,2026-09-05_the-sign-is-the-parameter-not-the-share_cloud.curve.csv,k,dSharpe,352,11,True,0.0,1,0.1,-0.1,0.1,0.0,True,,crossing
REGISTERED,103,2026-09-07_correlation-as-the-sleeve-design-variable_B.curve.csv,corr,dSharpe,1152,192,False,,0,,,-0.0112974636741161,,False,,crossing
REGISTERED,61,2026-09-06_gate-instrument-speed-curve_cloud.grid.csv,flips,gm_dSharpe,408,48,False,,0,,,,8.601415634650671,False,,crossing
REGISTERED,277,2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C.reversal.csv,etf_share,"('rev', -0.5)",336,8,False,,0,,,,0.875,False,,argmax
REGISTERED,bandgate,2026-09-06_band-gate-on-small-panel_B.curve.csv,__band__,__gap__,168,7,True,0.0,1,0.02,,0.02,0.0,True,,crossing
SWEEP,,2026-09-05_the-share-at-which-ranking-stops-paying_cloud.curve.csv,m,cost_RND,42,14,True,0.03,12,0.05,,0.9,0.75,False,,
SWEEP,,2026-09-05_the-sign-is-the-parameter-not-the-share_B.curve.csv,k,dCAGR,486,9,True,0.0,1,0.25,-0.25,0.25,0.0,True,,
SWEEP,,2026-09-05_the-sign-is-the-parameter-not-the-share_B.curve.csv,k,dSharpe,486,9,True,0.0,1,0.25,-0.25,,1.0,False,,
SWEEP,,2026-09-05_the-sign-is-the-parameter-not-the-share_B.curve.csv,k,dCAGR_OOS,486,9,True,0.0,1,0.25,-0.25,0.25,0.0,True,,
SWEEP,,2026-09-05_the-sign-is-the-parameter-not-the-share_B.curve.csv,k,dSharpe_OOS,486,9,True,0.0,1,0.25,-0.25,,1.0,False,,
SWEEP,,2026-09-05_the-sign-is-the-parameter-not-the-share_cloud.curve.csv,share,pass4b,352,8,True,0.05,2,0.1,,0.2,0.15,False,,
SWEEP,,2026-09-05_the-sign-is-the-parameter-not-the-share_cloud.curve.csv,n,pass4a,352,16,True,2.0,6,4.0,,32.0,28.0,False,,
SWEEP,,2026-09-05_the-sign-is-the-parameter-not-the-share_cloud.curve.csv,n,pass4b,352,16,True,2.0,6,4.0,,20.0,18.0,False,,
SWEEP,,2026-09-05_the-sign-is-the-parameter-not-the-share_cloud.curve.csv,k,dCAGR_pp,352,11,True,0.0,1,0.1,-0.1,0.1,0.0,True,,
SWEEP,,2026-09-05_the-sign-is-the-parameter-not-the-share_cloud.curve.csv,k,dSharpe,352,11,True,0.0,1,0.1,-0.1,0.1,0.0,True,,
SWEEP,,2026-09-05_the-sign-is-the-parameter-not-the-share_cloud.curve.csv,k,dMaxDD_pp,352,11,True,0.0,1,0.1,-0.1,0.1,0.0,True,,
SWEEP,,2026-09-05_the-sign-is-the-parameter-not-the-share_cloud.curve.csv,k,cost_k_pp,352,11,True,0.0,1,0.1,-0.1,0.5,0.25,False,,
SWEEP,,2026-09-05_the-sign-is-the-parameter-not-the-share_cloud.curve.csv,k,pass4b,352,11,True,-1.0,3,-0.75,,-0.25,-0.5,False,,
SWEEP,,2026-09-05_the-sign-is-the-parameter-not-the-share_cloud.curve.csv,k,dCAGR_net_of_extra_cost_pp,352,11,True,0.0,1,0.1,-0.1,0.1,0.0,True,,
SWEEP,,2026-09-06_gate-instrument-speed-curve_cloud.curve.csv,rho_flips_gross,argmax_interior,24,12,True,0.550920245398773,1,,0.4625766871165644,,0.550920245398773,False,,
SWEEP,,2026-09-06_gate-instrument-speed-curve_cloud.grid.csv,flips,dial,408,48,True,5.654991527064019,3,5.881313878582322,3.979062812259549,7.442769168783254,6.887203930074751,False,,
SWEEP,,2026-09-06_gate-instrument-speed-curve_cloud.keep.csv,dial,pass4a,408,14,True,0.0,13,0.02,,,252.0,False,,
