file,status,n_cells,n_arms
2026-09-04_52w-high-proximity_C.grid.csv,no arm column,0,0
2026-09-04_crypto-sleeve_C.grid.csv,no arm column,0,0
2026-09-04_drawdown-control_C.grid.csv,ADMITTED,419,226
2026-09-04_drawdown-control_C.ladder.csv,no arm column,0,0
2026-09-04_drawdown-control_C.rates.csv,no matched IS_/OOS_ pair,0,0
2026-09-04_drawdown-insurance-price-list_B.grid.csv,ADMITTED,64,149
2026-09-04_drawdown-insurance-price-list_B.pricelist.csv,no matched IS_/OOS_ pair,0,0
2026-09-04_earnings-season-avoidance_cloud.effect.csv,no arm column,0,0
2026-09-04_earnings-season-avoidance_cloud.grid.csv,no arm column,0,0
2026-09-04_earnings-season-avoidance_cloud.premise.csv,no arm column,0,0
2026-09-04_earnings-season-avoidance_cloud.walkforward.csv,no usable cell,12,0
2026-09-04_ensemble-plus-momentum_C.costladder.csv,no arm column,0,0
2026-09-04_ensemble-plus-momentum_C.diversification.csv,no arm column,0,0
2026-09-04_ensemble-plus-momentum_C.grid.csv,no arm column,0,0
2026-09-04_ensemble-plus-momentum_C.walkforward.csv,no arm column,0,0
2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,no arm column,0,0
2026-09-04_gross-matched-turnover-constraints_B.effects.csv,no arm column,0,0
2026-09-04_gross-matched-turnover-constraints_B.grid.csv,ADMITTED,81,274
2026-09-04_gross-matched-turnover-constraints_B.survival.csv,no arm column,0,0
2026-09-04_interior-4b-selection_cloud.grid.csv,no arm column,0,0
2026-09-04_interior-4b-selection_cloud.selections.csv,no matched IS_/OOS_ pair,0,0
2026-09-04_is-window-has-no-crash_C.grid.csv,no arm column,0,0
2026-09-04_is-window-has-no-crash_C.selections.csv,no matched IS_/OOS_ pair,0,0
2026-09-04_momentum-plus-quality-proxy_cloud.grid.csv,no matched IS_/OOS_ pair,0,0
2026-09-04_monthly-seasonality_cloud.grid.csv,no arm column,0,0
2026-09-04_one-year-leverage-audit_cloud.grid.csv,no arm column,0,0
2026-09-04_rsi2-sleeve_cloud.grid.csv,no arm column,0,0
2026-09-04_sector-only-universe_C.grid.csv,no arm column,0,0
2026-09-04_selectability-pre-test_cloud.cells.csv,no arm column,0,0
2026-09-04_selectability-pre-test_cloud.grid.csv,no arm column,0,0
2026-09-04_sharpe-bound-book-change_cloud.grid.csv,no matched IS_/OOS_ pair,0,0
2026-09-04_spinoff-calendar.events.csv,no arm column,0,0
2026-09-04_turnover-budget_B.grid.csv,ADMITTED,48,133
2026-09-04_vol-cap-as-a-satellite-clause_B.equitygate.csv,no arm column,0,0
2026-09-04_vol-cap-as-a-satellite-clause_B.grid.csv,no arm column,0,0
2026-09-04_which-4b-bar-binds_B.gladder.csv,no arm column,0,0
2026-09-04_which-4b-bar-binds_B.grid.csv,ADMITTED,138,339
2026-09-05_2011-the-opposite-outlier_C.grid.csv,no arm column,0,0
2026-09-05_2011-the-opposite-outlier_C.l2o.csv,no matched IS_/OOS_ pair,0,0
2026-09-05_2011-the-opposite-outlier_C.peryear.csv,no arm column,0,0
2026-09-05_2011-the-opposite-outlier_C.picks.csv,no arm column,0,0
2026-09-05_2011-the-opposite-outlier_C.recut.csv,no arm column,0,0
2026-09-05_2011-the-opposite-outlier_C.swaps.csv,no arm column,0,0
2026-09-05_2011-the-opposite-outlier_C.walkforward.csv,no matched IS_/OOS_ pair,0,0
2026-09-05_2011-the-opposite-outlier_C.yearsplit.csv,no arm column,0,0
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.deltas.csv,no arm column,0,0
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.grid.csv,no arm column,0,0
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.peryear.csv,no arm column,0,0
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.picks.csv,no arm column,0,0
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.swaps.csv,no arm column,0,0
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.walkforward.csv,no matched IS_/OOS_ pair,0,0
2026-09-05_IS-Sharpe-margin-as-the-reportable-selector-statistic_cloud.cells.csv,no matched IS_/OOS_ pair,0,0
2026-09-05_IS-Sharpe-margin-as-the-reportable-selector-statistic_cloud.grid.csv,no arm column,0,0
2026-09-05_IS-Sharpe-margin-as-the-reportable-selector-statistic_cloud.tests.csv,no arm column,0,0
2026-09-05_IS-Sharpe-margin-as-the-reportable-selector-statistic_cloud.walkforward.csv,no matched IS_/OOS_ pair,0,0
2026-09-05_V1u-small-negative-price_cloud.bootdecision.csv,no matched IS_/OOS_ pair,0,0
2026-09-05_V1u-small-negative-price_cloud.bootstrap.csv,no matched IS_/OOS_ pair,0,0
2026-09-05_V1u-small-negative-price_cloud.concentration.csv,no matched IS_/OOS_ pair,0,0
2026-09-05_V1u-small-negative-price_cloud.costs.csv,no matched IS_/OOS_ pair,0,0
2026-09-05_V1u-small-negative-price_cloud.pricelist.csv,no matched IS_/OOS_ pair,0,0
2026-09-05_V1u-small-negative-price_cloud.walkforward.csv,no matched IS_/OOS_ pair,0,0
2026-09-05_absorbing-state-audit_B.ddctl.csv,ADMITTED,154,1231
2026-09-05_absorbing-state-audit_B.ladder.csv,no arm column,0,0
2026-09-05_absorbing-state-audit_B.stop.csv,ADMITTED,159,219
2026-09-05_absorbing-state-audit_B.walkforward.csv,no matched IS_/OOS_ pair,0,0
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud.cells.csv,no arm column,0,0
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud.gates.csv,no arm column,0,0
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud.record.csv,no arm column,0,0
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud.walkforward.csv,no arm column,0,0
2026-09-05_audit-every-committed-null-for-a-salted-seed_C.audit.csv,no arm column,0,0
2026-09-05_audit-every-committed-null-for-a-salted-seed_C.exact.csv,no arm column,0,0
2026-09-05_audit-every-committed-null-for-a-salted-seed_C.keep.csv,no arm column,0,0
2026-09-05_audit-every-committed-null-for-a-salted-seed_C.walkforward.csv,no matched IS_/OOS_ pair,0,0
2026-09-05_back-fill-the-swapped-coefficient-audit_B.astsweep.csv,no arm column,0,0
2026-09-05_back-fill-the-swapped-coefficient-audit_B.grid.csv,no arm column,0,0
2026-09-05_back-fill-the-swapped-coefficient-audit_B.repro.csv,no arm column,0,0
2026-09-05_back-fill-the-swapped-coefficient-audit_B.site.csv,no matched IS_/OOS_ pair,0,0
2026-09-05_back-fill-the-swapped-coefficient-audit_B.surface.csv,no arm column,0,0
2026-09-05_back-fill-the-swapped-coefficient-audit_B.walkforward.csv,no matched IS_/OOS_ pair,0,0
