panel,book,dial,n_values,parents,dn_turnover,turn_min,turn_max,turn_span,argmax_0bps,argmax_5bps,argmax_10bps,argmax_15bps,argmax_20bps,argmax_25bps,argmax_30bps,n_distinct_argmax,rerankable,cost_of_0bps_pick_at_10,cost_of_0bps_pick_at_20,cost_of_0bps_pick_at_25,cost_of_0bps_pick_at_30,chooser_power_10,chooser_power_20,chooser_power_25,chooser_power_30,sharpe_range_10bps
U56,EWALL,G,7,"i230,i228",10.859235558641757,3.5149158888526526,10.859235558641757,7.344319669789105,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,0.0,0.0,0.0,0.0,0.13007372099660475,0.18513414062378586,0.21270687223290896,0.24029915070893204,0.12839279042433316
U56,EWALL,V,8,"i230,i228",10.859235558641757,10.058040646927696,18.05255318629007,7.994512539362374,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,0.0,0.0,0.0,0.0,-0.00023705108120330998,0.013172105196600725,0.019905854895105102,0.02665518269606293,0.3030415211105192
U56,EWALL,K,7,"i230,i228",10.859235558641757,2.5519298155649968,10.859235558641757,8.30730574307676,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,False,0.0,0.0,0.0,0.0,-0.1868838083276123,-0.12267565000393954,-0.09055417319929049,-0.05842938971966771,0.15860402565831833
U56,TOPN,N,9,"i230,i228",12.832255465220616,6.6860257449241915,27.632896105904695,20.946870360980505,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1,False,0.0,0.0,0.0,0.0,-0.1082419234722869,-0.12289581257695048,-0.13026503370122688,0.13693544366012,0.19545984886212264
U56,TOPN,G,7,"i230,i228",12.832255465220616,10.564531022090911,12.832255465220616,2.267724443129705,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,0.0,0.0,0.0,0.0,-0.0022202449639465716,0.008833113050620067,0.014364977065073115,0.01989869812102607,0.048167575984784605
U56,TOPN,V,8,"i230,i228",12.832255465220616,12.222099725044108,14.299223875045872,2.0771241500017634,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,0.0,0.0,0.0,0.0,0.002745629928751381,0.013665869902584227,0.01914080105743987,0.024623826183043374,0.3968598914582864
U56,TOPN,K,7,"i230,i228",12.832255465220616,3.2548063561328577,12.832255465220616,9.577449109087759,1.0,6.0,6.0,6.0,6.0,6.0,6.0,2,True,0.04713820806795521,0.10112709655891505,0.12813051883924165,0.15513557482842433,-0.029264308320603005,0.021324783471045494,0.04663174877802523,0.0719434369877836,0.1460797143465642
U56,V1C,N,9,"i230,i228",14.151805773966812,6.589043846052834,37.174074474507485,30.58503062845465,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1,False,0.0,0.0,0.0,0.0,-0.18064902450806652,0.26344348516745475,0.28619971077157813,0.308972444800664,0.4940855077772953
U56,V1C,G,7,"i230,i228",14.151805773966812,11.616854221313824,14.151805773966812,2.5349515526529878,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,0.0,0.0,0.0,0.0,0.07902785294194015,0.20448717955287732,0.2186125951462914,0.23274052793021116,0.1225446947246206
U56,V1C,V,8,"i230,i228",14.151805773966812,13.559085268919166,14.201907716407769,0.6428224474886033,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,0.0,0.0,0.0,0.0,0.020731912125314222,0.022490917615422545,0.02338170914365556,0.024279420603880664,0.2638842533696144
U56,V1C,K,7,"i230,i228",14.151805773966812,3.3573210855408075,14.151805773966812,10.794484688426005,2.0,2.0,6.0,6.0,6.0,6.0,6.0,2,True,0.0136889642042195,0.048097133423662175,0.0653079908905303,0.08251877475392488,0.008664013012339655,0.0746727110704899,0.10769452255223921,0.14071995678499505,0.2126954923848312
B136,EWALL,G,7,"i230,i228",10.912638352483793,3.4750411914607064,10.912638352483793,7.437597161023087,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,0.0,0.0,0.0,0.0,0.0857446942849156,0.14036006169287185,0.1676980544290606,0.19504838852828899,0.11703182485249797
B136,EWALL,V,8,"i230,i228",10.912638352483793,10.342497268129971,22.25294968477945,11.910452416649477,0.8,0.8,0.8,0.8,5.0,5.0,5.0,2,True,0.0,0.0006735132281918688,0.0025235774945818745,0.004377581262932861,-0.32662450811205324,0.04286643688599412,0.0470983278202578,0.051336247985233174,0.1898827926854174
B136,EWALL,K,7,"i230,i228",10.912638352483793,2.5943807647996504,10.912638352483793,8.318257587684142,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,False,0.0,0.0,0.0,0.0,-0.09530980009171575,-0.03188694690765537,-0.0001734892861562365,0.031533796109454615,0.092281628753899
B136,TOPN,N,10,"i230,i228",18.349650059898526,11.415836808757009,32.05845452567644,20.642617716919432,40.0,40.0,56.0,56.0,56.0,56.0,56.0,2,True,0.0012096344545082793,0.00944771520733434,0.013573718578064775,0.017702867937430367,0.009880018366380305,0.01777937574794175,0.021732291961036432,0.025685289421436774,0.279719153682243
B136,TOPN,G,7,"i230,i228",18.349650059898526,17.730468464160875,18.349650059898526,0.6191815957376505,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,0.0,0.0,0.0,0.0,-0.0008716803065320633,0.002062634871302982,0.003535080634939458,0.005010356815382866,0.016767137858137215
B136,TOPN,V,8,"i230,i228",18.349650059898526,17.50670015629153,25.7424299733303,8.23572981703877,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,False,0.0,0.0,0.0,0.0,0.024682710836676502,0.0389800722276884,0.04614494215834475,0.05331725516922814,0.20872587619769445
B136,TOPN,K,7,"i230,i228",18.349650059898526,4.649802397768654,18.349650059898526,13.699847662129873,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,False,0.0,0.0,0.0,0.0,-0.03720711985305836,0.03249236203657069,0.06734812251922295,0.1022009076189544,0.10327532816457108
B136,V1C,N,10,"i230,i228",23.737389307752142,12.374289017392163,45.17193712736901,32.79764810997685,25.0,40.0,56.0,56.0,56.0,56.0,56.0,3,True,0.028282967743608167,0.088516573601505,0.11865509062039814,0.14878346641709894,0.05706804415066169,0.0710197896319773,0.08773637486428454,0.23470982371811966,0.3673563144453348
B136,V1C,G,7,"i230,i228",23.737389307752142,22.960441738965798,23.737389307752142,0.7769475687863441,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,0.0,0.0,0.0,0.0,0.04024320882162791,0.05109210250226437,0.05652761354629743,0.06196267792385046,0.060541535370791766
B136,V1C,V,8,"i230,i228",23.737389307752142,23.69092965874673,24.30370443121877,0.61277477247204,0.2,0.2,0.8,0.8,5.0,5.0,5.0,3,True,0.02378269677885947,0.08129625689021336,0.11114851540597442,0.14084355306721696,-0.0922577991086847,-0.16061825453075684,0.0,0.0,0.02603748363820446
B136,V1C,K,7,"i230,i228",23.737389307752142,5.565005453781221,23.737389307752142,18.17238385397092,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2,True,0.025948691310354155,0.06532750336219673,0.08499621774440613,0.1046379630306804,-0.02317565676400568,0.10163978374988558,0.1640086956204403,0.22631436719129305,0.17808728873515323
SMALL439,EWALL,G,7,i230,17.632686618078484,9.169881434239475,17.632686618078484,8.46280518383901,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,0.0,0.0,0.0,0.0,0.10754711077259538,0.15540538723821481,0.17929621495177042,0.20315250493170225,0.159212609765495
SMALL439,EWALL,V,8,i230,17.632686618078484,13.599976740000228,39.74270334596273,26.1427266059625,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,0.0,0.0,0.0,0.0,-0.04629654000857564,-0.09948255348661404,-0.1260424554873654,-0.15255589892320595,0.31987250905072245
SMALL439,EWALL,K,7,i230,17.632686618078484,3.7459642419070356,17.632686618078484,13.886722376171448,8.0,8.0,8.0,13.0,13.0,13.0,13.0,2,True,0.0,0.004317741544201115,0.008067257782833737,0.011814393544762491,0.09508522141821729,0.16930710314395084,0.20634665552896644,0.2433294209482789,0.1431491617476338
SMALL439,TOPN,N,10,i230,26.933992671884695,20.32980873969316,47.632114080776816,27.302305341083656,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1,False,0.0,0.0,0.0,0.0,0.041990170862373,0.039931039556549586,0.03890601723929821,0.03788521029558106,0.34672755427002105
SMALL439,TOPN,G,7,i230,26.933992671884695,26.763992969222265,26.933992671884695,0.16999970266243025,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,False,0.0,0.0,0.0,0.0,-0.044428236902091134,-0.04162883815100216,-0.04021790409251236,-0.038800537693350484,0.023446802868397343
SMALL439,TOPN,V,8,i230,26.933992671884695,21.769676663801448,34.01263377916782,12.242957115366373,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,0.0,0.0,0.0,0.0,0.2982399749898259,0.3461080901329698,0.3700123106907641,0.3938840948576449,0.6046263493689736
SMALL439,TOPN,K,7,i230,26.933992671884695,6.00935147413619,26.933992671884695,20.924641197748507,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,False,0.0,0.0,0.0,0.0,0.03219250693803577,0.020182263242985055,0.06333191762972068,0.10644938427011702,0.2869564966999043
