script,construction,publishes_gross_col,csv_sweeps_count,max_swept_n,n_sibling_csvs
2026-09-03_composite-vs-equal-weight.py,UNKNOWN,0,0,0,0
2026-09-03_dual-momentum-classes.py,NORM,0,0,0,0
2026-09-03_full-exposure-v1.py,UNKNOWN,0,0,0,0
2026-09-04_core-sleeve-walk-forward-repair_B.py,NORM,0,0,0,0
2026-09-04_cost-sensitivity_cloud.py,UNKNOWN,0,0,0,0
2026-09-04_eligible-fraction-vs-n_B.py,NORM,0,0,0,0
2026-09-04_interior-4b-selection_cloud.py,BOTH,0,0,0,2
2026-09-04_is-window-has-no-crash_C.py,BOTH,0,0,0,2
2026-09-04_lookback-blend_C.py,BOTH,0,0,0,0
2026-09-04_prox-inverted-signal_cloud.py,FIXED,0,0,0,0
2026-09-04_selectability-pre-test_cloud.py,BOTH,0,0,0,2
2026-09-04_sharpe-bound-book-change_cloud.py,BOTH,1,0,0,1
2026-09-04_spinoff-calendar.py,UNKNOWN,0,0,0,1
2026-09-04_spy-tlt-gld-riskparity_C.py,NORM,0,0,0,0
2026-09-04_third-universe-portability_B.py,NORM,0,0,0,0
2026-09-04_trend-gate-lookback-primary_cloud.py,BOTH,0,0,0,0
2026-09-05_V1u-small-negative-price_cloud.py,FIXED,0,1,40,6
2026-09-05_band-width-at-g085_cloud.py,NORM,1,0,0,3
2026-09-05_cagr-floor-calibration_B.py,UNKNOWN,1,1,1,5
2026-09-05_de-gross-vs-reweight-across-gates_cloud.py,UNKNOWN,1,0,0,4
2026-09-05_defensive-class-census_B.py,BOTH,1,1,5,2
2026-09-05_delete-the-scaler-on-small_cloud.py,BOTH,1,1,40,7
2026-09-05_does-a-harmful-instrument-clear-more-often-than-a-helpful-one_B.py,UNKNOWN,0,1,1,7
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.py,UNKNOWN,1,1,141,6
2026-09-05_does-book-share-price-a-tilt_C.py,FIXED,1,1,75,6
2026-09-05_does-share-price-any-key-or-only-vol_B.py,FIXED,1,1,1,6
2026-09-05_does-the-ceiling-beat-a-chosen-gross_C.py,FIXED,1,1,80,5
2026-09-05_does-the-modal-constant-result-survive-a-cost-ladder_cloud.py,UNKNOWN,0,0,0,6
2026-09-05_execution-lag-sensitivity-of-the-price-list_C.py,UNKNOWN,1,0,0,5
2026-09-05_gross-as-the-missing-third-bar_B.py,UNKNOWN,1,1,1,7
2026-09-05_gross-dispersion-not-gross-level_cloud.py,UNKNOWN,1,1,1,6
2026-09-05_how-many-draws-does-clause-11b-need_cloud.py,UNKNOWN,0,1,200,5
2026-09-05_is-Calmar-immunity-general_C.py,UNKNOWN,1,0,0,5
2026-09-05_is-PRICE-NEG-the-only-arm-that-is-both-large-and-helpful_B.py,FIXED,0,1,1,4
2026-09-05_is-the-book-size-floor-a-corpus-wide-clause_C.py,FIXED,1,1,60,6
2026-09-05_is-the-defensive-class-one-book_cloud.py,BOTH,1,1,1,4
2026-09-05_is-the-ladder-even-a-candidate_C.py,UNKNOWN,1,1,1,10
2026-09-05_is-the-value-cost-parallelism-general_cloud.py,FIXED,1,1,1,5
2026-09-05_liquidity-screened-small-panel_cloud.py,NORM,1,0,0,7
2026-09-05_no-leverage-ceiling-is-load-bearing_cloud.py,UNKNOWN,1,1,57,11
2026-09-05_post-trigger-short-term-reversal_cloud.py,NORM,1,0,0,3
2026-09-05_price-the-broad-POS-near-miss_cloud.py,UNKNOWN,1,1,0,5
2026-09-05_quote-the-lift-not-the-rate_cloud.py,UNKNOWN,1,0,0,5
2026-09-05_required-gross-as-a-leaderboard-column_cloud.py,UNKNOWN,1,1,4439,5
2026-09-05_selectivity-as-the-book-parameter_B.py,FIXED,0,0,0,3
2026-09-05_sleeve-f-that-clears-the-floor_cloud.py,BOTH,1,1,1,3
2026-09-05_sleeve-with-a-real-diversifier_cloud.py,BOTH,1,0,0,8
2026-09-05_the-null-column-for-instruments-that-are-not-keyed-tilts_cloud.py,UNKNOWN,0,0,0,5
2026-09-05_threshold-plateaus-are-the-general-case_cloud.py,NORM,0,0,0,3
2026-09-05_vol-threshold-sweep-on-ewall_B.py,UNKNOWN,1,0,0,2
2026-09-05_vol20-as-the-hidden-ranking-key_cloud.py,FIXED,1,0,0,4
2026-09-05_where-does-the-POS-tilt-stop-transferring_C.py,FIXED,1,1,439,5
2026-09-05_why-the-IS-4b-screen-changes-no-pick_cloud.py,UNKNOWN,1,0,0,3
