file,status,reason,rows,n4b
2026-09-04_52w-high-proximity_C.grid.csv,drop,no dial with an explicit OFF level,28,3.0
2026-09-04_crypto-sleeve_C.grid.csv,drop,no dial with an explicit OFF level,78,19.0
2026-09-04_drawdown-control_C.grid.csv,census,,882,52.0
2026-09-04_drawdown-control_C.ladder.csv,drop,no dial with an explicit OFF level,114,5.0
2026-09-04_drawdown-control_C.rates.csv,drop,no dial with an explicit OFF level,288,17.0
2026-09-04_drawdown-insurance-price-list_B.grid.csv,census,,204,29.0
2026-09-04_drawdown-insurance-price-list_B.pricelist.csv,drop,no dial with an explicit OFF level,192,29.0
2026-09-04_earnings-season-avoidance_cloud.effect.csv,drop,no 4b pass column,360,
2026-09-04_earnings-season-avoidance_cloud.grid.csv,drop,no 4b pass column,372,
2026-09-04_earnings-season-avoidance_cloud.premise.csv,drop,no 4b pass column,60,
2026-09-04_earnings-season-avoidance_cloud.walkforward.csv,drop,no 4b pass column,12,
2026-09-04_ensemble-plus-momentum_C.costladder.csv,drop,no 4b pass column,20,
2026-09-04_ensemble-plus-momentum_C.diversification.csv,drop,no 4b pass column,36,
2026-09-04_ensemble-plus-momentum_C.grid.csv,drop,no 4b pass column,60,
2026-09-04_ensemble-plus-momentum_C.walkforward.csv,drop,no 4b pass column,12,
2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,drop,no 4b pass column,60,
2026-09-04_gross-matched-turnover-constraints_B.effects.csv,drop,no dial with an explicit OFF level,84,20.0
2026-09-04_gross-matched-turnover-constraints_B.grid.csv,census,,368,112.0
2026-09-04_gross-matched-turnover-constraints_B.survival.csv,drop,no 4b pass column,42,
2026-09-04_interior-4b-selection_cloud.grid.csv,drop,no 4b pass column,66,
2026-09-04_interior-4b-selection_cloud.selections.csv,drop,no 4b pass column,48,
2026-09-04_is-window-has-no-crash_C.grid.csv,drop,no 4b pass column,66,
2026-09-04_is-window-has-no-crash_C.selections.csv,drop,no 4b pass column,36,
2026-09-04_momentum-plus-quality-proxy_cloud.grid.csv,census,,312,37.0
2026-09-04_monthly-seasonality_cloud.grid.csv,drop,no dial with an explicit OFF level,150,16.0
2026-09-04_one-year-leverage-audit_cloud.grid.csv,drop,no 4b pass column,13,
2026-09-04_rsi2-sleeve_cloud.grid.csv,drop,no dial with an explicit OFF level,42,2.0
2026-09-04_sector-only-universe_C.grid.csv,drop,no dial with an explicit OFF level,30,6.0
2026-09-04_selectability-pre-test_cloud.cells.csv,drop,no 4b pass column,22,
2026-09-04_selectability-pre-test_cloud.grid.csv,drop,no 4b pass column,122,
2026-09-04_sharpe-bound-book-change_cloud.grid.csv,census,,96,27.0
2026-09-04_spinoff-calendar.events.csv,drop,no 4b pass column,129,
2026-09-04_turnover-budget_B.grid.csv,drop,no dial with an explicit OFF level,176,40.0
2026-09-04_vol-cap-as-a-satellite-clause_B.equitygate.csv,drop,no 4b pass column,14,
2026-09-04_vol-cap-as-a-satellite-clause_B.grid.csv,census,,48,25.0
2026-09-04_which-4b-bar-binds_B.gladder.csv,drop,no dial with an explicit OFF level,312,70.0
2026-09-04_which-4b-bar-binds_B.grid.csv,drop,no dial with an explicit OFF level,480,146.0
2026-09-05_2011-the-opposite-outlier_C.grid.csv,drop,no 4b pass column,208,
2026-09-05_2011-the-opposite-outlier_C.l2o.csv,drop,no 4b pass column,1232,
2026-09-05_2011-the-opposite-outlier_C.peryear.csv,drop,no 4b pass column,2788,
2026-09-05_2011-the-opposite-outlier_C.picks.csv,drop,no 4b pass column,44,
2026-09-05_2011-the-opposite-outlier_C.recut.csv,drop,no dial with an explicit OFF level,15,1.0
2026-09-05_2011-the-opposite-outlier_C.swaps.csv,drop,no 4b pass column,16,
2026-09-05_2011-the-opposite-outlier_C.walkforward.csv,drop,no 4b pass column,2024,
2026-09-05_2011-the-opposite-outlier_C.yearsplit.csv,drop,no 4b pass column,8,
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.deltas.csv,drop,no 4b pass column,164,
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.grid.csv,drop,no 4b pass column,208,
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.peryear.csv,drop,no 4b pass column,2788,
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.picks.csv,drop,no 4b pass column,44,
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.swaps.csv,drop,no 4b pass column,72,
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.walkforward.csv,drop,no 4b pass column,88,
2026-09-05_IS-Sharpe-margin-as-the-reportable-selector-statistic_cloud.cells.csv,drop,no 4b pass column,44,
2026-09-05_IS-Sharpe-margin-as-the-reportable-selector-statistic_cloud.grid.csv,drop,no 4b pass column,208,
2026-09-05_IS-Sharpe-margin-as-the-reportable-selector-statistic_cloud.tests.csv,drop,no 4b pass column,24,
2026-09-05_IS-Sharpe-margin-as-the-reportable-selector-statistic_cloud.walkforward.csv,drop,no 4b pass column,44,
2026-09-05_V1u-small-negative-price_cloud.bootdecision.csv,drop,no 4b pass column,12,
2026-09-05_V1u-small-negative-price_cloud.bootstrap.csv,drop,no 4b pass column,1200,
2026-09-05_V1u-small-negative-price_cloud.concentration.csv,drop,no 4b pass column,40,
2026-09-05_V1u-small-negative-price_cloud.costs.csv,drop,no 4b pass column,24,
2026-09-05_V1u-small-negative-price_cloud.pricelist.csv,drop,no 4b pass column,32,
2026-09-05_V1u-small-negative-price_cloud.walkforward.csv,drop,no dial with an explicit OFF level,2,0.0
2026-09-05_absorbing-state-audit_B.ddctl.csv,census,,1452,50.0
2026-09-05_absorbing-state-audit_B.ladder.csv,drop,no 4b pass column,228,
2026-09-05_absorbing-state-audit_B.stop.csv,census,,396,23.0
2026-09-05_absorbing-state-audit_B.walkforward.csv,drop,no 4b pass column,78,
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud.cells.csv,drop,no dial with an explicit OFF level,378,74.0
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud.gates.csv,drop,no dial with an explicit OFF level,27,27.0
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud.record.csv,drop,no 4b pass column,74,
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud.walkforward.csv,drop,no dial with an explicit OFF level,27,27.0
2026-09-05_audit-every-committed-null-for-a-salted-seed_C.audit.csv,drop,no 4b pass column,5,
2026-09-05_audit-every-committed-null-for-a-salted-seed_C.exact.csv,drop,no dial with an explicit OFF level,60,27.0
2026-09-05_audit-every-committed-null-for-a-salted-seed_C.keep.csv,drop,no dial with an explicit OFF level,60,27.0
2026-09-05_audit-every-committed-null-for-a-salted-seed_C.walkforward.csv,drop,no dial with an explicit OFF level,1200,3.0
2026-09-05_back-fill-the-swapped-coefficient-audit_B.astsweep.csv,drop,no 4b pass column,62,
2026-09-05_back-fill-the-swapped-coefficient-audit_B.grid.csv,drop,no dial with an explicit OFF level,352,47.0
2026-09-05_back-fill-the-swapped-coefficient-audit_B.repro.csv,drop,no 4b pass column,17,
2026-09-05_back-fill-the-swapped-coefficient-audit_B.site.csv,drop,no 4b pass column,16,
2026-09-05_back-fill-the-swapped-coefficient-audit_B.surface.csv,drop,no 4b pass column,25,
2026-09-05_back-fill-the-swapped-coefficient-audit_B.walkforward.csv,drop,no 4b pass column,16,
2026-09-05_band-width-at-g085_cloud.grid.csv,drop,no dial with an explicit OFF level,200,44.0
2026-09-05_band-width-at-g085_cloud.matched_gross.csv,drop,no 4b pass column,160,
2026-09-05_band-width-at-g085_cloud.walkforward.csv,drop,no dial with an explicit OFF level,160,32.0
2026-09-05_cagr-floor-calibration_B.calibration.csv,census,,6426,584.0
2026-09-05_cagr-floor-calibration_B.grid.csv,census,,306,29.0
2026-09-05_cagr-floor-calibration_B.ladder.csv,drop,no dial with an explicit OFF level,342,10.0
2026-09-05_cagr-floor-calibration_B.riskwork.csv,drop,no 4b pass column,306,
2026-09-05_cagr-floor-calibration_B.walkforward.csv,drop,no 4b pass column,54,
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,drop,no 4b pass column,208,
2026-09-05_cagr-floor-constrained-selector_cloud.paired.csv,drop,no 4b pass column,44,
2026-09-05_cagr-floor-constrained-selector_cloud.picks.csv,drop,no 4b pass column,176,
2026-09-05_candidate-count-vs-dispersion_B.gridA.csv,drop,no 4b pass column,300,
2026-09-05_candidate-count-vs-dispersion_B.gridB.csv,drop,no 4b pass column,300,
2026-09-05_candidate-count-vs-dispersion_B.walkforward.csv,drop,no 4b pass column,12,
2026-09-05_clause-11b-draw-count-by-enumeration_cloud.exact.csv,drop,no dial with an explicit OFF level,180,28.0
2026-09-05_clause-11b-draw-count-by-enumeration_cloud.grid.csv,drop,no 4b pass column,72,
2026-09-05_clause-11b-draw-count-by-enumeration_cloud.keep.csv,drop,no 4b pass column,16,
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.betas.csv,drop,no 4b pass column,208,
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.diagnostics.csv,drop,no 4b pass column,3,
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.grid.csv,drop,no 4b pass column,208,
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.paired.csv,drop,no 4b pass column,6,
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.picks.csv,drop,no 4b pass column,484,
2026-09-05_crisis-depth-as-the-price-denominator_B.episodes.csv,drop,no 4b pass column,81,
2026-09-05_crisis-depth-as-the-price-denominator_B.epprice.csv,drop,no 4b pass column,7776,
2026-09-05_crisis-depth-as-the-price-denominator_B.grid.csv,census,,306,29.0
2026-09-05_crisis-depth-as-the-price-denominator_B.pricelist.csv,drop,no 4b pass column,288,
2026-09-05_crisis-depth-as-the-price-denominator_B.regime.csv,drop,no 4b pass column,54,
2026-09-05_crisis-depth-as-the-price-denominator_B.stability.csv,drop,no 4b pass column,288,
2026-09-05_crisis-depth-as-the-price-denominator_B.walkforward.csv,drop,no 4b pass column,18,
2026-09-05_cross-universe-breakeven-as-a-KEEP-bar_cloud.bargrid.csv,drop,no 4b pass column,420,
2026-09-05_cross-universe-breakeven-as-a-KEEP-bar_cloud.binding_bar.csv,drop,no 4b pass column,64,
2026-09-05_cross-universe-breakeven-as-a-KEEP-bar_cloud.breakevens.csv,drop,no 4b pass column,64,
2026-09-05_cross-universe-breakeven-as-a-KEEP-bar_cloud.cross.csv,drop,no 4b pass column,36,
2026-09-05_cross-universe-breakeven-as-a-KEEP-bar_cloud.walkforward.csv,drop,no 4b pass column,36,
2026-09-05_cross-universe-breakeven-as-a-KEEP-bar_cloud.walkforward_panel.csv,drop,no 4b pass column,64,
2026-09-05_de-gross-vs-reweight-across-gates_cloud.convention.csv,drop,no 4b pass column,450,
2026-09-05_de-gross-vs-reweight-across-gates_cloud.crossover.csv,drop,no 4b pass column,90,
2026-09-05_de-gross-vs-reweight-across-gates_cloud.grid.csv,census,,924,110.0
2026-09-05_de-gross-vs-reweight-across-gates_cloud.walkforward.csv,drop,no 4b pass column,90,
2026-09-05_defensive-class-census_B.grid.csv,census,,2244,144.0
2026-09-05_defensive-class-census_B.walkforward.csv,drop,no 4b pass column,72,
2026-09-05_defensive-overlays-are-rule-8-invisible_B.deltas.csv,drop,no 4b pass column,164,
2026-09-05_defensive-overlays-are-rule-8-invisible_B.grid.csv,drop,no 4b pass column,208,
2026-09-05_defensive-overlays-are-rule-8-invisible_B.walkforward.csv,drop,no 4b pass column,132,
2026-09-05_defensive-overlays-are-rule-8-invisible_B.years.csv,drop,no 4b pass column,34,
2026-09-05_delete-the-scaler-on-small_cloud.capacity.csv,drop,no 4b pass column,10,
2026-09-05_delete-the-scaler-on-small_cloud.costladder.csv,drop,no 4b pass column,12,
2026-09-05_delete-the-scaler-on-small_cloud.grid.csv,drop,no dial with an explicit OFF level,640,0.0
2026-09-05_delete-the-scaler-on-small_cloud.norankcontrol.csv,drop,no dial with an explicit OFF level,16,0.0
2026-09-05_delete-the-scaler-on-small_cloud.scalerpremium.csv,drop,no 4b pass column,80,
2026-09-05_delete-the-scaler-on-small_cloud.walkforward.csv,drop,no dial with an explicit OFF level,2,0.0
2026-09-05_delete-the-scaler-on-small_cloud.years.csv,drop,no 4b pass column,16,
2026-09-05_do-gross-choice-rules-lose-to-constants-in-general_C.choices.csv,drop,no 4b pass column,1325,
2026-09-05_do-gross-choice-rules-lose-to-constants-in-general_C.geometry.csv,drop,no 4b pass column,5,
2026-09-05_do-gross-choice-rules-lose-to-constants-in-general_C.keep.csv,drop,no 4b pass column,1908,
2026-09-05_do-gross-choice-rules-lose-to-constants-in-general_C.ladder.csv,drop,no 4b pass column,1908,
2026-09-05_do-gross-choice-rules-lose-to-constants-in-general_C.paired.csv,drop,no 4b pass column,40,
2026-09-05_do-gross-choice-rules-lose-to-constants-in-general_C.walkforward.csv,drop,no 4b pass column,56,
2026-09-05_does-a-harmful-instrument-clear-more-often-than-a-helpful-one_B.arms.csv,drop,no dial with an explicit OFF level,288,51.0
2026-09-05_does-a-harmful-instrument-clear-more-often-than-a-helpful-one_B.regression.csv,drop,no 4b pass column,16,
2026-09-05_does-a-harmful-instrument-clear-more-often-than-a-helpful-one_B.repro_O.csv,drop,no 4b pass column,252,
