default,pool,panel,book,cost,pool_empty,n_pool,n_arms,moved_off_control,cell_arms_pass4b,TO_ratio,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctl_OOS_Sharpe,ctl_OOS_CAGR,ctl_OOS_MaxDD,d_OOS_Sharpe,d_OOS_CAGR,d_OOS_MaxDD,rand_pctile,v1_OOS_Sharpe,v2_OOS_Sharpe,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,beat_v2,beat_spy,arm,TO,pass4a_v2,pass4a_v1,pass4b,fail4b,pass4b_oos,fail4b_oos,full_CAGR,full_Sharpe,full_MaxDD,H1,H2
D_NONE,P_ALL,broad,EWall,0.0,False,17,17,False,4,1.0,0.1403681035306461,1.1094375225693065,-0.25357542583688464,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.0,0.0,0.0,0.29411764705882354,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,control,0.8657057588560485,False,False,False,DD,False,DD,0.14256296328763862,1.1289168712344126,-0.25357542583688475,1.2379454247183432,1.0311832593913524
MENU_SEP,P_ALL,broad,EWall,0.0,False,17,17,True,4,3.4302540782951447,0.11597222561366327,1.1587201686399107,-0.18954007252183092,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.049282646070604175,-0.024395877916982833,0.06403535331505372,0.9411764705882353,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,MENU_SEP(17),2.9695907099195535,False,False,True,-,True,-,0.11599871242313031,1.1558811347183149,-0.18954007252183092,1.2635413086989131,1.0559606696959598
MENU_NET,P_ALL,broad,EWall,0.0,False,17,17,True,4,2.7472264454847424,0.11597222561366327,1.1587201686399107,-0.18954007252183092,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.049282646070604175,-0.024395877916982833,0.06403535331505372,0.9411764705882353,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,MENU_NET(17),2.3782897547377737,False,False,True,-,True,-,0.11599871242313031,1.1558811347183149,-0.18954007252183092,1.2635413086989131,1.0559606696959598
K_Sharpe,P_ALL,broad,EWall,0.0,False,17,17,True,4,1.5677966562516243,0.1217256495607002,1.1360571399639032,-0.1868755829279981,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.02661961739459673,-0.018642453969945905,0.06669984290888653,0.7647058823529411,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,vol60-dg,1.3572505940322879,False,False,True,-,True,-,0.12512001118682492,1.1507828583070434,-0.18687558292799833,1.266690070541457,1.0406740265329222
K_CAGR,P_ALL,broad,EWall,0.0,False,17,17,False,4,1.0,0.1403681035306461,1.1094375225693065,-0.25357542583688464,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.0,0.0,0.0,0.29411764705882354,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,control,0.8657057588560485,False,False,False,DD,False,DD,0.14256296328763862,1.1289168712344126,-0.25357542583688475,1.2379454247183432,1.0311832593913524
K_Random,P_ALL,broad,EWall,0.0,False,17,17,True,4,1.1274996473429455,0.09307154914880966,1.0478062430645563,-0.17295032445662495,1.1094375225693065,0.1403681035306461,-0.25357542583688464,-0.061631279504750225,-0.04729655438183644,0.08062510138025969,0.0,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,ddctl-8/.5/high,0.9760829378129517,False,True,False,CAGR,False,CAGR,0.08784322206993234,0.9801553849373773,-0.17295032445662528,1.04702528498828,0.9155152886251158
D_NONE,P_S1,broad,EWall,0.0,False,5,17,False,4,1.0,0.1403681035306461,1.1094375225693065,-0.25357542583688464,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.0,0.0,0.0,0.4,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,control,0.8657057588560485,False,False,False,DD,False,DD,0.14256296328763862,1.1289168712344126,-0.25357542583688475,1.2379454247183432,1.0311832593913524
MENU_SEP,P_S1,broad,EWall,0.0,False,5,17,True,4,6.40069570365522,0.12499879389021484,1.1452171436863046,-0.18394070894368186,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.03577962111699806,-0.015369309640431261,0.06963471689320277,1.0,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,MENU_SEP(5),5.541119131339491,False,False,True,-,True,-,0.12341888799991163,1.141781512750217,-0.18394070894368186,1.2465059459163927,1.0484460690122597
MENU_NET,P_S1,broad,EWall,0.0,False,5,17,True,4,5.629809309517066,0.12499879389021484,1.1452171436863046,-0.18394070894368186,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.03577962111699806,-0.015369309640431261,0.06963471689320277,1.0,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,MENU_NET(5),4.873758340510318,False,False,True,-,True,-,0.12341888799991163,1.141781512750217,-0.18394070894368186,1.2465059459163927,1.0484460690122597
K_Sharpe,P_S1,broad,EWall,0.0,False,5,17,True,4,1.5677966562516243,0.1217256495607002,1.1360571399639032,-0.1868755829279981,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.02661961739459673,-0.018642453969945905,0.06669984290888653,0.8,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,vol60-dg,1.3572505940322879,False,False,True,-,True,-,0.12512001118682492,1.1507828583070434,-0.18687558292799833,1.266690070541457,1.0406740265329222
