sel,screen,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,beat_spy,beat_v2,beat_ctl,pass4a_v2,pass4b,n,reading
K_CAGR,S0,0.8828981910127859,0.12988296912885414,-0.24498264737808884,27,14,23,2,7,48,FALLBACK
K_CAGR,S1,0.8747133871947322,0.1276848201126939,-0.24527494637855984,27,13,12,2,8,48,FALLBACK
K_CAGR,S2,0.8752718580343887,0.12804513126108816,-0.24510971483926924,27,13,13,2,9,48,FALLBACK
K_Calmar,S0,0.850213110487842,0.11703390976086266,-0.23200350081402535,24,11,10,0,6,48,FALLBACK
K_Calmar,S1,0.8709547498150448,0.1261689773212315,-0.24470899117358239,26,12,10,2,9,48,FALLBACK
K_Calmar,S2,0.867670810357708,0.1246997146704693,-0.24470093270481066,25,11,7,0,6,48,FALLBACK
K_MaxDD,S0,0.7980383898573264,0.08715107575341889,-0.16903421615375328,21,8,10,1,2,48,FALLBACK
K_MaxDD,S1,0.8700549844252016,0.1246346169321838,-0.24100241040973622,26,12,9,1,12,48,FALLBACK
K_MaxDD,S2,0.8727746541376059,0.11939773895000234,-0.23383602056267597,25,10,8,1,3,48,FALLBACK
K_Sharpe,S0,0.8413903136077701,0.11561835054805313,-0.22597141149165653,24,12,12,0,6,48,FALLBACK
K_Sharpe,S1,0.8695171557038842,0.12608636221146471,-0.24408943794138496,26,13,10,2,9,48,FALLBACK
K_Sharpe,S2,0.8671724304465909,0.12465986164567411,-0.24381308635359936,25,12,8,0,6,48,FALLBACK
K_CAGR,S0,1.0538900199887558,0.1289703861114652,-0.19607914096939655,17,2,10,2,6,19,PAIRED
K_CAGR,S1,1.0535309268778985,0.12612848692780693,-0.18845135182225517,17,3,12,2,8,19,PAIRED
K_CAGR,S2,1.0535309268778985,0.12612848692780693,-0.18845135182225517,17,3,12,2,8,19,PAIRED
K_Calmar,S0,1.0375041224299253,0.11904788797638274,-0.18638695961666976,15,1,7,0,6,19,PAIRED
K_Calmar,S1,1.044035421918688,0.12229898934937562,-0.18702157025178584,16,2,10,2,9,19,PAIRED
K_Calmar,S2,1.0375041224299253,0.11904788797638274,-0.18638695961666976,15,1,7,0,6,19,PAIRED
K_MaxDD,S0,1.038812413985915,0.09906678182881108,-0.14990114071615784,14,0,7,1,2,19,PAIRED
K_MaxDD,S1,1.0417623304075054,0.11842271047178142,-0.17765757674312174,16,2,9,1,12,19,PAIRED
K_MaxDD,S2,1.0503980435580886,0.105653422998361,-0.1589387605207505,15,0,8,1,3,19,PAIRED
K_Sharpe,S0,1.032370953540957,0.11863678590934273,-0.1860070520555651,15,2,7,0,6,19,PAIRED
K_Sharpe,S1,1.0404036052168089,0.12209027749312264,-0.18545638313886606,16,3,10,2,9,19,PAIRED
K_Sharpe,S2,1.032370953540957,0.11863678590934273,-0.1860070520555651,15,2,7,0,6,19,PAIRED
K_CAGR,S0,0.8828981910127859,0.12988296912885414,-0.24498264737808884,27,14,23,2,7,48,PICKED_ONLY
K_CAGR,S1,1.0535309268778985,0.12612848692780693,-0.18845135182225517,17,3,12,2,8,19,PICKED_ONLY
K_CAGR,S2,1.0614444854114544,0.1213785257627445,-0.17826849386686494,21,3,13,2,9,23,PICKED_ONLY
K_Calmar,S0,0.850213110487842,0.11703390976086266,-0.23200350081402535,24,11,10,0,6,48,PICKED_ONLY
K_Calmar,S1,1.044035421918688,0.12229898934937562,-0.18702157025178584,16,2,10,2,9,19,PICKED_ONLY
K_Calmar,S2,1.0455814293905552,0.11439678679101817,-0.17741538332538623,19,1,7,0,6,23,PICKED_ONLY
K_MaxDD,S0,0.7980383898573264,0.08715107575341889,-0.16903421615375328,21,8,10,1,2,48,PICKED_ONLY
K_MaxDD,S1,1.0417623304075054,0.11842271047178142,-0.17765757674312174,16,2,9,1,12,19,PICKED_ONLY
K_MaxDD,S2,1.056232929452951,0.10333179398308716,-0.15474078407223552,19,0,8,1,3,23,PICKED_ONLY
K_Sharpe,S0,0.8413903136077701,0.11561835054805313,-0.22597141149165653,24,12,12,0,6,48,PICKED_ONLY
K_Sharpe,S1,1.0404036052168089,0.12209027749312264,-0.18545638313886606,16,3,10,2,9,19,PICKED_ONLY
K_Sharpe,S2,1.0445413321847459,0.11431361526101085,-0.17556248659242346,19,2,8,0,6,23,PICKED_ONLY
