metric,incumbent,q,n,mean,t,p,W,L,Z,abstain,sel_mean,argmax_mean,inc_mean
Sharpe,ctl,0.3,1834,0.003289523587626399,3.0605291999976014,0.002209462150356334,232,182,1420,0.4247546346782988,0.9047557882156119,0.9014662646279856,0.9072164455860492
Sharpe,ctl,0.5,1834,0.006267412528060583,4.694935942878363,2.666902826575779e-06,382,316,1136,0.6161395856052344,0.9077336771560461,0.9014662646279856,0.9072164455860492
Sharpe,ctl,0.7,1834,0.008173139216196348,5.075591230764856,3.8629295406877873e-07,575,429,830,0.8107960741548528,0.909639403844182,0.9014662646279856,0.9072164455860492
Sharpe,med,0.3,4925,-0.008035164857628238,-8.488901257302361,0.0,529,838,3558,0.2998984771573604,0.8761530505738497,0.8841882154314782,0.8540493430444559
Sharpe,med,0.5,4925,-0.015051504611311812,-10.883761575185881,0.0,924,1419,2582,0.4992893401015228,0.8691367108201663,0.8841882154314782,0.8540493430444559
Sharpe,med,0.7,4925,-0.020856088629179835,-12.516637480570349,0.0,1332,1992,1601,0.6996954314720812,0.8633321268022983,0.8841882154314782,0.8540493430444559
Sharpe,mean,0.3,4925,-0.010988810599785917,-14.795754300843695,0.0,352,1125,3448,0.2998984771573604,0.8731994048316922,0.8841882154314782,0.851703947195702
Sharpe,mean,0.5,4925,-0.019324754118185284,-18.766030222839817,0.0,642,1815,2468,0.4992893401015228,0.8648634613132927,0.8841882154314782,0.851703947195702
Sharpe,mean,0.7,4925,-0.02414312831287348,-19.77431535240904,0.0,987,2455,1483,0.6996954314720812,0.8600450871186046,0.8841882154314782,0.851703947195702
CAGR,ctl,0.3,1805,5.381342386131483e-05,0.4929940667050277,0.6220167797071294,162,139,1504,0.43490304709141275,0.13905261104386854,0.13899879762000722,0.12858340025454754
CAGR,ctl,0.5,1805,0.00016026221482588762,1.1543792613757324,0.24834471375402467,277,226,1302,0.5695290858725762,0.13915905983483312,0.13899879762000722,0.12858340025454754
CAGR,ctl,0.7,1805,0.00013931600454544245,0.7931697612934931,0.427678922693258,337,317,1151,0.679224376731302,0.13913811362455267,0.13899879762000722,0.12858340025454754
CAGR,med,0.3,3391,-0.004431991510846394,-17.29752684729154,0.0,198,764,2429,0.2999115305219699,0.12321666910656172,0.12764866061740812,0.09942014455801261
CAGR,med,0.5,3391,-0.007947886222165506,-21.172411219899594,0.0,378,1257,1756,0.49896785608964905,0.1197007743952426,0.12764866061740812,0.09942014455801261
CAGR,med,0.7,3391,-0.012689164632729396,-22.86411053623259,0.0,536,1780,1075,0.6997935712179298,0.11495949598467872,0.12764866061740812,0.09942014455801261
CAGR,mean,0.3,3391,-0.005371901293429913,-25.565852437652147,0.0,56,961,2374,0.2999115305219699,0.1222767593239782,0.12764866061740812,0.10078292386299977
CAGR,mean,0.5,3391,-0.008889575065105093,-31.603695783130675,0.0,157,1535,1699,0.49896785608964905,0.11875908555230302,0.12764866061740812,0.10078292386299977
CAGR,mean,0.7,3391,-0.01292898187144975,-32.30525277085024,0.0,282,2091,1018,0.6997935712179298,0.11471967874595837,0.12764866061740812,0.10078292386299977
MaxDD,ctl,0.3,1777,-0.042803678786756165,-22.0552886315189,0.0,17,558,1202,0.36409679234665165,-0.2258201628924502,-0.18301648410569402,-0.25698878070445147
MaxDD,ctl,0.5,1777,-0.05111086036985746,-25.651387018760925,0.0,61,827,889,0.5548677546426561,-0.2341273444755515,-0.18301648410569402,-0.25698878070445147
MaxDD,ctl,0.7,1777,-0.06025529769088232,-30.574301773004404,0.0,99,1124,554,0.7512661789532921,-0.24327178179657635,-0.18301648410569402,-0.25698878070445147
MaxDD,med,0.3,3208,-0.01313590262166888,-19.673901381692428,0.0,158,785,2265,0.29987531172069826,-0.19357409310790674,-0.1804381904862379,-0.22204692322945316
MaxDD,med,0.5,3208,-0.020834559877780167,-23.992874240648145,0.0,320,1265,1623,0.5,-0.20127275036401804,-0.1804381904862379,-0.22204692322945316
MaxDD,med,0.7,3208,-0.0276271664250695,-28.57754306826674,0.0,499,1725,984,0.699501246882793,-0.2080653569113074,-0.1804381904862379,-0.22204692322945316
MaxDD,mean,0.3,3208,-0.012272986921448022,-23.66243542550821,0.0,128,834,2246,0.29987531172069826,-0.19271117740768592,-0.1804381904862379,-0.21672371177991137
MaxDD,mean,0.5,3208,-0.01897450281910429,-29.188822127937943,0.0,256,1348,1604,0.5,-0.19941269330534217,-0.1804381904862379,-0.21672371177991137
MaxDD,mean,0.7,3208,-0.025679524581449054,-35.681113242395604,0.0,376,1868,964,0.699501246882793,-0.20611771506768697,-0.1804381904862379,-0.21672371177991137
