file,target,N,spec_lo,p_lo,spec_hi,p_hi,gap,source,evidence,N_extensible,note,independent
2026-09-08_why-does-the-DD-ranking-die-on-U56_C,DD-ranking slope,12,e only,2,e + k,3,1,MECHANICAL,2026-09-08_why-does-the-DD-ranking-die-on-U56_C.decomp.csv,PANEL-CAPPED (file supplies n=12 and n=186),,True
2026-09-08_why-does-the-DD-ranking-die-on-U56_C,DD-ranking slope,12,k only,2,e + k,3,1,MECHANICAL,2026-09-08_why-does-the-DD-ranking-die-on-U56_C.decomp.csv,PANEL-CAPPED (file supplies n=12 and n=186),,True
2026-09-08_why-does-the-DD-ranking-die-on-U56_C,DD-ranking slope,12,e only,2,k only,2,0,MECHANICAL,2026-09-08_why-does-the-DD-ranking-die-on-U56_C.decomp.csv,PANEL-CAPPED (file supplies n=12 and n=186),,True
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,log resid variance,560,const,1,distinct,2,1,MECHANICAL,2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.fit.csv,PANEL-CAPPED,,True
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,log resid variance,560,const,1,logn,2,1,MECHANICAL,2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.fit.csv,PANEL-CAPPED,,True
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,log resid variance,560,const,1,share,2,1,MECHANICAL,2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.fit.csv,PANEL-CAPPED,,True
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,log resid variance,560,const,1,share+logn,3,2,MECHANICAL,2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.fit.csv,PANEL-CAPPED,,True
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,log resid variance,560,const,1,share+logn+distinct,4,3,MECHANICAL,2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.fit.csv,PANEL-CAPPED,,True
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,log resid variance,560,distinct,2,logn,2,0,MECHANICAL,2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.fit.csv,PANEL-CAPPED,,True
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,log resid variance,560,distinct,2,share,2,0,MECHANICAL,2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.fit.csv,PANEL-CAPPED,,True
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,log resid variance,560,distinct,2,share+logn,3,1,MECHANICAL,2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.fit.csv,PANEL-CAPPED,,True
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,log resid variance,560,distinct,2,share+logn+distinct,4,2,MECHANICAL,2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.fit.csv,PANEL-CAPPED,,True
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,log resid variance,560,logn,2,share,2,0,MECHANICAL,2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.fit.csv,PANEL-CAPPED,,True
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,log resid variance,560,logn,2,share+logn,3,1,MECHANICAL,2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.fit.csv,PANEL-CAPPED,,True
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,log resid variance,560,logn,2,share+logn+distinct,4,2,MECHANICAL,2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.fit.csv,PANEL-CAPPED,,True
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,log resid variance,560,share,2,share+logn,3,1,MECHANICAL,2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.fit.csv,PANEL-CAPPED,,True
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,log resid variance,560,share,2,share+logn+distinct,4,2,MECHANICAL,2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.fit.csv,PANEL-CAPPED,,True
2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B,log resid variance,560,share+logn,3,share+logn+distinct,4,1,MECHANICAL,2026-09-08_does-modal-share-predict-VARIANCE-not-sign_B.fit.csv,PANEL-CAPPED,,True
2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud,k-crossing shape,352,hinge@0 (pinned),3,hinge@tau,4,1,MECHANICAL p / ADJUDICATED N,"2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud.shape.csv params column; …cloud.console.txt:271 'four shapes, same 352 points'",PANEL-CAPPED,,True
2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud,k-crossing shape,352,linear,2,hinge@0 (pinned),3,1,MECHANICAL p / ADJUDICATED N,"2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud.shape.csv params column; …cloud.console.txt:271 'four shapes, same 352 points'",PANEL-CAPPED,,True
2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud,k-crossing shape,352,hinge@0 (pinned),3,step@tau,3,0,MECHANICAL p / ADJUDICATED N,"2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud.shape.csv params column; …cloud.console.txt:271 'four shapes, same 352 points'",PANEL-CAPPED,,True
2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud,k-crossing shape,352,linear,2,hinge@tau,4,2,MECHANICAL p / ADJUDICATED N,"2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud.shape.csv params column; …cloud.console.txt:271 'four shapes, same 352 points'",PANEL-CAPPED,,True
2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud,k-crossing shape,352,step@tau,3,hinge@tau,4,1,MECHANICAL p / ADJUDICATED N,"2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud.shape.csv params column; …cloud.console.txt:271 'four shapes, same 352 points'",PANEL-CAPPED,,True
2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud,k-crossing shape,352,linear,2,step@tau,3,1,MECHANICAL p / ADJUDICATED N,"2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud.shape.csv params column; …cloud.console.txt:271 'four shapes, same 352 points'",PANEL-CAPPED,,True
2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C,reversal ~ ETF share,49,linear in s,2,linear in s + step at s=1,3,1,MECHANICAL,2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C.shape.csv,PANEL-CAPPED,,True
2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C,reversal ~ ETF share,49,linear in s,2,step at s=1 only,2,0,MECHANICAL,2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C.shape.csv,PANEL-CAPPED,,True
2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C,reversal ~ ETF share,49,linear in s,2,step at s>=0.875,2,0,MECHANICAL,2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C.shape.csv,PANEL-CAPPED,,True
2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C,reversal ~ ETF share,49,step at s=1 only,2,linear in s + step at s=1,3,1,MECHANICAL,2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C.shape.csv,PANEL-CAPPED,,True
2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C,reversal ~ ETF share,49,step at s>=0.875,2,linear in s + step at s=1,3,1,MECHANICAL,2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C.shape.csv,PANEL-CAPPED,,True
2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C,reversal ~ ETF share,49,step at s=1 only,2,step at s>=0.875,2,0,MECHANICAL,2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C.shape.csv,PANEL-CAPPED,,True
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,cadence gap,115,log episode_days,2,family dummies only,3,1,MECHANICAL,2026-09-06_can-a-panel-property-choose-the-cadence_cloud.decomp.csv,PANEL-CAPPED,,True
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,cadence gap,115,"log h* (IR, stride 21)",2,family dummies only,3,1,MECHANICAL,2026-09-06_can-a-panel-property-choose-the-cadence_cloud.decomp.csv,PANEL-CAPPED,,True
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,cadence gap,115,family dummies only,3,log h* + log episode,3,0,MECHANICAL,2026-09-06_can-a-panel-property-choose-the-cadence_cloud.decomp.csv,PANEL-CAPPED,,True
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,cadence gap,115,family dummies only,3,log h* + log episode + family,5,2,MECHANICAL,2026-09-06_can-a-panel-property-choose-the-cadence_cloud.decomp.csv,PANEL-CAPPED,,True
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,cadence gap,115,log turnover at W,2,family dummies only,3,1,MECHANICAL,2026-09-06_can-a-panel-property-choose-the-cadence_cloud.decomp.csv,PANEL-CAPPED,,True
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,cadence gap,115,log episode_days,2,"log h* (IR, stride 21)",2,0,MECHANICAL,2026-09-06_can-a-panel-property-choose-the-cadence_cloud.decomp.csv,PANEL-CAPPED,,True
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,cadence gap,115,log episode_days,2,log h* + log episode,3,1,MECHANICAL,2026-09-06_can-a-panel-property-choose-the-cadence_cloud.decomp.csv,PANEL-CAPPED,,True
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,cadence gap,115,log episode_days,2,log h* + log episode + family,5,3,MECHANICAL,2026-09-06_can-a-panel-property-choose-the-cadence_cloud.decomp.csv,PANEL-CAPPED,,True
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,cadence gap,115,log episode_days,2,log turnover at W,2,0,MECHANICAL,2026-09-06_can-a-panel-property-choose-the-cadence_cloud.decomp.csv,PANEL-CAPPED,,True
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,cadence gap,115,"log h* (IR, stride 21)",2,log h* + log episode,3,1,MECHANICAL,2026-09-06_can-a-panel-property-choose-the-cadence_cloud.decomp.csv,PANEL-CAPPED,,True
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,cadence gap,115,"log h* (IR, stride 21)",2,log h* + log episode + family,5,3,MECHANICAL,2026-09-06_can-a-panel-property-choose-the-cadence_cloud.decomp.csv,PANEL-CAPPED,,True
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,cadence gap,115,"log h* (IR, stride 21)",2,log turnover at W,2,0,MECHANICAL,2026-09-06_can-a-panel-property-choose-the-cadence_cloud.decomp.csv,PANEL-CAPPED,,True
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,cadence gap,115,log h* + log episode,3,log h* + log episode + family,5,2,MECHANICAL,2026-09-06_can-a-panel-property-choose-the-cadence_cloud.decomp.csv,PANEL-CAPPED,,True
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,cadence gap,115,log turnover at W,2,log h* + log episode,3,1,MECHANICAL,2026-09-06_can-a-panel-property-choose-the-cadence_cloud.decomp.csv,PANEL-CAPPED,,True
2026-09-06_can-a-panel-property-choose-the-cadence_cloud,cadence gap,115,log turnover at W,2,log h* + log episode + family,5,3,MECHANICAL,2026-09-06_can-a-panel-property-choose-the-cadence_cloud.decomp.csv,PANEL-CAPPED,,True
2026-09-06_does-the-cash-drag-share-depend-on-the-panel-or-on-the-gate-level_cloud,cash-drag share,162,c_bar only,2,1+c_bar+panel+family+cadence,7,5,ADJUDICATED,…cloud.console.txt:324 'n=162  R2=0.6098' + the 7 printed terms,PANEL-CAPPED,,True
2026-09-06_is-phase-sensitivity-a-book-property-or-a-panel-one_cloud,log(phase spread),115,P1+P2,3,family dummies only,3,0,ADJUDICATED,"…cloud.console.txt:98-103, 5 cadence rows all at n=115",STRATIFIED (5 cadences x 115; pooled N=575 available),,True
2026-09-06_is-phase-sensitivity-a-book-property-or-a-panel-one_cloud,log(phase spread),115,P1+P2,3,family+P1+P2,5,2,ADJUDICATED,"…cloud.console.txt:98-103, 5 cadence rows all at n=115",STRATIFIED (5 cadences x 115; pooled N=575 available),,True
2026-09-06_is-phase-sensitivity-a-book-property-or-a-panel-one_cloud,log(phase spread),115,family dummies only,3,family+P1+P2,5,2,ADJUDICATED,"…cloud.console.txt:98-103, 5 cadence rows all at n=115",STRATIFIED (5 cadences x 115; pooled N=575 available),,True
2026-09-09_name-level-fixed-effects_B,draw Sharpe (B136),50,sd alone,2,M name-additive ridge,136,134,ADJUDICATED,…_B.result.md 'N = 50 rows against 136 name columns'; .nested.csv,DRAW-SOURCED (extensible),,True
2026-09-09_does-one-dispersion-number-really-out-predict-136-name-dummies_C,"draw Sharpe (B136, SMALL484)",50,sd alone,2,M name-additive ridge,136,134,MECHANICAL,"…_C.nested.csv, D=50 rung (the run's own restatement of idea 252 leg 3)",DRAW-SOURCED (extensible),NOT INDEPENDENT: idea 484 is the re-read of idea 252's own comparison,False
2026-09-09_which-published-residualisations-are-IN-SAMPLE-fits_cloud,sd | control,200,NARROW10,11,WIDE (panel width),136,125,MECHANICAL,"…_cloud.grid.csv width column (p 55/135/439), 200 draw books",DRAW-SOURCED (extensible),,True
