panel,flag,arm,cost,end,depth,published,turnover_yr,FULL_CAGR,FULL_Sharpe,FULL_MaxDD,H1_Sharpe,H2_Sharpe,H1_CAGR,H2_CAGR,R8_IS_CAGR,R8_IS_Sharpe,R8_IS_MaxDD,R8_OOS_CAGR,R8_OOS_Sharpe,R8_OOS_MaxDD,mean_held,BindSharpe,Sharpe,CAGR,MaxDD,OOS_Sharpe,pass4a,pass4b
U56,_comparand,RULES v2 (live),10,,-1,0,1.7753428583825799,0.08644750633071019,1.2037308291391255,-0.12054947359101975,1.2308642464341357,1.182843123927143,0.08338239018460492,0.08952129433365386,0.07609417819718378,1.1042574813043367,-0.07887427114195611,0.0950629792087272,1.2816876607860581,-0.12054947359101964,,1.182843123927143,1.2037308291391255,0.08644750633071019,-0.12054947359101975,1.2816876607860581,,
U56,_comparand,RULES v2 (live),25,,-1,0,1.7753428583825799,0.08355862722433804,1.1661345483302161,-0.1209263608304102,1.1930457534454102,1.1453354631554875,0.08065396373451561,0.08647109808846554,0.07326118003416826,1.0656889651027908,-0.08184897893251619,0.09212739255649671,1.2448211067050887,-0.12092636083040953,,1.1453354631554875,1.1661345483302161,0.08355862722433804,-0.1209263608304102,1.2448211067050887,,
U56,_comparand,RULES v1,10,,-1,0,23.631102070001454,0.06419373995428534,0.6611011896775674,-0.13827804260512722,0.6428944530146987,0.6804042828966702,0.05733812471114974,0.07109380593580239,0.049374723345787075,0.5546702419943361,-0.13101823151791891,0.07657544479101164,0.7407821445671212,-0.13827804260512733,,0.6428944530146987,0.6611011896775674,0.06419373995428534,-0.13827804260512722,0.7407821445671212,,
U56,_comparand,RULES v1,25,,-1,0,23.631102070001454,0.027122009507437372,0.3131496194228154,-0.15629985151956372,0.2869194852080589,0.33728387262649606,0.022742025474788763,0.031520751212743336,0.015269045304283413,0.20680191462947584,-0.15629985151956372,0.037003695214789856,0.3917343981384174,-0.1417719578349732,,0.2869194852080589,0.3131496194228154,0.027122009507437372,-0.15629985151956372,0.3917343981384174,,
U56,_comparand,EWALL control,10,,-1,0,0.8289961396994319,0.13252074064831088,1.1228116792111047,-0.22525886233200354,1.193636677127316,1.066632393485572,0.13130840520654763,0.1337343752559037,0.12609224208057568,1.1099709031695586,-0.12568104798771684,0.1378512706722077,1.133567952359865,-0.22525886233200332,,1.066632393485572,1.1228116792111047,0.13252074064831088,-0.22525886233200354,1.133567952359865,,
U56,_comparand,EWALL control,25,,-1,0,0.8289961396994319,0.1311132998077993,1.112134460352084,-0.22547613447239245,1.182831185381455,1.0560094545826153,0.1299956122506225,0.13223209287853943,0.12475160072183678,1.0993252469483596,-0.12589844913406556,0.1363881878683224,1.1228569770660406,-0.22547613447239245,,1.0560094545826153,1.112134460352084,0.1311132998077993,-0.22547613447239245,1.1228569770660406,,
U56,_comparand,SPY,10,,-1,0,0.0,0.15188355769560324,0.8871396799528589,-0.33717289200673806,0.9586943616589273,0.8286721229522932,0.15501406536599616,0.14876153483813814,0.1495878730771305,0.8986375241701999,-0.22061944945147527,0.153780735432695,0.878646168321868,-0.3371728920067377,,0.8286721229522932,0.8871396799528589,0.15188355769560324,-0.33717289200673806,0.878646168321868,,
U56,_comparand,SPY,25,,-1,0,0.0,0.15188355769560324,0.8871396799528589,-0.33717289200673806,0.9586943616589273,0.8286721229522932,0.15501406536599616,0.14876153483813814,0.1495878730771305,0.8986375241701999,-0.22061944945147527,0.153780735432695,0.878646168321868,-0.3371728920067377,,0.8286721229522932,0.8871396799528589,0.15188355769560324,-0.33717289200673806,0.878646168321868,,
U56,n,5,10,pub,0,1,23.683314555694945,0.06615895112623527,0.6779780040408172,-0.13827804260512744,0.6454227380337022,0.709674711090317,0.057594832494499926,0.07479241968828898,0.0493747233457873,0.554670241994336,-0.1310182315179188,0.08020626279947352,0.7698465043647139,-0.13827804260512755,4.730425531914894,0.6454227380337022,0.6779780040408172,0.06615895112623527,-0.13827804260512744,0.7698465043647139,0.0,0.0
U56,n,5,25,pub,0,1,23.683314555694945,0.028938476827889525,0.3299688165535248,-0.15629985151956372,0.28895931933638686,0.36675019869048575,0.02293920547150652,0.034972932344401464,0.015269045304283413,0.20680191462947572,-0.15629985151956372,0.040352912746170144,0.4206371598585644,-0.14177195783497287,4.730425531914894,0.28895931933638686,0.3299688165535248,0.028938476827889525,-0.15629985151956372,0.4206371598585644,0.0,0.0
