pool,lam,subset,n,MAE,RMSE,bias,maxAE,R2_vs_zero
ZERO,1.0,ALL,162,0.26414878954214677,0.43625619059455245,0.2565527800364372,1.4718972218012105,0.0
ZERO,1.0,MA-THRESH,81,0.49028465345004674,0.6149234465742119,0.4860715708044901,1.4718972218012105,0.0
ZERO,1.0,QUANTILE,81,0.038012925634246686,0.0500807599526318,0.027033989268384302,0.13042858207436936,0.0
ZERO,1.0,panel:SMALL439,54,0.31143652859988147,0.5056136754137701,0.29208281130673913,1.4718972218012105,0.0
ZERO,1.0,panel:U56,54,0.19070297590294535,0.3265583479364187,0.19049123889568545,1.386597631375075,0.0
ZERO,1.0,panel:B136,54,0.29030686412361345,0.456807233002967,0.2870842899068871,1.1206918607444827,0.0
GLOBAL,0.0,ALL,162,0.24582031093199894,0.3779621765424115,0.13548162978437747,1.3508260715491507,0.24939150194997195
GLOBAL,0.0,MA-THRESH,81,0.3972718651465189,0.524490781812049,0.3650004205524303,1.3508260715491507,0.27249896765474313
GLOBAL,0.0,QUANTILE,81,0.09436875671747891,0.1030545175503709,-0.09403716098367543,0.17631283933825373,-3.2344035787183225
GLOBAL,0.0,panel:SMALL439,54,0.3107804825823227,0.446741321483981,0.17101166105467933,1.3508260715491507,0.21931717438114895
GLOBAL,0.0,panel:U56,54,0.168663945183564,0.27417620469004755,0.06942008864362571,1.2655264811230151,0.295083071551129
GLOBAL,0.0,panel:B136,54,0.2580165050301101,0.3921936016185611,0.1660131396548273,0.999620710492423,0.2628853129025013
GLOBAL,0.25,ALL,162,0.24582031093199894,0.3779621765424115,0.13548162978437747,1.3508260715491507,0.24939150194997195
GLOBAL,0.25,MA-THRESH,81,0.3972718651465189,0.524490781812049,0.3650004205524303,1.3508260715491507,0.27249896765474313
GLOBAL,0.25,QUANTILE,81,0.09436875671747891,0.1030545175503709,-0.09403716098367543,0.17631283933825373,-3.2344035787183225
GLOBAL,0.25,panel:SMALL439,54,0.3107804825823227,0.446741321483981,0.17101166105467933,1.3508260715491507,0.21931717438114895
GLOBAL,0.25,panel:U56,54,0.168663945183564,0.27417620469004755,0.06942008864362571,1.2655264811230151,0.295083071551129
GLOBAL,0.25,panel:B136,54,0.2580165050301101,0.3921936016185611,0.1660131396548273,0.999620710492423,0.2628853129025013
GLOBAL,0.5,ALL,162,0.24582031093199894,0.3779621765424115,0.13548162978437747,1.3508260715491507,0.24939150194997195
GLOBAL,0.5,MA-THRESH,81,0.3972718651465189,0.524490781812049,0.3650004205524303,1.3508260715491507,0.27249896765474313
GLOBAL,0.5,QUANTILE,81,0.09436875671747891,0.1030545175503709,-0.09403716098367543,0.17631283933825373,-3.2344035787183225
GLOBAL,0.5,panel:SMALL439,54,0.3107804825823227,0.446741321483981,0.17101166105467933,1.3508260715491507,0.21931717438114895
GLOBAL,0.5,panel:U56,54,0.168663945183564,0.27417620469004755,0.06942008864362571,1.2655264811230151,0.295083071551129
GLOBAL,0.5,panel:B136,54,0.2580165050301101,0.3921936016185611,0.1660131396548273,0.999620710492423,0.2628853129025013
GLOBAL,0.75,ALL,162,0.24582031093199894,0.3779621765424115,0.13548162978437747,1.3508260715491507,0.24939150194997195
GLOBAL,0.75,MA-THRESH,81,0.3972718651465189,0.524490781812049,0.3650004205524303,1.3508260715491507,0.27249896765474313
GLOBAL,0.75,QUANTILE,81,0.09436875671747891,0.1030545175503709,-0.09403716098367543,0.17631283933825373,-3.2344035787183225
GLOBAL,0.75,panel:SMALL439,54,0.3107804825823227,0.446741321483981,0.17101166105467933,1.3508260715491507,0.21931717438114895
GLOBAL,0.75,panel:U56,54,0.168663945183564,0.27417620469004755,0.06942008864362571,1.2655264811230151,0.295083071551129
GLOBAL,0.75,panel:B136,54,0.2580165050301101,0.3921936016185611,0.1660131396548273,0.999620710492423,0.2628853129025013
GLOBAL,1.0,ALL,162,0.24582031093199894,0.3779621765424115,0.13548162978437747,1.3508260715491507,0.24939150194997195
GLOBAL,1.0,MA-THRESH,81,0.3972718651465189,0.524490781812049,0.3650004205524303,1.3508260715491507,0.27249896765474313
GLOBAL,1.0,QUANTILE,81,0.09436875671747891,0.1030545175503709,-0.09403716098367543,0.17631283933825373,-3.2344035787183225
GLOBAL,1.0,panel:SMALL439,54,0.3107804825823227,0.446741321483981,0.17101166105467933,1.3508260715491507,0.21931717438114895
GLOBAL,1.0,panel:U56,54,0.168663945183564,0.27417620469004755,0.06942008864362571,1.2655264811230151,0.295083071551129
GLOBAL,1.0,panel:B136,54,0.2580165050301101,0.3921936016185611,0.1660131396548273,0.999620710492423,0.2628853129025013
FAMILY,0.0,ALL,162,0.24582031093199894,0.3779621765424115,0.13548162978437747,1.3508260715491507,0.24939150194997195
FAMILY,0.0,MA-THRESH,81,0.3972718651465189,0.524490781812049,0.3650004205524303,1.3508260715491507,0.27249896765474313
FAMILY,0.0,QUANTILE,81,0.09436875671747891,0.1030545175503709,-0.09403716098367543,0.17631283933825373,-3.2344035787183225
FAMILY,0.0,panel:SMALL439,54,0.3107804825823227,0.446741321483981,0.17101166105467933,1.3508260715491507,0.21931717438114895
FAMILY,0.0,panel:U56,54,0.168663945183564,0.27417620469004755,0.06942008864362571,1.2655264811230151,0.295083071551129
FAMILY,0.0,panel:B136,54,0.2580165050301101,0.3921936016185611,0.1660131396548273,0.999620710492423,0.2628853129025013
FAMILY,0.25,ALL,162,0.22968403105260915,0.36523708899104035,0.13548162978437744,1.329205331742624,0.2990830864658499
FAMILY,0.25,MA-THRESH,81,0.3846393779470156,0.5096811536161819,0.3433796807459037,1.329205331742624,0.31300267702114015
FAMILY,0.25,QUANTILE,81,0.07472868415820277,0.0837936990338547,-0.07241642117714883,0.1546920995317271,-1.7995027870782265
FAMILY,0.25,panel:SMALL439,54,0.2915620471987434,0.43253573496594905,0.17101166105467944,1.329205331742624,0.26817647957300716
FAMILY,0.25,panel:U56,54,0.15637204979603947,0.26319760432796,0.06942008864362569,1.2439057413164885,0.35040558352143536
FAMILY,0.25,panel:B136,54,0.24111799616304466,0.37925486493575294,0.1660131396548273,0.9779999706858963,0.31071888906176903
FAMILY,0.5,ALL,162,0.21492510068790732,0.3533776566680247,0.13548162978437747,1.3075845919360976,0.3438623369474747
FAMILY,0.5,MA-THRESH,81,0.37282237739836516,0.4953726771601285,0.32175894093937707,1.3075845919360976,0.3510339280002812
FAMILY,0.5,QUANTILE,81,0.0570278239774495,0.06601096263179158,-0.05079568137062217,0.13307135972520046,-0.7373619716608717
FAMILY,0.5,panel:SMALL439,54,0.27234361181516425,0.4189647103317617,0.1710116610546794,1.3075845919360976,0.3133787130864264
FAMILY,0.5,panel:U56,54,0.14581515798611686,0.25359077153808074,0.06942008864362571,1.222285001509962,0.3969611255861294
FAMILY,0.5,panel:B136,54,0.2266165322624409,0.3671343034693121,0.16601313965482734,0.9563792308793697,0.3540721852614306
FAMILY,0.75,ALL,162,0.2030216516038634,0.3424738209984561,0.13548162978437753,1.2859638521295709,0.38372925339484654
FAMILY,0.75,MA-THRESH,81,0.36176012588253775,0.48161002167897904,0.3001382011328506,1.2859638521295709,0.38659272059216687
FAMILY,0.75,QUANTILE,81,0.04428317732518905,0.0512681495369045,-0.02917494156409554,0.11145061991867382,-0.04798113246626068
FAMILY,0.75,panel:SMALL439,54,0.25312517643158494,0.40609187108803746,0.17101166105467952,1.2859638521295709,0.35492387492140776
FAMILY,0.75,panel:U56,54,0.13882259145957868,0.24551678694978016,0.06942008864362571,1.2006642617034353,0.4347496977452113
FAMILY,0.75,panel:B136,54,0.21711718692042653,0.3559155149328569,0.16601313965482734,0.934758491072843,0.3929452015014867
FAMILY,1.0,ALL,162,0.1935642995168688,0.3326195735159671,0.13548162978437747,1.2643431123230442,0.41868383580796553
FAMILY,1.0,MA-THRESH,81,0.35172911813835617,0.4684412977802273,0.27851746132632393,1.2643431123230442,0.41967905479679646
FAMILY,1.0,QUANTILE,81,0.0353994808953814,0.04282886766964624,-0.0075542017575689,0.09584039104841616,0.26863973050560697
FAMILY,1.0,panel:SMALL439,54,0.23494605180922296,0.393985659388451,0.1710116610546794,1.2643431123230442,0.3928119650779506
FAMILY,1.0,panel:U56,54,0.1348011300101093,0.2391309656204555,0.0694200886436257,1.1790435218969086,0.4637712999986813
FAMILY,1.0,panel:B136,54,0.2109457167312742,0.34568630799542444,0.16601313965482734,0.9131377512663164,0.42733793778193685
PANEL,0.0,ALL,162,0.24582031093199894,0.3779621765424115,0.13548162978437747,1.3508260715491507,0.24939150194997195
PANEL,0.0,MA-THRESH,81,0.3972718651465189,0.524490781812049,0.3650004205524303,1.3508260715491507,0.27249896765474313
PANEL,0.0,QUANTILE,81,0.09436875671747891,0.1030545175503709,-0.09403716098367543,0.17631283933825373,-3.2344035787183225
PANEL,0.0,panel:SMALL439,54,0.3107804825823227,0.446741321483981,0.17101166105467933,1.3508260715491507,0.21931717438114895
PANEL,0.0,panel:U56,54,0.168663945183564,0.27417620469004755,0.06942008864362571,1.2655264811230151,0.295083071551129
PANEL,0.0,panel:B136,54,0.2580165050301101,0.3921936016185611,0.1660131396548273,0.999620710492423,0.2628853129025013
PANEL,0.25,ALL,162,0.24674969895258467,0.3795688486403882,0.13548162978437747,1.3746284062365317,0.24299644420334654
PANEL,0.25,MA-THRESH,81,0.3994622369214939,0.5273161759211444,0.3650004205524305,1.3746284062365317,0.26463986485890534
PANEL,0.25,QUANTILE,81,0.09403716098367546,0.10041251081553795,-0.09403716098367546,0.15251050465087274,-3.020072010469388
PANEL,0.25,panel:SMALL439,54,0.3081357787281692,0.4563828579619973,0.1948139957420604,1.3746284062365317,0.18525627629674601
PANEL,0.25,panel:U56,54,0.17241202142681258,0.271124364195599,0.05616919395467437,1.2522755864340638,0.31068851813750387
PANEL,0.25,panel:B136,54,0.2597012967027721,0.3878450704502268,0.1554616996563977,0.9890692704939933,0.2791405301408474
PANEL,0.5,ALL,162,0.24829925962004432,0.38191438173341286,0.13548162978437747,1.3984307409239127,0.23361178075031652
PANEL,0.5,MA-THRESH,81,0.4025613582564131,0.530662886139116,0.36500042055243037,1.3984307409239127,0.25527604441727114
PANEL,0.5,QUANTILE,81,0.09403716098367546,0.10056883823597396,-0.09403716098367546,0.14530740142092824,-3.0325990687438216
PANEL,0.5,panel:SMALL439,54,0.30592275158678284,0.46703952727259374,0.21861633042944148,1.3984307409239127,0.14676305433950876
PANEL,0.5,panel:U56,54,0.17731976020049822,0.26869205965716986,0.042918299265723006,1.2390246917451124,0.3230009109694192
PANEL,0.5,panel:B136,54,0.26165526707285175,0.3837374648983666,0.144910259657968,0.9785178304955636,0.2943286906246473
