panel,kind,q,draw,Ebar,Emed,selectivity20,EW_Sharpe,EW_OOS_Sharpe,ADAPT_Sharpe,S1_rho_n_OOS,S2_overlap,S3_reversal,S4_argmax_n,S5_fix_minus_adapt,best_prem,breadth,breadth_IS,breadth_OOS
MIX q=0.0 d0,mix,0.0,0.0,26.398795180722892,28.0,0.7576103327095979,0.932860816675493,0.9006039608980342,0.909584350221141,1.0,0.9098973607038122,0.7333333333333333,30.0,0.025383416287950267,0.023282093796488823,0.6521130952380952,0.6567164179104478,0.649059405940594
MIX q=0.0 d1,mix,0.0,1.0,27.26144578313253,29.0,0.7336368055862466,0.9420531552252474,0.8989842261043846,0.8752843101859411,0.942857142857143,0.912718023255814,0.5333333333333333,30.0,0.12010460339012874,0.08075186026569736,0.673422619047619,0.6774626865671641,0.6707425742574258
MIX q=0.0 d2,mix,0.0,2.0,27.60843373493976,29.0,0.7244163211869954,1.0372477705127792,1.06273119472772,1.027412302382762,0.7142857142857143,0.9113700564971752,0.8666666666666667,30.0,-0.014386027866200912,0.01092475583053698,0.6819940476190476,0.6907462686567164,0.6761881188118812
MIX q=0.0 d3,mix,0.0,3.0,26.540963855421687,28.0,0.7535521358209633,1.1203639635785974,1.0560686740463912,1.080162442940671,0.942857142857143,0.9025787965616046,0.9333333333333333,30.0,0.012730500877844442,0.03198173533336135,0.6556249999999999,0.662313432835821,0.6511881188118812
MIX q=0.0 d4,mix,0.0,4.0,27.987951807228917,30.0,0.7145931984502798,0.8561787020662005,0.8356251877629286,0.7901266518567985,0.8857142857142858,0.9139007092198581,0.6,30.0,0.06928882682309312,0.10293459389334969,0.6913690476190476,0.6866417910447762,0.6945049504950496
MIX q=0.0 d5,mix,0.0,5.0,28.23855421686747,30.0,0.7082515573001109,1.0272395395937488,0.9480545107469818,1.0193927666789968,0.08571428571428573,0.9067961165048543,0.6666666666666666,20.0,0.054758001165376324,0.046911228250624326,0.6975595238095237,0.7145522388059702,0.6862871287128712
MIX q=0.1 d0,mix,0.1,0.0,25.809638554216868,27.0,0.7749043039865559,0.916687692733874,0.7910498524508031,0.8920884229876697,0.8857142857142858,0.9122222222222223,0.8,30.0,-0.023415521397045946,0.06097903155326456,0.6375595238095239,0.6482835820895523,0.6304455445544555
MIX q=0.1 d1,mix,0.1,1.0,24.310843373493977,26.0,0.8226781643373972,0.9317908242931648,0.9199983868918659,0.91999913781665,0.942857142857143,0.9208584337349398,0.9333333333333333,40.0,0.08064637156373589,0.08198343024791088,0.6005357142857143,0.5882835820895522,0.6086633663366336
MIX q=0.1 d2,mix,0.1,2.0,25.665060240963854,27.0,0.7792695521547273,0.7882060418374838,0.7279236761592744,0.7337588696311869,0.7714285714285715,0.9144428152492668,0.8666666666666667,30.0,0.1706663680716013,0.14510525145428976,0.6339880952380952,0.6421641791044777,0.6285643564356436
MIX q=0.1 d3,mix,0.1,3.0,25.218072289156627,26.0,0.793082031436625,0.8756480931996329,0.8521776222303283,0.8670918930088832,0.4285714285714286,0.9194902548725636,0.4666666666666667,15.0,0.1361841846443973,0.15914817584763408,0.6229464285714286,0.6147014925373134,0.6284158415841584
