panel,kind,q,breadth,gross,D_size,D_share,reversal,n_pairs,sel_argmax,sel_premium
MIX q=0.00 d0,mix,0.0,0.7005421686746989,0.75,0.10050101048945725,-0.1483349531960103,0.3333333333333333,6,1.0,0.0
MIX q=0.00 d0,mix,0.0,0.7005421686746989,1.0,0.09850430797444332,-0.14689950371936566,0.3333333333333333,6,,
MIX q=0.00 d1,mix,0.0,0.6643373493975904,0.75,0.15493285305305737,-0.17396321607923648,0.8333333333333334,6,1.0,0.0
MIX q=0.00 d1,mix,0.0,0.6643373493975904,1.0,0.15261782583666927,-0.17367333908313676,0.8333333333333334,6,,
MIX q=0.00 d2,mix,0.0,0.6971686746987952,0.75,0.13629602159437315,-0.10491833524614269,0.8333333333333334,6,1.0,0.0
MIX q=0.00 d2,mix,0.0,0.6971686746987952,1.0,0.13489148448362065,-0.10368444637156093,0.8333333333333334,6,,
MIX q=0.00 d3,mix,0.0,0.6805421686746989,0.75,0.1514907322168082,-0.13707778817114735,0.8333333333333334,6,1.0,0.0
MIX q=0.00 d3,mix,0.0,0.6805421686746989,1.0,0.15024253534420207,-0.13788496958964347,0.8333333333333334,6,,
MIX q=0.00 d4,mix,0.0,0.6723795180722892,0.75,0.1697956292265025,-0.08494696466225748,0.8333333333333334,6,1.0,0.0
MIX q=0.00 d4,mix,0.0,0.6723795180722892,1.0,0.168056610377746,-0.08600228379542552,0.8333333333333334,6,,
MIX q=0.00 d5,mix,0.0,0.6496084337349398,0.75,0.03023582031467964,-0.13068463082625736,0.8333333333333334,6,1.0,0.0
MIX q=0.00 d5,mix,0.0,0.6496084337349398,1.0,0.029626540623623465,-0.1303563916571947,0.8333333333333334,6,,
MIX q=0.00 d6,mix,0.0,0.6984036144578313,0.75,0.14066808425085187,-0.1377503630705622,0.8333333333333334,6,0.9,0.017159300168435143
MIX q=0.00 d6,mix,0.0,0.6984036144578313,1.0,0.1391957656149806,-0.1381807988823356,0.8333333333333334,6,,
MIX q=0.00 d7,mix,0.0,0.6827409638554216,0.75,0.1807388701491639,-0.11160220489041695,0.16666666666666666,6,1.0,0.0
MIX q=0.00 d7,mix,0.0,0.6827409638554216,1.0,0.17919264156305204,-0.11020196820425332,0.16666666666666666,6,,
MIX q=0.25 d0,mix,0.25,0.6418975903614459,0.75,-0.0456468840017904,-0.1153002890251078,0.16666666666666666,6,0.75,0.03955845239157674
MIX q=0.25 d0,mix,0.25,0.6418975903614459,1.0,-0.047126980283915376,-0.11455770456656456,0.16666666666666666,6,,
MIX q=0.25 d1,mix,0.25,0.6042771084337349,0.75,0.00046511909950841535,-0.011422013660023156,0.6666666666666666,6,1.0,0.0
MIX q=0.25 d1,mix,0.25,0.6042771084337349,1.0,-0.0012744690987218643,-0.00973319712172227,0.5,6,,
MIX q=0.25 d2,mix,0.25,0.5989156626506025,0.75,0.11815938992848418,-0.01579851166485524,0.5,6,0.9,0.017810679595865464
MIX q=0.25 d2,mix,0.25,0.5989156626506025,1.0,0.11702572533369582,-0.014964583754389804,0.5,6,,
