panel,K,n,nbins,min_bin_n,raw_rho,mean_rho,wmean_rho,gain
U56,2,162,2,81,-0.7436178157698172,-0.8404866526874082,-0.8404866526874082,0.09686883691759096
U56,3,162,3,54,-0.7436178157698172,-0.8645918692094453,-0.8645918692094455,0.12097405343962808
U56,4,162,4,40,-0.7436178157698172,-0.8431015494260714,-0.8431311044223534,0.09948373365625418
U56,5,162,5,32,-0.7436178157698172,-0.8227166605956772,-0.8223752256134754,0.07909884482585994
U56,6,162,6,27,-0.7436178157698172,-0.8060524642732457,-0.8060524642732458,0.0624346485034285
U56,8,162,8,20,-0.7436178157698172,-0.8243999347170645,-0.8237555828517766,0.0807821189472473
U56,10,162,10,16,-0.7436178157698172,-0.7513605906353386,-0.7510743664116991,0.007742774865521329
B136,2,164,2,82,-0.7122704954369178,-0.8612026006273534,-0.8612026006273534,0.14893210519043565
B136,3,164,3,54,-0.7122704954369178,-0.8979727240091567,-0.8976448736838756,0.18570222857223895
B136,4,164,4,41,-0.7122704954369178,-0.9219870329049379,-0.9219870329049378,0.2097165374680201
B136,5,164,5,32,-0.7122704954369178,-0.9145060480755385,-0.9141909573784553,0.2022355526386207
B136,6,164,6,27,-0.7122704954369178,-0.9247837184030779,-0.9243303416623686,0.21251322296616015
B136,8,164,8,20,-0.7122704954369178,-0.9150749056642211,-0.914969327496148,0.20280441022730333
B136,10,164,10,16,-0.7122704954369178,-0.8979907186903675,-0.8981128815059817,0.18572022325344972
SMALL439,2,168,2,84,-0.27412545548591255,-0.5592123846079131,-0.5592123846079131,0.28508692912200057
SMALL439,3,168,3,56,-0.27412545548591255,-0.6851041205747451,-0.685104120574745,0.4109786650888326
SMALL439,4,168,4,42,-0.27412545548591255,-0.7583510716342652,-0.7583510716342653,0.48422561614835263
SMALL439,5,168,5,33,-0.27412545548591255,-0.7705293442103262,-0.7697102797047418,0.4964038887244136
SMALL439,6,168,6,28,-0.27412545548591255,-0.7754578039183923,-0.7754578039183923,0.5013323484324796
SMALL439,8,168,8,21,-0.27412545548591255,-0.7928079703481212,-0.7928079703481213,0.5186825148622087
SMALL439,10,168,10,16,-0.27412545548591255,-0.8193926796684263,-0.8193666455837296,0.5452672241825138
POOLED,2,494,2,247,-0.5130754883941299,-0.7406890621151558,-0.740689062115156,0.22761357372102597
POOLED,3,494,3,164,-0.5130754883941299,-0.7973941727048356,-0.797149489853616,0.2843186843107057
POOLED,4,494,4,123,-0.5130754883941299,-0.8427019312009886,-0.8422915827754963,0.3296264428068587
POOLED,5,494,5,98,-0.5130754883941299,-0.8412917566837512,-0.8410702052863264,0.32821626828962136
POOLED,6,494,6,82,-0.5130754883941299,-0.8655280334602198,-0.8651390860529459,0.3524525450660899
POOLED,8,494,8,61,-0.5130754883941299,-0.870611325171772,-0.8703674574452825,0.3575358367776421
POOLED,10,494,10,49,-0.5130754883941299,-0.8660259716677325,-0.8658234761153178,0.3529504832736027
