K,scheme,within,group,nbk,n,wr_first,wr_last,span,up_steps,down_steps,min_step,monotone_up,resolvable,rho
3,count,False,ABS,3,108,0.16666666666666666,0.3939393939393939,0.22727272727272727,1,1,-0.4060606060606061,False,True,0.5
3,count,False,POOLED,3,648,0.7222222222222222,0.7870370370370371,0.06481481481481488,1,1,-0.15740740740740733,False,True,0.5
3,count,False,QEXP,1,108,0.5740740740740741,0.5740740740740741,0.0,0,0,,False,False,
3,count,False,QROLL,3,432,0.9583333333333334,0.96,0.0016666666666665941,1,1,-0.007741935483871032,False,True,0.5
3,count,True,ABS,3,108,0.5555555555555556,0.2222222222222222,-0.33333333333333337,1,1,-0.4444444444444444,False,True,-0.5
3,count,True,QEXP,3,108,0.0,0.8888888888888888,0.8888888888888888,2,0,0.05555555555555547,True,True,1.0
3,count,True,QROLL,3,432,0.9583333333333334,0.9583333333333334,0.0,1,1,-0.01388888888888884,False,True,0.0
3,width,False,ABS,3,108,0.5714285714285714,0.0,-0.5714285714285714,0,2,-0.3333333333333333,False,True,-1.0
3,width,False,POOLED,3,648,0.842948717948718,0.0,-0.842948717948718,0,2,-0.5096153846153846,False,True,-1.0
3,width,False,QEXP,1,108,0.5740740740740741,0.5740740740740741,0.0,0,0,,False,False,
3,width,False,QROLL,1,432,0.9629629629629629,0.9629629629629629,0.0,0,0,,False,False,
3,width,True,ABS,3,108,0.5714285714285714,0.0,-0.5714285714285714,0,2,-0.3333333333333333,False,True,-1.0
3,width,True,QEXP,3,108,0.0,0.8888888888888888,0.8888888888888888,2,0,0.05555555555555547,True,True,1.0
3,width,True,QROLL,3,432,0.9506172839506173,0.9777777777777777,0.02716049382716046,2,0,0.011111111111111072,True,True,1.0
4,count,False,ABS,3,108,0.5833333333333334,0.3333333333333333,-0.25000000000000006,1,1,-0.3333333333333333,False,False,-0.5
4,count,False,POOLED,4,648,0.7037037037037037,0.7530864197530864,0.04938271604938271,2,1,-0.16049382716049376,False,True,0.39999999999999997
4,count,False,QEXP,1,108,0.5740740740740741,0.5740740740740741,0.0,0,0,,False,False,
4,count,False,QROLL,4,432,0.9629629629629629,0.9629629629629629,0.0,1,2,-0.006734006734006814,False,True,0.316227766016838
4,count,True,ABS,4,108,0.5555555555555556,0.14814814814814814,-0.40740740740740744,1,2,-0.37037037037037035,False,True,-0.7999999999999999
4,count,True,QEXP,4,108,0.0,0.9629629629629629,0.9629629629629629,3,0,0.07407407407407407,True,True,1.0
4,count,True,QROLL,4,432,0.9444444444444444,0.9629629629629629,0.01851851851851849,1,1,-0.0185185185185186,False,True,0.316227766016838
4,width,False,ABS,4,108,0.6111111111111112,0.0,-0.6111111111111112,0,2,-0.3333333333333333,False,True,-0.9486832980505139
4,width,False,POOLED,4,648,0.8503401360544217,0.0,-0.8503401360544217,0,3,-0.3888888888888889,False,True,-1.0
4,width,False,QEXP,1,108,0.5740740740740741,0.5740740740740741,0.0,0,0,,False,False,
4,width,False,QROLL,2,432,0.9656862745098039,0.9166666666666666,-0.0490196078431373,0,1,-0.0490196078431373,False,False,-0.9999999999999999
4,width,True,ABS,3,108,0.5714285714285714,0.0,-0.5714285714285714,0,2,-0.3333333333333333,False,False,-1.0
4,width,True,QEXP,4,108,0.0,0.8888888888888888,0.8888888888888888,2,1,-0.11111111111111116,False,True,0.7999999999999999
4,width,True,QROLL,4,432,0.95,0.9722222222222222,0.022222222222222254,2,1,-0.031746031746031744,False,True,0.0
5,count,False,ABS,4,108,0.5833333333333334,0.30434782608695654,-0.27898550724637683,1,2,-0.38795986622073575,False,False,-0.39999999999999997
5,count,False,POOLED,5,648,0.6307692307692307,0.7384615384615385,0.10769230769230775,2,2,-0.1530113297555158,False,True,0.20519567041703085
5,count,False,QEXP,2,108,0.4888888888888889,1.0,0.5111111111111111,1,0,0.5111111111111111,False,False,0.9999999999999999
5,count,False,QROLL,5,432,0.95,0.9761904761904762,0.02619047619047621,3,1,-0.04130327464209316,False,True,0.19999999999999998
5,count,True,ABS,5,108,0.5454545454545454,0.09090909090909091,-0.4545454545454545,1,3,-0.3852813852813852,False,True,-0.7
5,count,True,QEXP,5,108,0.0,1.0,1.0,3,1,-0.09956709956709953,False,True,0.8999999999999998
5,count,True,QROLL,5,432,0.9540229885057471,0.9770114942528736,0.02298850574712652,2,2,-0.023255813953488302,False,True,0.4103913408340617
