panel,kind,metric,n,p10,p50,p90,pmax
U56,WINDOW,CAGR,91,0.0006969225732460504,0.004136518534545441,0.01097063034703294,0.018725705738228626
U56,WINDOW,Sharpe,91,0.00685659973394559,0.030590815026414253,0.09788241294091415,0.1745788532898096
U56,WINDOW,MaxDD,91,2.220446049250313e-16,0.008172701739458055,0.04830780279289226,0.07157530967708736
U56,WINDOW,Vol,91,6.777454539723393e-05,0.002366231972317376,0.005333415693472204,0.008109608710322999
U56,WINDOW,Calmar,91,0.012578178682841612,0.08806601399732861,0.4047854234397934,0.5270004432044919
U56,WINDOW,Sortino,91,0.00901081037000906,0.05597131695702484,0.12886964964540448,0.19402715670252912
U56,WINDOW,H1,91,0.018775279779078335,0.13259254951286148,0.3030798505185134,0.48643172031637183
U56,WINDOW,H2,91,0.005308361475210521,0.09165261471429353,0.2615245577057512,0.35324457414395427
U56,BOOK,CAGR,55,0.0006407304562454641,0.003176734455252017,0.030122148835138998,0.05817437822506477
U56,BOOK,Sharpe,55,0.0002660635309550408,0.034435482352783264,0.0654743789403186,0.08795812535759939
U56,BOOK,MaxDD,55,0.00033574373762872427,0.007087567049718579,0.03943529826130439,0.07793424003418226
U56,BOOK,Vol,55,0.0009006982033537087,0.004404203868647455,0.02475800032021412,0.047390934233470086
U56,BOOK,Calmar,55,0.0019004105871071493,0.01993904724742368,0.11901072324120186,0.13678357573185718
U56,BOOK,Sortino,55,0.0014005856241170456,0.05585701145893429,0.11269131214487249,0.11505109782054945
U56,BOOK,H1,55,0.0019590774418157602,0.022456470471570622,0.04467281522007882,0.054650981609443594
U56,BOOK,H2,55,0.0012442425335402075,0.06125281509750624,0.1255883297333948,0.14530783114202106
B136,WINDOW,CAGR,91,0.0008396611622769612,0.004583586866343303,0.01873914291624379,0.029312414322851588
B136,WINDOW,Sharpe,91,0.01046029526407355,0.04047999887594678,0.1368763949431877,0.26015393899025496
B136,WINDOW,MaxDD,91,1.1102230246251565e-16,0.01080914011903189,0.04343445824028047,0.07790076271424473
B136,WINDOW,Vol,91,6.611220539731733e-05,0.0014388718616770851,0.009585981612577836,0.014429026202273633
B136,WINDOW,Calmar,91,0.010360804333340967,0.0592517858303474,0.4740638873383104,0.5948507523685073
B136,WINDOW,Sortino,91,0.011917953214627186,0.052238358843339494,0.1979762018696618,0.3739438502138899
B136,WINDOW,H1,91,0.014758202509482121,0.12070904832186602,0.5028676579815313,0.6510183238298689
B136,WINDOW,H2,91,0.013403474467530652,0.08788302808418613,0.3699069883062812,0.4453616358256295
B136,BOOK,CAGR,55,0.0006292429418981008,0.006175458643771892,0.027846584574608403,0.05382381794582147
B136,BOOK,Sharpe,55,0.0011052364042632777,0.012552144717277391,0.06790130211130099,0.08621550115352905
B136,BOOK,MaxDD,55,0.0018107443728885286,0.025491014744098206,0.04296644681341653,0.07915779233478004
B136,BOOK,Vol,55,0.0009570577075460635,0.006405424038963867,0.025393973010290047,0.04824526741317026
B136,BOOK,Calmar,55,0.007713694474449695,0.04054524996585507,0.09881662842454929,0.13462399482938303
B136,BOOK,Sortino,55,0.0011814425760740654,0.019464530063638463,0.12415073221458539,0.1440772064142115
B136,BOOK,H1,55,0.0014123653160283745,0.0289565532757301,0.06094443443760014,0.07675880780507915
B136,BOOK,H2,55,0.0015370699733866957,0.0231581478759596,0.08692056048099044,0.11051185077065229
