file,prose_bar,raw_modal,modal_RAW,modal_SD,modal_IQR,modal_RANK
2026-09-04_turnover-budget_B.grid.csv,CAGR,CAGR,CAGR,CAGR,CAGR,DD
2026-09-04_which-4b-bar-binds_B.gladder.csv,CAGR,CAGR,CAGR,CAGR,CAGR,DD
2026-09-04_which-4b-bar-binds_B.gladder.csv,H2,CAGR,CAGR,CAGR,CAGR,DD
2026-09-04_which-4b-bar-binds_B.grid.csv,CAGR,CAGR,CAGR,CAGR,CAGR,DD
2026-09-04_which-4b-bar-binds_B.grid.csv,H2,CAGR,CAGR,CAGR,CAGR,DD
2026-09-05_sleeve-f-that-clears-the-floor_cloud.grid.csv,DD,CAGR,CAGR,CAGR,CAGR,DD
2026-09-05_sleeve-f-that-clears-the-floor_cloud.grid.csv,CAGR,CAGR,CAGR,CAGR,CAGR,DD
2026-09-07_broad-25bps-is-the-wall_cloud.grid.csv,H2,DD,DD,DD,DD,DD
2026-09-07_broad-25bps-is-the-wall_cloud.keeppaths.csv,H2,DD,DD,DD,DD,DD
2026-09-07_does-a-levered-f-060-book-clear-the-CAGR-floor_C.grid.csv,DD,DD,DD,DD,DD,CAGR
2026-09-07_does-a-levered-f-060-book-clear-the-CAGR-floor_C.keeppaths.csv,DD,CAGR,CAGR,CAGR,CAGR,CAGR
2026-09-07_is-every-4b-KEEP-a-10bps-artefact_C.grid.csv,DD,DD,DD,DD,DD,DD
2026-09-07_position-count-cost-and-liquidity_cloud.grid.csv,H1,H2,H2,DD,DD,H1
2026-09-09_does-a-random-sub-panel-pass-4b-because-the-CAGR-floor-moves_B.census.csv,DD,CAGR,CAGR,CAGR,CAGR,H1
2026-09-10_publish-step_delta-beside-every-adopted-constant_B.grid.csv,CAGR,CAGR,CAGR,CAGR,CAGR,DD
2026-09-10_publish-step_delta-beside-every-adopted-constant_B.grid.csv,CAGR,H1,H1,H1,H1,CAGR
