pset,rule,stat,flips,n,rate
UB,LASTDATE,CAGR,0,6,0.0
UB,LASTDATE,Sharpe,0,6,0.0
UB,LASTDATE,MaxDD,0,6,0.0
UB,LASTDATE,H1,2,6,0.3333333333333333
UB,LASTDATE,H2,0,6,0.0
UB,COMMONSTART,CAGR,0,6,0.0
UB,COMMONSTART,Sharpe,0,6,0.0
UB,COMMONSTART,MaxDD,0,6,0.0
UB,COMMONSTART,H1,0,6,0.0
UB,COMMONSTART,H2,0,6,0.0
UB,COMMONWIN,CAGR,0,6,0.0
UB,COMMONWIN,Sharpe,0,6,0.0
UB,COMMONWIN,MaxDD,0,6,0.0
UB,COMMONWIN,H1,2,6,0.3333333333333333
UB,COMMONWIN,H2,0,6,0.0
US,LASTDATE,CAGR,0,6,0.0
US,LASTDATE,Sharpe,0,6,0.0
US,LASTDATE,MaxDD,0,6,0.0
US,LASTDATE,H1,0,6,0.0
US,LASTDATE,H2,0,6,0.0
US,COMMONSTART,CAGR,1,6,0.16666666666666666
US,COMMONSTART,Sharpe,1,6,0.16666666666666666
US,COMMONSTART,MaxDD,0,6,0.0
US,COMMONSTART,H1,0,6,0.0
US,COMMONSTART,H2,0,6,0.0
US,COMMONWIN,CAGR,0,6,0.0
US,COMMONWIN,Sharpe,0,6,0.0
US,COMMONWIN,MaxDD,0,6,0.0
US,COMMONWIN,H1,0,6,0.0
US,COMMONWIN,H2,1,6,0.16666666666666666
BS,LASTDATE,CAGR,0,6,0.0
BS,LASTDATE,Sharpe,0,6,0.0
BS,LASTDATE,MaxDD,0,6,0.0
BS,LASTDATE,H1,0,6,0.0
BS,LASTDATE,H2,0,6,0.0
BS,COMMONSTART,CAGR,0,6,0.0
BS,COMMONSTART,Sharpe,0,6,0.0
BS,COMMONSTART,MaxDD,0,6,0.0
BS,COMMONSTART,H1,0,6,0.0
BS,COMMONSTART,H2,1,6,0.16666666666666666
BS,COMMONWIN,CAGR,0,6,0.0
BS,COMMONWIN,Sharpe,0,6,0.0
BS,COMMONWIN,MaxDD,0,6,0.0
BS,COMMONWIN,H1,0,6,0.0
BS,COMMONWIN,H2,1,6,0.16666666666666666
ALL,LASTDATE,CAGR,0,6,0.0
ALL,LASTDATE,Sharpe,0,6,0.0
ALL,LASTDATE,MaxDD,0,6,0.0
ALL,LASTDATE,H1,2,6,0.3333333333333333
ALL,LASTDATE,H2,0,6,0.0
ALL,COMMONSTART,CAGR,1,6,0.16666666666666666
ALL,COMMONSTART,Sharpe,1,6,0.16666666666666666
ALL,COMMONSTART,MaxDD,0,6,0.0
ALL,COMMONSTART,H1,1,6,0.16666666666666666
ALL,COMMONSTART,H2,1,6,0.16666666666666666
ALL,COMMONWIN,CAGR,0,6,0.0
ALL,COMMONWIN,Sharpe,0,6,0.0
ALL,COMMONWIN,MaxDD,0,6,0.0
ALL,COMMONWIN,H1,2,6,0.3333333333333333
ALL,COMMONWIN,H2,1,6,0.16666666666666666
