panel,char,K,flavour,level,seed,arm,gross,cadence,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,fail4b,keep4b
mrho~POOL~L0.114289~0~k20,mrho,20,POOL,0.114289,0,EWall,0.5,W,0.08871471923322805,0.7710443969716348,-0.27090146827704675,0.732234316612004,0.8119750211716454,0.08029322721329146,0.6735248684440951,-0.2709014682770473,False,"H1,H2,OOS,DD,CAGR",False
mrho~POOL~L0.114289~0~k20,mrho,20,POOL,0.114289,0,MA-RS,0.5,W,0.04542255468397616,0.3754155751089961,-0.3306273469579615,0.13404901230465688,0.5572923741575921,0.06516991621761292,0.4736448232727127,-0.2850921863503373,False,"H1,H2,OOS,DD,CAGR",False
mrho~POOL~L0.114289~0~k20,mrho,20,POOL,0.114289,0,EWall,0.5,M,0.08580135640066078,0.744735979110628,-0.28795512032651793,0.7139328360460077,0.7792393916742067,0.0774784316343502,0.6489296176668085,-0.2879551203265188,False,"H1,H2,OOS,DD,CAGR",False
mrho~POOL~L0.114289~0~k20,mrho,20,POOL,0.114289,0,MA-RS,0.5,M,0.05391707257655565,0.4328034189558797,-0.2961307835863366,0.31513356456772396,0.5278428924053158,0.05109559340138792,0.39300711117136444,-0.29613078358633693,False,"H1,H2,OOS,DD,CAGR",False
mrho~POOL~L0.114289~0~k20,mrho,20,POOL,0.114289,0,EWall,0.75,W,0.1301778753900158,0.7722862193593409,-0.3815426142553391,0.73314622894576,0.8134925106380889,0.11645338741893463,0.6750941530838268,-0.38154261425533953,False,"H1,H2,OOS,DD",False
mrho~POOL~L0.114289~0~k20,mrho,20,POOL,0.114289,0,MA-RS,0.75,W,0.061320369225298155,0.3802134479860598,-0.45639632375386563,0.13659375495851567,0.5638165572142341,0.09039117341736369,0.4801564437559767,-0.4062869806200836,False,"H1,H2,OOS,DD,CAGR",False
mrho~POOL~L0.114289~0~k20,mrho,20,POOL,0.114289,0,EWall,0.75,M,0.1255777118438366,0.7460812958640374,-0.40325360115574704,0.7137749683252481,0.781735387248383,0.11216712284513286,0.6513818018830504,-0.40325360115574704,False,"H1,H2,OOS,DD",False
mrho~POOL~L0.114289~0~k20,mrho,20,POOL,0.114289,0,MA-RS,0.75,M,0.07470933829115678,0.4390486210235998,-0.4186416210122166,0.3095980042318827,0.5429159301677896,0.07009370735842446,0.4040564910136094,-0.41864162101221625,False,"H1,H2,OOS,DD,CAGR",False
mrho~POOL~L0.114289~0~k20,mrho,20,POOL,0.114289,0,EWall,1.0,W,0.16917743300727262,0.7733240262543419,-0.47775632497208387,0.7339099471949545,0.8147648363679746,0.14940342035758603,0.6764416546113446,-0.47775632497208365,False,"H1,H2,OOS,DD",False
mrho~POOL~L0.114289~0~k20,mrho,20,POOL,0.114289,0,MA-RS,1.0,W,0.07229866641736615,0.38499538506400416,-0.5608117015705597,0.13905714281773796,0.5703246788670667,0.11009280821787071,0.4866737422245784,-0.5130558510430385,False,"H1,H2,OOS,DD,CAGR",False
mrho~POOL~L0.114289~0~k20,mrho,20,POOL,0.114289,0,EWall,1.0,M,0.16286188706703753,0.7473247239602347,-0.5023185089336355,0.7134808745686455,0.7841843158573115,0.14377411211838154,0.6538286894081186,-0.5023185089336357,False,"H1,H2,OOS,DD",False
mrho~POOL~L0.114289~0~k20,mrho,20,POOL,0.114289,0,MA-RS,1.0,M,0.09100334535482157,0.44526101101558924,-0.5252102884128167,0.3039808414900551,0.5579784893490374,0.08434883015158623,0.41514323698755107,-0.5252102884128169,False,"H1,H2,OOS,DD,CAGR",False
mrho~POOL~L0.114289~1~k20,mrho,20,POOL,0.114289,1,EWall,0.5,W,0.07827413721157495,0.7456722960734167,-0.23887104167856033,0.4301607385299364,1.0149308035621503,0.10873101034329857,0.9712669086040829,-0.23887104167856021,False,"H1,DD,CAGR",False
mrho~POOL~L0.114289~1~k20,mrho,20,POOL,0.114289,1,MA-RS,0.5,W,0.08314907959535844,0.6758557402430581,-0.2294658720134044,0.11435514706408449,1.1361668178163533,0.13900832579178957,1.014834427788982,-0.22946587201340418,False,"H1,DD,CAGR",False
mrho~POOL~L0.114289~1~k20,mrho,20,POOL,0.114289,1,EWall,0.5,M,0.0792926620208918,0.7537597912605876,-0.24544968894880825,0.41228331042987476,1.0482211465508064,0.11261281209707108,1.0036617622158714,-0.2306375219728094,False,"H1,DD,CAGR",False
mrho~POOL~L0.114289~1~k20,mrho,20,POOL,0.114289,1,MA-RS,0.5,M,0.09776638500105794,0.803950454727212,-0.23973198397967221,0.36310166925189796,1.2034584524272431,0.15734808267173617,1.1981370508363824,-0.1992463955323085,False,"H1,DD,CAGR",False
mrho~POOL~L0.114289~1~k20,mrho,20,POOL,0.114289,1,EWall,0.75,W,0.1139609330030733,0.7412416496627686,-0.34153633743266476,0.4276049067431439,1.0087604797680438,0.16098876741996548,0.9660725746944624,-0.341536337432665,False,"H1,DD",False
mrho~POOL~L0.114289~1~k20,mrho,20,POOL,0.114289,1,MA-RS,0.75,W,0.12046351877322103,0.677170756511246,-0.33066779819827663,0.11569877394969928,1.1370452522243815,0.2074661074986066,1.0158203593592852,-0.3306677981982764,False,"H1,DD",False
mrho~POOL~L0.114289~1~k20,mrho,20,POOL,0.114289,1,EWall,0.75,M,0.11541747332722174,0.7473054228646033,-0.348820446533466,0.40842511554600214,1.0384066043751876,0.16716224072156716,0.995835244628387,-0.33818324922397347,False,"H1,DD",False
mrho~POOL~L0.114289~1~k20,mrho,20,POOL,0.114289,1,MA-RS,0.75,M,0.14355031527586748,0.8039111803710113,-0.3429102153743484,0.366490166027584,1.199870564667255,0.23698938077398912,1.195979001228231,-0.29744559476021215,False,"H1,DD",False
mrho~POOL~L0.114289~1~k20,mrho,20,POOL,0.114289,1,EWall,1.0,W,0.14685025358780535,0.7366418857531604,-0.4339756764913145,0.424893161995034,1.002355572830623,0.21115760389612825,0.9606469676792179,-0.4339756764913144,False,"H1,DD",False
mrho~POOL~L0.114289~1~k20,mrho,20,POOL,0.114289,1,MA-RS,1.0,W,0.1543809537789136,0.678268533738311,-0.42332094364008677,0.11710853495819468,1.1372277484006594,0.2743138991884737,1.01625058804621,-0.42332094364008666,False,"H1,DD",False
mrho~POOL~L0.114289~1~k20,mrho,20,POOL,0.114289,1,EWall,1.0,M,0.14879590449864466,0.7406023962078324,-0.4411111094690954,0.4047163873601155,1.0275397904369608,0.2199770427360075,0.9870449820557288,-0.4411111094690957,False,"H1,DD",False
mrho~POOL~L0.114289~1~k20,mrho,20,POOL,0.114289,1,MA-RS,1.0,M,0.18679027647515878,0.8032882270415387,-0.4356921694883299,0.3699594838535688,1.194275761867119,0.31662627096499407,1.1919867390707701,-0.39477260325498575,False,"H1,DD",False
mrho~POOL~L0.114289~2~k20,mrho,20,POOL,0.114289,2,EWall,0.5,W,0.13365559310522768,1.0669116394217224,-0.21740763387659223,0.9078732019688694,1.212845115552365,0.15410551073325474,1.2118786233410679,-0.21740763387659356,True,DD,False
mrho~POOL~L0.114289~2~k20,mrho,20,POOL,0.114289,2,MA-RS,0.5,W,0.09020646794291842,0.6535339797618682,-0.447169033956078,0.4180253427129152,0.8607439737314578,0.12253726479335403,0.8458658298140094,-0.34954972918417015,False,"H1,OOS,DD,CAGR",False
mrho~POOL~L0.114289~2~k20,mrho,20,POOL,0.114289,2,EWall,0.5,M,0.1242254078402123,0.9818522635465308,-0.23765642937519416,0.7763795636934797,1.1678258001187,0.15072301042391167,1.1576327563991156,-0.2376564293751936,True,"H1,DD",False
mrho~POOL~L0.114289~2~k20,mrho,20,POOL,0.114289,2,MA-RS,0.5,M,0.11472034670724818,0.7983331670139628,-0.2998074429969153,0.8028997749384827,0.8015001998604686,0.11654791868623993,0.7895363887011939,-0.2998074429969143,False,"H1,H2,OOS,DD",False
mrho~POOL~L0.114289~2~k20,mrho,20,POOL,0.114289,2,EWall,0.75,W,0.20004694918633703,1.0669996315556365,-0.3151376086108645,0.9098559770603221,1.211156711618725,0.23240988060293888,1.2104358622993467,-0.3151376086108655,False,DD,False
mrho~POOL~L0.114289~2~k20,mrho,20,POOL,0.114289,2,MA-RS,0.75,W,0.12903568571081037,0.6545883503881881,-0.593764551630176,0.4191773724773639,0.8615964518589189,0.1795235018298198,0.8468576369259484,-0.48340471601551604,False,"H1,OOS,DD",False
mrho~POOL~L0.114289~2~k20,mrho,20,POOL,0.114289,2,EWall,0.75,M,0.18512869757531503,0.9847007808377197,-0.3392136939620206,0.7809932280694943,1.1690802707441472,0.2267184964572131,1.1589556908018381,-0.33921369396202083,False,"H1,DD",False
mrho~POOL~L0.114289~2~k20,mrho,20,POOL,0.114289,2,MA-RS,0.75,M,0.168367793552751,0.8066410038418373,-0.4198222000304904,0.8059640308203767,0.8139383342192108,0.1713189619285056,0.8009357150863498,-0.41982220003049,False,"H1,H2,OOS,DD",False
mrho~POOL~L0.114289~2~k20,mrho,20,POOL,0.114289,2,EWall,1.0,W,0.265425434271505,1.0670032367631368,-0.4050732770066441,0.9118219487116339,1.2093121877528108,0.31076549671361353,1.208837503578208,-0.40507327700664475,False,DD,False
mrho~POOL~L0.114289~2~k20,mrho,20,POOL,0.114289,2,MA-RS,1.0,W,0.16302182846589663,0.6558802910396087,-0.7039495303831129,0.42060533931065086,0.8626353569035217,0.23270399473870929,0.8479771425135091,-0.5942629958409937,False,"H1,OOS,DD",False
mrho~POOL~L0.114289~2~k20,mrho,20,POOL,0.114289,2,EWall,1.0,M,0.2447661677491424,0.9874791826034888,-0.43013410694182963,0.7858164008748079,1.169914138273255,0.30258144426318867,1.1598023241026976,-0.4301341069418304,False,"H1,DD",False
mrho~POOL~L0.114289~2~k20,mrho,20,POOL,0.114289,2,MA-RS,1.0,M,0.21911855807751346,0.8147838505458543,-0.5228198809371009,0.8094598445934832,0.8257825228227422,0.22327602319396522,0.8116984908983975,-0.5228198809371019,False,"H1,H2,OOS,DD",False
mrho~POOL~L0.114289~3~k20,mrho,20,POOL,0.114289,3,EWall,0.5,W,0.0546799580993218,0.5526195002868862,-0.18319252896019655,0.6726520489173349,0.4407466028343309,0.04535946073002539,0.4753473886486943,-0.18319252896019733,False,"H1,H2,OOS,CAGR",False
mrho~POOL~L0.114289~3~k20,mrho,20,POOL,0.114289,3,MA-RS,0.5,W,0.037720792285878435,0.34593150612106527,-0.36489258882936104,0.7297356427032253,0.01768132966073971,-0.009825294411279883,-0.004464559534911725,-0.36489258882936193,False,"H1,H2,OOS,DD,CAGR",False
mrho~POOL~L0.114289~3~k20,mrho,20,POOL,0.114289,3,EWall,0.5,M,0.053873144958342944,0.5464985377166616,-0.17851243103215042,0.640516618294322,0.4593864413890899,0.04709109119988475,0.49068491691988053,-0.17851243103215153,False,"H1,H2,OOS,CAGR",False
mrho~POOL~L0.114289~3~k20,mrho,20,POOL,0.114289,3,MA-RS,0.5,M,0.06966198670248036,0.5647656682417358,-0.3120748833802298,1.2506591347471798,-0.010517947345630949,-0.001650098839623526,0.058310006230102386,-0.3120748833802307,False,"H2,OOS,DD,CAGR",False
mrho~POOL~L0.114289~3~k20,mrho,20,POOL,0.114289,3,EWall,0.75,W,0.07822147231552212,0.5506483319259978,-0.26476075979551705,0.6698922299128327,0.43951871277362053,0.06423694635005717,0.4741763408505207,-0.2647607597955186,False,"H1,H2,OOS,DD,CAGR",False
