gross,cadset,form,lam,n,OOS_MAE
0.5,W/M/Q (idea 535),ZERO,0.0,162,0.17045822276361453
0.5,W/M/Q (idea 535),ZERO,0.25,162,0.17045822276361453
0.5,W/M/Q (idea 535),ZERO,0.5,162,0.17045822276361453
0.5,W/M/Q (idea 535),ZERO,0.75,162,0.17045822276361453
0.5,W/M/Q (idea 535),ZERO,1.0,162,0.17045822276361453
0.5,W/M/Q (idea 535),GLOBAL,0.0,162,0.16541762216995862
0.5,W/M/Q (idea 535),GLOBAL,0.25,162,0.16541762216995862
0.5,W/M/Q (idea 535),GLOBAL,0.5,162,0.16541762216995862
0.5,W/M/Q (idea 535),GLOBAL,0.75,162,0.16541762216995862
0.5,W/M/Q (idea 535),GLOBAL,1.0,162,0.16541762216995862
0.5,W/M/Q (idea 535),FAMILY,0.0,162,0.16541762216995862
0.5,W/M/Q (idea 535),FAMILY,0.25,162,0.15355184963249974
0.5,W/M/Q (idea 535),FAMILY,0.5,162,0.14245934706728966
0.5,W/M/Q (idea 535),FAMILY,0.75,162,0.13287385644709004
0.5,W/M/Q (idea 535),FAMILY,1.0,162,0.126020178726002
0.5,W/M/Q (idea 535),CSD.is,0.0,162,0.16541762216995862
0.5,W/M/Q (idea 535),CSD.is,0.25,162,0.1510340867962786
0.5,W/M/Q (idea 535),CSD.is,0.5,162,0.13707754623300178
0.5,W/M/Q (idea 535),CSD.is,0.75,162,0.12475234384744803
0.5,W/M/Q (idea 535),CSD.is,1.0,162,0.11617310514906734
0.5,D only,ZERO,0.0,54,0.08563733730695583
0.5,D only,ZERO,0.25,54,0.08563733730695583
0.5,D only,ZERO,0.5,54,0.08563733730695583
0.5,D only,ZERO,0.75,54,0.08563733730695583
0.5,D only,ZERO,1.0,54,0.08563733730695583
0.5,D only,GLOBAL,0.0,54,0.11606885189830382
0.5,D only,GLOBAL,0.25,54,0.11606885189830382
0.5,D only,GLOBAL,0.5,54,0.11606885189830382
0.5,D only,GLOBAL,0.75,54,0.11606885189830382
0.5,D only,GLOBAL,1.0,54,0.11606885189830382
0.5,D only,FAMILY,0.0,54,0.11606885189830382
0.5,D only,FAMILY,0.25,54,0.10522531764692979
0.5,D only,FAMILY,0.5,54,0.09511894041189249
0.5,D only,FAMILY,0.75,54,0.08501256317685518
0.5,D only,FAMILY,1.0,54,0.07541707824753836
0.5,D only,CSD.is,0.0,54,0.11606885189830382
0.5,D only,CSD.is,0.25,54,0.10822988141721722
0.5,D only,CSD.is,0.5,54,0.10046009430351502
0.5,D only,CSD.is,0.75,54,0.0928946460187751
0.5,D only,CSD.is,1.0,54,0.09273699725596221
0.5,D/W/M/Q (all),ZERO,0.0,216,0.14925300139944983
0.5,D/W/M/Q (all),ZERO,0.25,216,0.14925300139944983
0.5,D/W/M/Q (all),ZERO,0.5,216,0.14925300139944983
0.5,D/W/M/Q (all),ZERO,0.75,216,0.14925300139944983
0.5,D/W/M/Q (all),ZERO,1.0,216,0.14925300139944983
0.5,D/W/M/Q (all),GLOBAL,0.0,216,0.15221347472007626
0.5,D/W/M/Q (all),GLOBAL,0.25,216,0.15221347472007626
0.5,D/W/M/Q (all),GLOBAL,0.5,216,0.15221347472007626
0.5,D/W/M/Q (all),GLOBAL,0.75,216,0.15221347472007626
0.5,D/W/M/Q (all),GLOBAL,1.0,216,0.15221347472007626
0.5,D/W/M/Q (all),FAMILY,0.0,216,0.15221347472007626
0.5,D/W/M/Q (all),FAMILY,0.25,216,0.13993434506864383
