panel,kind,q,k,draw,arm,n,Ebar,breadth,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,spy_S,spy_CAGR,spy_DD,spy_H1,spy_H2,spy_OOS_S,v2_S,v2_H1,v2_H2,v2_DD,v2_OOS_S,pass4a,pass4b
MIX q=0.50 k=40 d0,mix,0.5,40.0,0,CAND5,5.0,19.66987951807229,0.49174698795180727,0.11891762567249287,0.74104407384854,-0.22670008186817292,0.8587500992361988,0.6431918832567963,0.11413144294188715,0.6989728254387375,-0.21497490296724386,0.8169579501839384,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.8795161623099942,0.7433360293507394,1.0175774706235918,-0.11607526086489339,1.0429174134873096,False,False
MIX q=0.50 k=40 d0,mix,0.5,40.0,0,CAND10,10.0,19.66987951807229,0.49174698795180727,0.11783948573422864,0.8795188663261636,-0.16730741872106492,1.138026737627352,0.640844634574738,0.0951748771153198,0.7256884251019241,-0.16730741872106525,1.133900012673186,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.8795161623099942,0.7433360293507394,1.0175774706235918,-0.11607526086489339,1.0429174134873096,False,False
MIX q=0.50 k=40 d0,mix,0.5,40.0,0,CAND15,15.0,19.66987951807229,0.49174698795180727,0.11294283235249991,0.9589894204026715,-0.16427875705889738,1.156149972977403,0.7726126358411184,0.10031927909925265,0.8576902614880646,-0.16427875705889672,1.1260259044000815,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.8795161623099942,0.7433360293507394,1.0175774706235918,-0.11607526086489339,1.0429174134873096,False,False
MIX q=0.50 k=40 d0,mix,0.5,40.0,0,CAND20,20.0,19.66987951807229,0.49174698795180727,0.09058586591027251,0.8888835404312249,-0.1542454959800501,1.0980555449523244,0.6874858422226336,0.08097262670975125,0.8006520275603626,-0.15424549598004966,1.0329827143663821,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.8795161623099942,0.7433360293507394,1.0175774706235918,-0.11607526086489339,1.0429174134873096,False,False
MIX q=0.50 k=40 d0,mix,0.5,40.0,0,CAND30,30.0,19.66987951807229,0.49174698795180727,0.0626562710065297,0.872126627755399,-0.1160477316319044,1.0715850509587543,0.684765959870055,0.06133032220668233,0.8448674291489352,-0.11604773163190352,0.9178416961208167,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.8795161623099942,0.7433360293507394,1.0175774706235918,-0.11607526086489339,1.0429174134873096,False,False
MIX q=0.50 k=40 d0,mix,0.5,40.0,0,EWall,,19.66987951807229,0.49174698795180727,0.1097940071074257,0.9281122286080226,-0.18021136284645867,1.134710782827889,0.7399465185295332,0.10027597656393694,0.8533119265515576,-0.1802113628464579,1.050261950909218,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.8795161623099942,0.7433360293507394,1.0175774706235918,-0.11607526086489339,1.0429174134873096,False,False
MIX q=0.50 k=40 d1,mix,0.5,40.0,1,CAND5,5.0,21.44457831325301,0.5361144578313253,0.14093766986471845,0.8108286668935142,-0.23146236886541904,0.9704270662958691,0.6733389244852014,0.13281503494791136,0.7457071513600775,-0.23146236886541915,0.9350807439845462,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,1.1339241662119763,1.0568492664817404,1.2072689519060538,-0.12441953727233135,1.265560803207627,False,False
MIX q=0.50 k=40 d1,mix,0.5,40.0,1,CAND10,10.0,21.44457831325301,0.5361144578313253,0.11281463496982336,0.809167699188731,-0.2282538380474075,0.9809413669532483,0.6561298959723689,0.11615921102767968,0.805614683619086,-0.2282538380474074,0.8179031435125227,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,1.1339241662119763,1.0568492664817404,1.2072689519060538,-0.12441953727233135,1.265560803207627,False,False
MIX q=0.50 k=40 d1,mix,0.5,40.0,1,CAND15,15.0,21.44457831325301,0.5361144578313253,0.11440906298970543,0.9249633507277659,-0.200219725085802,1.0088576975687917,0.8459281208614525,0.12424272294619754,0.973539046848144,-0.20021972508580177,0.8418694309802893,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,1.1339241662119763,1.0568492664817404,1.2072689519060538,-0.12441953727233135,1.265560803207627,False,False
MIX q=0.50 k=40 d1,mix,0.5,40.0,1,CAND20,20.0,21.44457831325301,0.5361144578313253,0.10409720122825106,0.9426749538051196,-0.1779511991263184,1.0382781450328205,0.8510795330362356,0.1097459621753607,0.9694062953897112,-0.1779511991263184,0.8974978116859667,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,1.1339241662119763,1.0568492664817404,1.2072689519060538,-0.12441953727233135,1.265560803207627,False,False
