outcome,device,m,cells,native_claims,bar,real_share,real_sub_p5,real_sub_med,real_sub_p95,null_p5,null_med,null_p95,null_sd,draws_used,excess,z,p_left,verdict,stable_below
Sharpe,SUB,4,36,20,1.96,0.7,0.25,0.75,1.0,0.5,0.75,1.0,0.20186532484555142,400.0,-0.050000000000000044,-0.24768988947584433,0.2125,INSIDE,0.0705
Sharpe,BAR,4,36,20,3.9014318834259045,0.5,,,,0.0,0.25,0.5,0.19716347912328996,400.0,0.25,1.2679833055881022,0.9575,INSIDE,
Sharpe,SUB,6,36,20,1.96,0.7,0.5,0.6666666666666666,1.0,0.5,0.8333333333333334,1.0,0.16006942938057292,400.0,-0.13333333333333341,-0.8329718788234503,0.36,INSIDE,0.0315
Sharpe,BAR,6,36,20,3.8057639867673316,0.3333333333333333,,,,0.16666666666666666,0.5,0.6666666666666666,0.1647367428488388,400.0,-0.16666666666666669,-1.0117151995629705,0.4125,INSIDE,
Sharpe,SUB,9,36,20,1.96,0.7,0.5555555555555556,0.6666666666666666,0.8888888888888888,0.5555555555555556,0.7777777777777778,1.0,0.12467117242798313,400.0,-0.07777777777777783,-0.6238633700401471,0.2775,INSIDE,0.032
Sharpe,BAR,9,36,20,3.4015863572543967,0.4444444444444444,,,,0.3333333333333333,0.5555555555555556,0.7777777777777778,0.12008741671932571,400.0,-0.11111111111111116,-0.9252519052083998,0.2825,INSIDE,
Sharpe,SUB,12,36,20,1.96,0.7,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.9166666666666666,0.1017745844492223,376.0,-0.13333333333333341,-1.3100847726856257,0.2154255319148936,INSIDE,0.024
Sharpe,BAR,12,36,20,2.8901596036584354,0.5,,,,0.5,0.6666666666666666,0.8333333333333334,0.10857325196228887,400.0,-0.16666666666666663,-1.535061938870133,0.105,INSIDE,
Sharpe,SUB,15,36,20,1.96,0.7,0.6,0.6666666666666666,0.8,0.6,0.8,0.9333333333333333,0.09634171615304725,188.0,-0.10000000000000009,-1.0379719605694104,0.2074468085106383,INSIDE,0.0
Sharpe,BAR,15,36,20,2.782522390971545,0.6666666666666666,,,,0.6,0.7333333333333333,0.8666666666666667,0.0953304195358905,400.0,-0.06666666666666665,-0.6993220735965359,0.2975,INSIDE,
Sharpe,SUB,19,36,20,1.96,0.7,0.6842105263157895,0.6842105263157895,0.7368421052631579,0.6684210526315789,0.7894736842105263,0.9105263157894736,0.0837707816583391,15.0,-0.08947368421052637,-1.0680774661438244,0.13333333333333333,INSIDE,0.0
Sharpe,BAR,19,36,20,2.1482920636854828,0.7368421052631579,,,,0.6815789473684212,0.7894736842105263,0.9473684210526315,0.08254898654771844,400.0,-0.052631578947368474,-0.6375799528071026,0.305,INSIDE,
Sharpe,SUB,24,36,20,,,,,,,,,,,,,,NA (m > native claims),
Sharpe,BAR,24,36,20,1.6099113628070854,0.75,,,,0.75,0.875,0.9583333333333334,0.06695696884629213,400.0,-0.125,-1.8668706507152784,0.09,INSIDE,
Sharpe,SUB,28,36,20,,,,,,,,,,,,,,NA (m > native claims),
Sharpe,BAR,28,36,20,1.0901266164640775,0.8214285714285714,,,,0.7857142857142857,0.8928571428571429,0.9642857142857143,0.059594452128447314,400.0,-0.07142857142857151,-1.1985775332679869,0.2375,INSIDE,
CAGR,SUB,4,36,23,1.96,0.8260869565217391,0.5,0.75,1.0,0.5,0.75,1.0,0.20447722978366076,400.0,0.07608695652173914,0.3721047893804117,0.6425,INSIDE,0.0085
CAGR,BAR,4,36,23,5.091347010639501,0.0,,,,0.25,0.5,0.75,0.19584651994610472,400.0,-0.5,-2.5530195795033563,0.0425,BELOW,
CAGR,SUB,6,36,23,1.96,0.8260869565217391,0.6666666666666666,0.8333333333333334,1.0,0.5,0.8333333333333334,1.0,0.16261267461192702,400.0,-0.007246376811594235,-0.04456218944118358,0.3925,INSIDE,0.0025
CAGR,BAR,6,36,23,4.491749742861787,0.0,,,,0.3333333333333333,0.5,0.8333333333333334,0.14632002122440765,400.0,-0.5,-3.4171673556085773,0.0,BELOW,
CAGR,SUB,9,36,23,1.96,0.8260869565217391,0.6666666666666666,0.7777777777777778,1.0,0.5555555555555556,0.7777777777777778,1.0,0.12310006719417287,400.0,0.048309178743961345,0.3924382808643027,0.65,INSIDE,0.0
CAGR,BAR,9,36,23,4.1839029168000215,0.2222222222222222,,,,0.4444444444444444,0.5555555555555556,0.7777777777777778,0.11143148257401035,400.0,-0.33333333333333337,-2.9913748397984445,0.0,BELOW,
CAGR,SUB,12,36,23,1.96,0.8260869565217391,0.75,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.75,0.9166666666666666,0.1086088562478569,371.0,0.07608695652173914,0.7005594124672545,0.555256064690027,INSIDE,0.0
