panel,theta,k_ma,k_md,dk_md,dk_max,exact_share,mom_rankable,nlive
U56,0.3,2.2755515533543447,2.2755515533543447,0.0,0.0,1.0,52.76474561008555,53.11391265195858
U56,0.2,5.445520036019811,5.445520036019811,0.0,0.0,1.0,52.76474561008555,53.11391265195858
U56,0.12,12.338135974786132,12.338135974786132,0.0,0.0,1.0,52.76474561008555,53.11391265195858
U56,0.06,23.414002701485817,23.414002701485817,0.0,0.0,1.0,52.76474561008555,53.11391265195858
U56,0.0,37.624493471409274,37.624493471409274,0.0,0.0,1.0,52.76474561008555,53.11391265195858
U56,-0.06,45.576767221972084,45.57113912651958,0.005628095452498875,1.0,0.9943719045475011,52.76474561008555,53.11391265195858
U56,-0.12,48.9984241332733,48.967807294011706,0.03061683926159388,1.0,0.9693831607384061,52.76474561008555,53.11391265195858
U56,-0.25,51.626969833408374,51.576542098153986,0.05042773525438991,1.0,0.9495722647456101,52.76474561008555,53.11391265195858
U56,-0.4,52.55605583070689,52.484466456551104,0.07158937415578569,1.0,0.9284106258442143,52.76474561008555,53.11391265195858
B136,0.3,5.232935345798603,5.232935345798603,0.0,0.0,1.0,129.6704212660509,130.3687767515206
B136,0.2,14.311556656904708,14.311556656904708,0.0,0.0,1.0,129.6704212660509,130.3687767515206
B136,0.12,34.32710069835549,34.32710069835549,0.0,0.0,1.0,129.6704212660509,130.3687767515206
B136,0.06,62.11038522189683,62.11038522189683,0.0,0.0,1.0,129.6704212660509,130.3687767515206
B136,0.0,92.37643613426448,92.37643613426448,0.0,0.0,1.0,129.6704212660509,130.3687767515206
B136,-0.06,111.1214237440865,111.1214237440865,0.0,0.0,1.0,129.6704212660509,130.3687767515206
B136,-0.12,120.28993016445145,120.27979274611398,0.010137418337463393,1.0,0.9898625816625366,129.6704212660509,130.3687767515206
B136,-0.25,127.3464744311782,127.26447398062626,0.0820004505519261,2.0,0.9256589321919351,129.6704212660509,130.3687767515206
B136,-0.4,129.28452354133813,129.15386348276638,0.1306600585717504,3.0,0.8893895021401217,129.6704212660509,130.3687767515206
SMALL439,0.3,36.05414336553127,36.05414336553127,0.0,0.0,1.0,335.37646161667516,347.862735129639
SMALL439,0.2,61.58922216573462,61.58922216573462,0.0,0.0,1.0,335.37646161667516,347.862735129639
SMALL439,0.12,95.58388408744281,95.58388408744281,0.0,0.0,1.0,335.37646161667516,347.862735129639
SMALL439,0.06,130.51093035078802,130.51093035078802,0.0,0.0,1.0,335.37646161667516,347.862735129639
SMALL439,0.0,172.37061514997458,172.37061514997458,0.0,0.0,1.0,335.37646161667516,347.862735129639
SMALL439,-0.06,213.60701576004067,213.60701576004067,0.0,0.0,1.0,335.37646161667516,347.862735129639
SMALL439,-0.12,248.53253685815963,248.53253685815963,0.0,0.0,1.0,335.37646161667516,347.862735129639
SMALL439,-0.25,297.5094051855618,297.4989832231825,0.010421962379257754,2.0,0.9903406202338587,335.37646161667516,347.862735129639
SMALL439,-0.4,323.84367056431114,323.6532791052364,0.1903914590747331,6.0,0.9064565327910523,335.37646161667516,347.862735129639
