panel,shape,eps,pick_flips,n,oos_CAGR_mean,oos_CAGR_min,oos_CAGR_max,oos_Sharpe_mean,oos_Sharpe_min,oos_Sharpe_max,oos_MaxDD_mean,oos_MaxDD_min
B136,BLOCK,0.0003,0,24,0.11161211971593077,0.11151441718479349,0.11174779548821001,1.1070961530769658,1.1060338366303242,1.1083448631019406,-0.19499537044772827,-0.19501877412062418
B136,IID,0.0001,0,24,0.11167008108309033,0.11160032338371284,0.11170499560338931,1.1078302291965263,1.1072264610782145,1.1081678725132558,-0.19498902408791396,-0.19499967413576258
B136,IID,0.0003,0,24,0.1116548660152485,0.11156053327583937,0.11177670330899003,1.1074708265562652,1.1062423049301748,1.1084019667696579,-0.19498805220326854,-0.19503037843116
B136,IID,0.001,0,24,0.11159104911807795,0.1108970461558636,0.1120019940833279,1.107383419326448,1.1017111197516603,1.1108532940575588,-0.19440864661128232,-0.19512448265004823
B136,IID,0.003,0,24,0.1115372171288268,0.11034163649870732,0.11238124293718088,1.1076104875233208,1.0980366005389919,1.1182835252290124,-0.19391439080797504,-0.19545284681128328
U56,BLOCK,0.0003,0,24,0.11996737269551187,0.11968989232854743,0.12038209818413104,1.161127473100298,1.1587206834618813,1.1642844462516155,-0.19049704873088444,-0.1905334459561534
U56,IID,0.0001,0,24,0.11993682918373068,0.11986550140055785,0.11997265946713398,1.1610050249947708,1.1593481938882932,1.161633398188884,-0.19050471364995925,-0.19051889254251175
U56,IID,0.0003,0,24,0.11996204258761906,0.11980381651620786,0.12031224160201237,1.160861313308883,1.1588349412338337,1.1642366459069002,-0.19050760463195113,-0.19053793405132058
U56,IID,0.001,0,24,0.1201733506750408,0.11966136409873251,0.12085586322316533,1.162105463044938,1.1573474919404858,1.167757088804727,-0.19039626010456803,-0.19069630023128037
U56,IID,0.003,0,24,0.12015338046607406,0.11857251731612961,0.1216556601055192,1.161922295390055,1.1472742432752288,1.1764814800836116,-0.1905153609555612,-0.19096750278897223
