panel,gross,cad,cost,turn_yr,CAGR,Sharpe,MaxDD,H1,H2,isSharpe,oCAGR,oSharpe,oMaxDD,p4a_canon,p4a_own,p4b
U56,0.5,W,10.0,1.195488769585749,0.05719859436086572,1.1998443223583883,-0.08117567547064919,1.234190767455468,1.172442450836956,1.1036520241640548,0.062649841109361,1.2752253002244605,-0.08117567547064941,False,False,False
U56,0.5,W,25.0,1.195488769585749,0.05530473348828613,1.1618543492569566,-0.08143952122949993,1.1958702612496104,1.1346383746133268,1.064649509770687,0.06073251448739314,1.2379969593775735,-0.08143952122949971,False,False,False
U56,0.5,M,10.0,0.8291097938563257,0.05880540780774113,1.169478637856563,-0.09778167223777945,1.217259617926063,1.130488977205252,1.103230576814876,0.06325611864017233,1.2215994114094375,-0.09778167223777978,False,False,False
U56,0.5,M,25.0,0.8291097938563257,0.05748987687641871,1.1446420596165678,-0.09796098834759859,1.192125085774957,1.105844894862788,1.0778326552250042,0.061920704130233206,1.1971823528369503,-0.09796098834759848,False,False,False
U56,0.5,Q,10.0,0.5609956625489565,0.053412382397669544,0.9960575801325113,-0.13506591922276445,1.1459941048167974,0.8888677908819091,1.0288183976725964,0.05632782681859161,0.9793494038754635,-0.13506591922276512,False,False,False
U56,0.5,Q,25.0,0.5609956625489565,0.0525264673106145,0.9803772834922198,-0.13506591922276434,1.1286830201012876,0.8743111958273015,1.0118582554717201,0.05542440778375446,0.9644693261656799,-0.13506591922276445,False,False,False
U56,0.75,W,10.0,1.7745436785353772,0.08613208348721235,1.199806892667932,-0.12054945176473186,1.2348551724631611,1.171836142861671,1.1042568982946723,0.09447597045404743,1.2746660728287855,-0.12054945176473153,False,False,False
U56,0.75,W,25.0,1.7745436785353772,0.08324534143182216,1.1622229225040757,-0.12092633917052897,1.1969623080789504,1.134418383909145,1.065688399341484,0.09154436408796252,1.2378212747972102,-0.12092633917052875,False,False,False
U56,0.75,M,10.0,1.235526277314823,0.08871215377410979,1.1710113985023296,-0.14381692830124138,1.219340440712098,1.1315561780151302,1.1054499038963443,0.0954892393587623,1.222602500731986,-0.14381692830124182,False,False,False
U56,0.75,M,25.0,1.235526277314823,0.0866973212576212,1.1463667081895021,-0.14407157910725044,1.1943999660738212,1.107102120014021,1.080248383265751,0.09343992449975658,1.198374098396158,-0.1440715791072501,False,False,False
U56,0.75,Q,10.0,0.8370339138240507,0.08006646810301099,0.9937208553944611,-0.19901603358465791,1.1471340325252442,0.8850165900900439,1.0301122638225015,0.0843340153574561,0.974967203768771,-0.19901603358465803,False,False,False
U56,0.75,Q,25.0,0.8370339138240507,0.07871156647412425,0.978174448882305,-0.19901603358465803,1.1299216407547479,0.8706082120421758,1.013233985775231,0.0829513404151474,0.96024831766096,-0.19901603358465814,False,False,False
U56,1.0,W,10.0,2.3532700872719805,0.11523943200801301,1.1996276726447264,-0.15910990855024065,1.2353834127141372,1.171086845015704,1.1047287296204842,0.1265835231142587,1.2739575885086263,-0.15910990855024054,False,False,True
U56,1.0,W,25.0,2.3532700872719805,0.11131049391984504,1.162260564649112,-0.15958971136082134,1.1977205654512029,1.1338734534479598,1.0663984093377854,0.12258142765525215,1.2373121315362285,-0.15958971136082134,False,False,True
U56,1.0,M,10.0,1.6428655323796748,0.11892878163028864,1.172450028730733,-0.18805284846126324,1.2213032693662256,1.1325537787067288,1.1075726205236895,0.1280966120320315,1.2235127917822421,-0.18805284846126347,False,False,True
U56,1.0,M,25.0,1.6428655323796748,0.11617656303010326,1.1479065682995309,-0.18837521225829823,1.1964597707835383,1.1082044147302903,1.0824733229163939,0.12529199353832698,1.1993850496687513,-0.18837521225829867,False,False,True
U56,1.0,Q,10.0,1.1143161264615087,0.10664181401331274,0.9909289008978097,-0.26074360989703216,1.1481412698083946,0.8807001770822942,1.0313126960631283,0.11217171257962244,0.970002288269258,-0.2607436098970325,False,False,False
U56,1.0,Q,25.0,1.1143161264615087,0.10479419343581764,0.975470453214616,-0.26074360989703194,1.1309714132835658,0.8663987445573537,1.0144652310252036,0.11028441546782841,0.9553997717444807,-0.2607436098970318,False,False,False
B136,0.5,W,10.0,1.354452600669792,0.05342200830227117,1.1057465852553037,-0.0824195554382654,1.2279010434300024,0.9853305410100207,1.0899913660174034,0.05312479996926611,1.1194592105221277,-0.08241955543826573,False,False,False
B136,0.5,W,25.0,1.354452600669792,0.05128429713481619,1.0634877829065137,-0.08272849884527289,1.1889533346021164,0.9398134860392879,1.0508209819073822,0.050893985355156435,1.0745415900510082,-0.08272849884527278,False,False,False
B136,0.5,M,10.0,0.9341074218866954,0.05572510411420972,1.090771100983547,-0.106714562951441,1.2118064876558772,0.9744427109864563,1.0848867426095492,0.055432572707448724,1.0956267181799537,-0.10671456295144055,False,False,False
B136,0.5,M,25.0,0.9341074218866954,0.0542474259604917,1.0633352587248395,-0.10694533962647712,1.1860519292772767,0.945393558749193,1.0592744415116864,0.05388764223656284,1.0666558685253282,-0.10694533962647734,False,False,False
B136,0.5,Q,10.0,0.6039841886196085,0.052342382866388926,0.9493272897847046,-0.1476302300179846,1.1448410307058152,0.7867413093442703,1.017264589309165,0.0514079491688495,0.8996320323577599,-0.14763023001798492,False,False,False
B136,0.5,Q,25.0,0.6039841886196085,0.05138935178017956,0.9328901245086446,-0.14763023001798492,1.1279881466349169,0.7705861174238595,1.0008149215127407,0.050417592690695345,0.8831820528748718,-0.1476302300179846,False,False,False
B136,0.75,W,10.0,2.0110891272076903,0.0803031894255104,1.1057901818007876,-0.12240793860207999,1.2290677258478548,0.9843850631086557,1.0911618922065958,0.07983337481604358,1.1185082795688426,-0.1224079386020801,False,False,False
B136,0.75,W,25.0,2.0110891272076903,0.07704992234239327,1.0639810341503695,-0.12284879701088991,1.1905864581466727,0.939303394616335,1.0524638689243497,0.07643420182382155,1.0740236940215924,-0.12284879701089024,False,False,False
B136,0.75,M,10.0,1.3926051384050366,0.08396574563238524,1.0924290639959036,-0.15687424307604425,1.2143095233383727,0.9754353120895712,1.0877189159903342,0.0834824238817653,1.096282121142908,-0.15687424307604447,False,False,False
B136,0.75,M,25.0,1.3926051384050366,0.08170497395968757,1.0652049419708636,-0.15720132467995673,1.188755705373842,0.9466089397545384,1.062304383531473,0.08111823617110958,1.067536238562757,-0.15720132467995662,False,False,False
B136,0.75,Q,10.0,0.9006602862388714,0.07842589747637607,0.9447837894522032,-0.21842509318444103,1.145045317530102,0.78063470184672,1.018034129318429,0.07686920115586293,0.8919955834468142,-0.21842509318444092,False,False,False
B136,0.75,Q,25.0,0.9006602862388714,0.07696976975164849,0.9285588252283777,-0.21842509318444114,1.1283387144240986,0.7647334362112486,1.0017127270083708,0.07535611455326574,0.8758146908298623,-0.2184250931844406,False,False,False
B136,1.0,W,10.0,2.6662718736434665,0.10724582624809265,1.1056928857688249,-0.16157734777304522,1.230097256892346,0.9833022070744003,1.092198222552401,0.10658557013582604,1.117411511463011,-0.1615773477730451,False,False,True
B136,1.0,W,25.0,2.6662718736434665,0.10282753695878122,1.064145789056715,-0.1621397754998275,1.1918793013904943,0.93848387641195,1.053769440746983,0.10196602593399073,1.0731857152180366,-0.1621397754998276,False,False,False
B136,1.0,M,10.0,1.8509451701671995,0.11243022503025468,1.094014300385288,-0.20501067113817872,1.2167191170066887,0.9763863526430506,1.0904783596568932,0.11172419144628254,1.096866017678188,-0.2050106711381786,False,False,False
