stratum,unit,K,floor_IS,floor_OOS,ratio,bar_from_IS,oos_cells,oos_clear_share
SELF,cagr,1,3.8635761256955413e-16,4.440892098500626e-16,1.1494252873563229,3.8635761256955413e-16,27,0.9259259259259259
SELF,cagr,3,3.8635761256955413e-16,4.440892098500626e-16,1.1494252873563229,1.1590728377086624e-15,27,1.0
SELF,cagr,10,3.8635761256955413e-16,4.440892098500626e-16,1.1494252873563229,3.863576125695541e-15,27,1.0
SELF,cagr,30,3.8635761256955413e-16,4.440892098500626e-16,1.1494252873563229,1.1590728377086624e-14,27,1.0
SELF,cagr,100,3.8635761256955413e-16,4.440892098500626e-16,1.1494252873563229,3.863576125695541e-14,27,1.0
SELF,cagr,1000,3.8635761256955413e-16,4.440892098500626e-16,1.1494252873563229,3.863576125695541e-13,27,1.0
SELF,sharpe,1,5.551115123125783e-16,1.3322676295501878e-15,2.4,5.551115123125783e-16,27,0.8888888888888888
SELF,sharpe,3,5.551115123125783e-16,1.3322676295501878e-15,2.4,1.6653345369377348e-15,27,1.0
SELF,sharpe,10,5.551115123125783e-16,1.3322676295501878e-15,2.4,5.551115123125783e-15,27,1.0
SELF,sharpe,30,5.551115123125783e-16,1.3322676295501878e-15,2.4,1.6653345369377348e-14,27,1.0
SELF,sharpe,100,5.551115123125783e-16,1.3322676295501878e-15,2.4,5.551115123125783e-14,27,1.0
SELF,sharpe,1000,5.551115123125783e-16,1.3322676295501878e-15,2.4,5.551115123125783e-13,27,1.0
SELF,dd,1,7.727152251391083e-16,6.661338147750939e-16,0.8620689655172421,7.727152251391083e-16,27,1.0
SELF,dd,3,7.727152251391083e-16,6.661338147750939e-16,0.8620689655172421,2.3181456754173248e-15,27,1.0
SELF,dd,10,7.727152251391083e-16,6.661338147750939e-16,0.8620689655172421,7.727152251391083e-15,27,1.0
SELF,dd,30,7.727152251391083e-16,6.661338147750939e-16,0.8620689655172421,2.3181456754173248e-14,27,1.0
SELF,dd,100,7.727152251391083e-16,6.661338147750939e-16,0.8620689655172421,7.727152251391082e-14,27,1.0
SELF,dd,1000,7.727152251391083e-16,6.661338147750939e-16,0.8620689655172421,7.727152251391082e-13,27,1.0
SELF,turnover,1,4.440892098500626e-16,4.440892098500626e-16,1.0,4.440892098500626e-16,27,0.8888888888888888
SELF,turnover,3,4.440892098500626e-16,4.440892098500626e-16,1.0,1.3322676295501878e-15,27,1.0
SELF,turnover,10,4.440892098500626e-16,4.440892098500626e-16,1.0,4.440892098500626e-15,27,1.0
SELF,turnover,30,4.440892098500626e-16,4.440892098500626e-16,1.0,1.3322676295501878e-14,27,1.0
SELF,turnover,100,4.440892098500626e-16,4.440892098500626e-16,1.0,4.440892098500626e-14,27,1.0
SELF,turnover,1000,4.440892098500626e-16,4.440892098500626e-16,1.0,4.440892098500626e-13,27,1.0
SELF,weight,1,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-16,27,0.8888888888888888
SELF,weight,3,1.1102230246251565e-16,1.1102230246251565e-16,1.0,3.3306690738754696e-16,27,1.0
SELF,weight,10,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-15,27,1.0
SELF,weight,30,1.1102230246251565e-16,1.1102230246251565e-16,1.0,3.3306690738754696e-15,27,1.0
SELF,weight,100,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-14,27,1.0
SELF,weight,1000,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-13,27,1.0
SELF,price,1,0.0,0.0,,0.0,27,0.0
SELF,price,3,0.0,0.0,,0.0,27,0.0
SELF,price,10,0.0,0.0,,0.0,27,0.0
SELF,price,30,0.0,0.0,,0.0,27,0.0
SELF,price,100,0.0,0.0,,0.0,27,0.0
SELF,price,1000,0.0,0.0,,0.0,27,0.0
SELF,share,1,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-16,27,0.6666666666666666
SELF,share,3,1.1102230246251565e-16,1.1102230246251565e-16,1.0,3.3306690738754696e-16,27,1.0
SELF,share,10,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-15,27,1.0
SELF,share,30,1.1102230246251565e-16,1.1102230246251565e-16,1.0,3.3306690738754696e-15,27,1.0
SELF,share,100,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-14,27,1.0
SELF,share,1000,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.1102230246251565e-13,27,1.0
SELF,return,1,5.113964807179627e-17,1.7680301667155616e-16,3.457259158751696,5.113964807179627e-17,27,0.8518518518518519
SELF,return,3,5.113964807179627e-17,1.7680301667155616e-16,3.457259158751696,1.5341894421538882e-16,27,0.9259259259259259
SELF,return,10,5.113964807179627e-17,1.7680301667155616e-16,3.457259158751696,5.113964807179627e-16,27,1.0
SELF,return,30,5.113964807179627e-17,1.7680301667155616e-16,3.457259158751696,1.534189442153888e-15,27,1.0
SELF,return,100,5.113964807179627e-17,1.7680301667155616e-16,3.457259158751696,5.1139648071796265e-15,27,1.0
SELF,return,1000,5.113964807179627e-17,1.7680301667155616e-16,3.457259158751696,5.1139648071796267e-14,27,1.0
SELF,count,1,0.0,0.0,,0.0,27,0.0
SELF,count,3,0.0,0.0,,0.0,27,0.0
SELF,count,10,0.0,0.0,,0.0,27,0.0
SELF,count,30,0.0,0.0,,0.0,27,0.0
SELF,count,100,0.0,0.0,,0.0,27,0.0
SELF,count,1000,0.0,0.0,,0.0,27,0.0
REPRO,cagr,1,0.0009422283649554127,0.003513561395240576,3.7289913209170282,0.0009422283649554127,54,0.8148148148148148
REPRO,cagr,3,0.0009422283649554127,0.003513561395240576,3.7289913209170282,0.002826685094866238,54,0.9629629629629629
REPRO,cagr,10,0.0009422283649554127,0.003513561395240576,3.7289913209170282,0.009422283649554128,54,1.0
REPRO,cagr,30,0.0009422283649554127,0.003513561395240576,3.7289913209170282,0.02826685094866238,54,1.0
REPRO,cagr,100,0.0009422283649554127,0.003513561395240576,3.7289913209170282,0.09422283649554127,54,1.0
REPRO,cagr,1000,0.0009422283649554127,0.003513561395240576,3.7289913209170282,0.9422283649554127,54,1.0
REPRO,sharpe,1,0.016921375643658514,0.008492324442475944,0.5018696246282165,0.016921375643658514,54,1.0
REPRO,sharpe,3,0.016921375643658514,0.008492324442475944,0.5018696246282165,0.05076412693097554,54,1.0
REPRO,sharpe,10,0.016921375643658514,0.008492324442475944,0.5018696246282165,0.16921375643658515,54,1.0
REPRO,sharpe,30,0.016921375643658514,0.008492324442475944,0.5018696246282165,0.5076412693097554,54,1.0
REPRO,sharpe,100,0.016921375643658514,0.008492324442475944,0.5018696246282165,1.6921375643658514,54,1.0
REPRO,sharpe,1000,0.016921375643658514,0.008492324442475944,0.5018696246282165,16.921375643658514,54,1.0
REPRO,dd,1,0.0043258221679010065,0.0027486158742897875,0.6353973343345924,0.0043258221679010065,54,1.0
