char,k,n_min,cells,mean,sd,p90,max,worst_rung
momac,12,36,6,0.008993649792292962,0.003328091326682174,0.012227039091394054,0.013316507603228075,0.019030217465324073
momac,12,48,6,0.008473645417657603,0.0030089129963101584,0.01179841672809669,0.012678478555877115,0.021907536679650175
momac,12,64,6,0.006426495343540291,0.004821869684388835,0.011907681368974313,0.014359262710922138,0.025228874310132987
momac,12,84,6,0.01501793514833171,0.004962196322702999,0.01832798328541308,0.018958660830496854,0.03182399015103843
momac,12,110,6,0.008573200162808645,0.003285037338180525,0.011651818010237985,0.012410109505643113,0.018898643141120774
momac,12,134,6,0.0058733237505731685,0.002657591837740602,0.008638793337555087,0.010991961724758775,0.024972343892876503
momac,24,36,6,0.00334943317551209,0.002536098134265345,0.006126247341945695,0.006259093215438716,0.006259093215438716
momac,24,48,6,0.006645821731228925,0.004099637873706049,0.011490501408084386,0.013663726701115708,0.013663726701115708
momac,24,64,6,0.0078188481062974,0.005719519806497359,0.01490689707473708,0.015518545992025068,0.02856811214945143
momac,24,84,6,0.010029270748830347,0.0037160930160284396,0.01393859867240288,0.015402183650179794,0.02106741194458217
momac,24,110,6,0.005953182756516291,0.0034979768984430247,0.009630312851477921,0.009743230664341943,0.017000744762860176
momac,24,134,6,0.006159936695531554,0.003431893787525034,0.009037683404891084,0.009339916250971025,0.015662565273916185
momac,36,48,5,0.0067022445606135465,0.0036022084986894356,0.0096583013784735,0.009867608560908403,0.009867608560908403
momac,36,64,6,0.007549811015020354,0.006034157426917645,0.01401659577741965,0.018153378061291248,0.019134428707546003
momac,36,84,6,0.008646907873274315,0.004517970858790329,0.013548629187790522,0.014923926940457966,0.015845853128115706
momac,36,110,6,0.008448437577255602,0.0033839801187342208,0.011417765896812204,0.012435798213402646,0.017511301990583816
momac,36,134,6,0.004928412504996177,0.0026865260084173673,0.007661405841859749,0.009450172293463713,0.012268303361606114
tpers,12,36,6,0.0014254245788082847,0.0010869941587822918,0.0025578469645942126,0.002820993208865752,0.002820993208865752
tpers,12,48,6,0.0017130413547305336,0.0006852057165932179,0.002475352166810524,0.002487207839482697,0.0032238462807024915
tpers,12,64,6,0.001863447562470078,0.000537707865459205,0.0024402424759573894,0.002744327789751949,0.004589075642734031
tpers,12,84,6,0.0013902255357750443,0.00027792737169268517,0.0016912750053904857,0.0018844304495723996,0.0025408723503722586
tpers,12,110,6,0.0011503005931546618,0.00042616058427397184,0.001621337241534987,0.001802402451733548,0.0033143637446850782
tpers,12,134,6,0.0015513741984051384,0.000399352691841622,0.0019296729261308182,0.001968376182420045,0.003538185249384651
tpers,24,36,5,0.0019585507357344546,0.0015598893867651822,0.003695730979599121,0.003953541430223195,0.003953541430223195
tpers,24,48,6,0.0018159394029973186,0.0015391714566115571,0.003518965478525371,0.0044161483307946225,0.0044161483307946225
tpers,24,64,6,0.0017299908701561347,0.0006228263449296351,0.002509101392228069,0.002571411681442426,0.00312336799138202
tpers,24,84,6,0.001478585782714364,0.0004220890752787895,0.001939844038423085,0.001961549329432044,0.0027650003003045764
tpers,24,110,6,0.001330781164023016,0.0004048078095835444,0.0017402508849653775,0.001995969551613482,0.0028976678774003117
tpers,24,134,6,0.0013186581507999178,0.00043214523535184407,0.0017939634356806216,0.0021057771075135476,0.0026882609147764747
tpers,36,48,5,0.0017599536736898958,0.0009985664375825986,0.0028430391406004674,0.0030696856764311775,0.0030696856764311775
tpers,36,64,6,0.0016965010843820738,0.0009636637720104058,0.0028023013968350163,0.003027747886236387,0.003200110825848146
tpers,36,84,6,0.001549790249991893,0.0006555511432467177,0.002098923895016175,0.002137219665938439,0.0028130587349971536
tpers,36,110,6,0.0014660872250190575,0.0005909093079472233,0.002037701020072835,0.002151586550150649,0.0028006147630650347
tpers,36,134,6,0.001683741152973644,0.0003382166359008811,0.0020229727947977576,0.0020827109468377993,0.0026159532179130807
