book,n,s,b,nP,nF,pP,pF,d,wP,wF,contrib_baserate,wt_within,contrib_within
K1,24,0.3333333333333333,0.25,8,16,0.125,0.3125,-0.1875,0.07476635514018691,0.08839779005524862,-0.003407858728765426,0.07931016677854082,-0.014870656270976404
K2,24,0.25,0.16666666666666666,6,18,0.0,0.2222222222222222,-0.2222222222222222,0.056074766355140186,0.09944751381215469,-0.007228791242835751,0.06691795321939381,-0.014870656270976402
K3,24,0.25,0.25,6,18,0.5,0.16666666666666666,0.33333333333333337,0.056074766355140186,0.09944751381215469,-0.010843186864253626,0.06691795321939381,0.022305984406464606
K4,24,0.375,0.7083333333333334,9,15,0.4444444444444444,0.8666666666666667,-0.4222222222222223,0.08411214953271028,0.08287292817679558,0.000877781793772912,0.08364744152424226,-0.03531780864356896
K5,24,0.2916666666666667,0.7083333333333334,7,17,0.42857142857142855,0.8235294117647058,-0.3949579831932773,0.06542056074766354,0.09392265193370165,-0.020188981256776994,0.07373367067692466,-0.02912170186399545
K6,24,0.375,0.375,9,15,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.08411214953271028,0.08287292817679558,0.0004647080084680122,0.08364744152424226,0.00929416016936025
K7,24,0.8333333333333334,0.0,20,4,0.0,0.0,0.0,0.18691588785046728,0.022099447513812154,0.0,0.04956885423658801,0.0
K8,24,0.3333333333333333,0.6666666666666666,8,16,1.0,0.5,0.5,0.07476635514018691,0.08839779005524862,-0.009087623276707802,0.07931016677854082,0.03965508338927041
R1,24,0.25,0.5416666666666666,6,18,0.0,0.7222222222222222,-0.7222222222222222,0.056074766355140186,0.09944751381215469,-0.02349357153921619,0.06691795321939381,-0.04832963288067331
R2,24,0.20833333333333334,0.20833333333333334,5,19,0.0,0.2631578947368421,-0.2631578947368421,0.04672897196261682,0.10497237569060773,-0.01213404244333144,0.05886301440594826,-0.015490266948933752
R3,24,0.5416666666666666,0.2916666666666667,13,11,0.3076923076923077,0.2727272727272727,0.034965034965035,0.12149532710280374,0.06077348066298342,0.017710538544947592,0.08860432694790107,0.003098053389786754
R4,24,0.4166666666666667,0.08333333333333333,10,14,0.0,0.14285714285714285,-0.14285714285714285,0.09345794392523364,0.07734806629834254,0.0013424898022409253,0.08674549491402901,-0.012392213559147
