file,bytes,states_full_sample,states_IS_only
2026-09-04_broad-H2-binding-bar_cloud.memo.md,2156,False,True
2026-09-04_core-sleeve-walk-forward-repair_B.memo.md,2213,False,True
2026-09-04_drawdown-insurance-price-list_B.memo.md,3240,False,False
2026-09-04_eligible-fraction-vs-n_B.memo.md,4298,True,True
2026-09-04_gross-matched-turnover-constraints_B.memo.md,2531,False,True
2026-09-04_lookback-blend_C.memo.md,2657,False,True
2026-09-04_sector-only-universe_C.memo.md,2250,False,True
2026-09-04_sharpe-bound-book-change_cloud.memo.md,2902,False,True
2026-09-04_smallcap-eligible-equal-weight_C.memo.md,5089,False,True
2026-09-04_trend-gate-as-drawdown-insurance_B.memo.md,3526,True,True
2026-09-04_trend-gate-lookback-primary_cloud.memo.md,2904,True,True
2026-09-04_vol-scaler-replacement_B.memo.md,2315,False,False
2026-09-04_which-4b-bar-binds_B.memo.md,3201,False,True
2026-09-05_absorbing-state-audit_B.memo.md,3540,False,False
2026-09-05_cagr-floor-calibration_B.memo.md,3924,False,True
2026-09-05_candidate-count-vs-dispersion_B.memo.md,2362,False,True
2026-09-05_crisis-depth-as-the-price-denominator_B.memo.md,2115,False,True
2026-09-05_cross-universe-breakeven-as-a-KEEP-bar_cloud.memo.md,4139,False,True
2026-09-05_defensive-class-census_B.memo.md,3874,False,True
2026-09-05_do-gross-choice-rules-lose-to-constants-in-general_C.memo.md,3144,True,True
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.memo.md,3465,False,True
2026-09-05_does-any-fitted-dial-beat-its-own-modal-pick_B.memo.md,1851,False,True
2026-09-05_does-any-fitted-dial-beat-its-own-modal-pick_cloud.memo.md,2288,False,False
2026-09-05_does-book-share-price-a-tilt_C.memo.md,3027,False,True
2026-09-05_does-cadence-skill-survive-a-second-corpus_cloud.memo.md,2384,False,False
2026-09-05_extend-the-three-degenerate-ladders-past-their-endpoints_C.memo.md,2227,False,False
2026-09-05_fixed-gross-S4-blend_cloud.memo.md,3539,False,True
2026-09-05_gross-as-the-missing-third-bar_B.memo.md,3129,False,True
2026-09-05_gross-interval-as-a-keep-bar_B.memo.md,3868,False,True
2026-09-05_gross-interval-as-a-pre-registered-KEEP-bar_B.memo.md,2765,False,True
2026-09-05_how-many-draws-does-clause-11b-need_cloud.memo.md,1959,False,False
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C.memo.md,3356,True,True
2026-09-05_is-the-book-size-floor-a-corpus-wide-clause_C.memo.md,1919,True,True
2026-09-05_is-the-conditional-sleeve-anything-at-all_B.memo.md,2045,True,False
2026-09-05_is-the-ladder-endpoint-a-general-selector-artefact_cloud.memo.md,2096,True,True
2026-09-05_is-the-ladder-even-a-candidate_C.memo.md,2846,False,True
2026-09-05_liquidity-screened-small-panel_cloud.memo.md,3625,False,False
2026-09-05_no-leverage-ceiling-is-load-bearing_cloud.memo.md,3355,False,True
2026-09-05_pin-m-or-let-the-screen-choose_cloud.memo.md,2290,False,True
2026-09-05_price-denominator-sign-test_C.memo.md,3321,False,False
2026-09-05_price-list-tier-bar_B.memo.md,3107,True,True
2026-09-05_price-the-broad-POS-near-miss_cloud.memo.md,2629,True,True
2026-09-05_quote-the-lift-not-the-rate_cloud.memo.md,1788,False,False
2026-09-05_relative-priceability-floor_C.memo.md,2100,False,True
2026-09-05_selectivity-as-the-book-parameter_B.memo.md,2274,True,False
2026-09-05_shallow-window-prices-are-not-prices_C.memo.md,1890,True,True
2026-09-05_sleeve-G-is-2013_cloud.memo.md,2689,True,True
2026-09-05_sleeve-f-that-clears-the-floor_cloud.memo.md,3196,False,True
2026-09-05_sleeve-with-a-real-diversifier_cloud.memo.md,2250,False,False
2026-09-05_stop-as-negative-insurance_cloud.memo.md,3588,False,True
2026-09-05_the-null-column-for-instruments-that-are-not-keyed-tilts_cloud.memo.md,3105,False,True
2026-09-05_the-screen-is-a-book-size-rule_cloud.memo.md,2688,True,True
2026-09-05_the-share-at-which-ranking-stops-paying_B.memo.md,2619,False,True
2026-09-05_the-sharpe-vs-4b-margin-sign-flip_C.memo.md,2561,False,True
2026-09-05_the-sign-is-the-parameter-not-the-share_B.memo.md,2304,True,True
2026-09-05_vol-threshold-sweep-on-ewall_B.memo.md,3118,False,True
2026-09-05_weak-dominance-bands-as-the-calibration-output_C.memo.md,2778,False,True
2026-09-05_where-does-the-POS-tilt-stop-transferring_C.memo.md,2156,False,False
2026-09-05_which-asset-carries-S4_C.memo.md,2753,False,True
2026-09-05_why-the-IS-4b-screen-changes-no-pick_cloud.memo.md,2995,True,True
2026-09-05_why-the-small-panel-wants-M-and-the-large-caps-6W_cloud.memo.md,2475,False,False
2026-09-06_band12-ewall-rw_PARK_MEMO.md,2814,True,True
2026-09-06_daily-plus-buffer30_PARK_MEMO.md,2153,False,True
2026-09-06_does-the-cash-drag-share-depend-on-the-panel-or-on-the-gate-level_cloud.memo.md,2363,False,True
2026-09-06_does-the-drawdown-phase-control-belong-on-every-cadence-row_C.memo.md,3611,False,True
2026-09-06_drawdown-budget-T070-L252_PARK_MEMO.md,2603,False,True
2026-09-06_is-the-gate-a-drawdown-instrument-on-every-panel_cloud.memo.md,3322,True,True
2026-09-06_locate-the-band-width-ceiling_cloud.memo.md,2321,False,True
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_B.memo.md,3850,True,False
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud.memo.md,4434,True,True
2026-09-06_persistence-vs-cost-as-a-required-column_cloud.memo.md,2043,False,False
