book,panel,full_Sharpe,spy_Sharpe,dSharpe_full,Lstar_OVERLAP21,Lstar_OVERLAP63,Lstar_DISJOINT,Lstar_ANALYTIC,Lstar_BOOTSTRAP,Lstar_PERM,Lhat_closedform
K1,U56,1.0632204595128434,0.8860543931081106,0.17716606640473276,,,,,,,10128.43180545417
K2,U56,1.1168305185683665,0.8860543931081106,0.23077612546025583,,,,,,,6601.268588676007
K3,U56,1.1582316284744965,0.8860543931081106,0.27217723536638583,,,,,,,6820.655634067578
K4,U56,1.2095309744401905,0.8860543931081106,0.3234765813320799,2520.0,2520.0,4443.0,4443.0,3780.0,,3278.811156569427
K5,U56,1.2016651077116542,0.8860543931081106,0.3156107146035436,4443.0,3024.0,4443.0,4443.0,3780.0,,5001.11963733463
K6,U56,1.223289109519813,0.8860543931081106,0.33723471641170244,1512.0,1512.0,1260.0,1260.0,1260.0,4443.0,1032.6641581885826
K7,B136,1.1687108743038912,0.8860757549112315,0.28263511939265973,3780.0,3780.0,4443.0,4443.0,1512.0,,1978.1651080044687
K8,U56,1.2225788453420765,0.8860543931081106,0.3365244522339659,,,,,,,5596.816211013735
R1,U56,1.1460877446699917,0.8860543931081106,0.2600333515618811,,,,,,,4876.058495042317
R2,U56,1.087689994351135,0.8860543931081106,0.20163560124302427,,,,,,,5645.297398627327
R3,U56,1.2260363003671622,0.8860543931081106,0.33998190725905153,1512.0,1512.0,2016.0,2016.0,1260.0,2520.0,1880.7165371683002
R4,B136,1.1264311898720905,0.8860757549112315,0.24035543496085898,,,,,2520.0,2520.0,9721.184150951807
LIVE,U56,1.201840627126638,0.8860543931081106,0.31578623401852735,4443.0,3024.0,4443.0,4443.0,3780.0,,4973.167753019053
V1,U56,0.6602204851445538,0.8860543931081106,-0.22583390796355685,,,,,,,12158.249972213322
