episode,leg,days,deleted,SPY_CAGR,SPY_Sharpe,SPY_MaxDD,SPY_H1,SPY_H2,REPRICED_cap,REPRICED_floor,FIXED_cap,FIXED_floor
NONE,FULL,4443,0,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,-0.20230341170038982,0.10614170707669568,-0.2023,0.10614169999999999
NONE,OOS,2436,0,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,-0.20230341170038982,0.10732189974447645,-0.2023,0.10614169999999999
COVID_TIGHT,FULL,4408,35,0.16839596651190702,1.0281715287344873,-0.24496397555877691,0.952138202166169,1.1043853227637952,-0.14697838533526614,0.1178771765583349,-0.2023,0.10614169999999999
COVID_TIGHT,OOS,2401,35,0.1843535232014104,1.1466329853256736,-0.2449639755587768,1.611644258307115,0.7796220469980096,-0.14697838533526608,0.12904746624098729,-0.2023,0.10614169999999999
COVID_DD,FULL,4322,121,0.15573329064829466,0.9701461241437964,-0.24496397555877647,0.9298661940437314,1.0124104993205971,-0.1469783853352659,0.10901330345380626,-0.2023,0.10614169999999999
COVID_DD,OOS,2315,121,0.16108760347188333,1.0409395538039516,-0.24496397555877647,1.3097792144198788,0.8490974222969689,-0.1469783853352659,0.11276132243031832,-0.2023,0.10614169999999999
COVID_WIDE,FULL,4339,104,0.1576969550204761,0.9811795819425456,-0.24496397555877691,0.9286553388880945,1.0361847544209428,-0.14697838533526614,0.11038786851433326,-0.2023,0.10614169999999999
COVID_WIDE,OOS,2332,104,0.1647216300333234,1.0621453590197723,-0.24496397555877591,1.4234068844617676,0.8024300506444794,-0.14697838533526555,0.11530514102332638,-0.2023,0.10614169999999999
DD_2015,FULL,4407,36,0.1592423284461184,0.9267665461040373,-0.33717235283398295,1.0617965181448525,0.816706843815389,-0.20230341170038976,0.11146962991228287,-0.2023,0.10614169999999999
DD_2015,OOS,2436,36,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,-0.20230341170038982,0.10732189974447645,-0.2023,0.10614169999999999
BEAR2022,FULL,4247,196,0.17824365242858842,1.032754209609282,-0.33717235283398306,0.9409695037923419,1.1195002563610976,-0.20230341170038982,0.12477055670001189,-0.2023,0.10614169999999999
BEAR2022,OOS,2240,196,0.204524844413994,1.1503793138832308,-0.33717235283398306,0.9285489372273835,1.4526798243181256,-0.20230341170038982,0.1431673910897958,-0.2023,0.10614169999999999
PLACEBO_2017,FULL,4409,34,0.15256864576066165,0.8883608482499024,-0.33717235283398306,0.9768014218263544,0.8152612510228222,-0.20230341170038982,0.10679805203246315,-0.2023,0.10614169999999999
PLACEBO_2017,OOS,2402,34,0.15506510451853406,0.8808927118784533,-0.3371723528339834,0.9746610088487958,0.7796220469980096,-0.20230341170039004,0.10854557316297384,-0.2023,0.10614169999999999
