file,panel,book,gross,cadence,cost
2026-09-06_ew-all-broad-as-the-simple-book_B.grid.csv,U56,EWELIG,0.75,W,5.0
2026-09-06_ew-all-broad-as-the-simple-book_B.grid.csv,U56,EWELIG,0.75,W,5.0
2026-09-06_ew-all-broad-as-the-simple-book_B.grid.csv,B136,EWELIG,0.75,W,5.0
2026-09-06_ew-all-broad-as-the-simple-book_B.grid.csv,B136,EWELIG,0.75,W,10.0
2026-09-06_ew-all-broad-as-the-simple-book_B.grid.csv,B136,EWELIG,0.75,W,5.0
2026-09-06_ew-all-broad-as-the-simple-book_B.grid.csv,B136,EWELIG,0.75,W,10.0
2026-09-06_holding-period-as-the-hidden-variable_cloud.grid.csv,U56,EWELIG,0.75,W,0.0
2026-09-06_holding-period-as-the-hidden-variable_cloud.grid.csv,U56,EWELIG,0.75,W,10.0
2026-09-06_holding-period-as-the-hidden-variable_cloud.grid.csv,U56,BAND03,0.75,W,0.0
2026-09-06_holding-period-as-the-hidden-variable_cloud.grid.csv,U56,BAND03,0.75,W,10.0
2026-09-06_holding-period-as-the-hidden-variable_cloud.grid.csv,U56,TOP10,0.75,W,0.0
2026-09-06_holding-period-as-the-hidden-variable_cloud.grid.csv,U56,TOP10,0.75,W,10.0
2026-09-06_holding-period-as-the-hidden-variable_cloud.grid.csv,U56,TOP20,0.75,W,0.0
2026-09-06_holding-period-as-the-hidden-variable_cloud.grid.csv,U56,TOP20,0.75,W,10.0
2026-09-06_holding-period-as-the-hidden-variable_cloud.grid.csv,B136,EWELIG,0.75,W,0.0
2026-09-06_holding-period-as-the-hidden-variable_cloud.grid.csv,B136,EWELIG,0.75,W,10.0
2026-09-06_holding-period-as-the-hidden-variable_cloud.grid.csv,B136,BAND03,0.75,W,0.0
2026-09-06_holding-period-as-the-hidden-variable_cloud.grid.csv,B136,BAND03,0.75,W,10.0
2026-09-06_holding-period-as-the-hidden-variable_cloud.grid.csv,B136,TOP20,0.75,W,0.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,W,0.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,W,10.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,W,25.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,M,0.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,M,10.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,M,25.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,W,0.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,W,10.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,W,25.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,M,0.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,M,10.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,M,25.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,W,0.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,W,10.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,W,25.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,M,0.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,M,10.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,U56,BAND03,1.0,M,25.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,B136,BAND03,1.0,W,0.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,B136,BAND03,1.0,W,10.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,B136,BAND03,1.0,W,0.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,B136,BAND03,1.0,W,10.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,B136,BAND03,1.0,W,0.0
2026-09-10_is-H2-CUSHION-AT-ZERO-COST-a-publishable-panel-column_cloud.arms.csv,B136,BAND03,1.0,W,10.0
2026-09-11_is-the-4b-DD-CAP-the-CADENCE-DIAL-in-disguise_cloud.grid.csv,U56,BAND03,1.0,W,10.0
2026-09-11_is-the-4b-DD-CAP-the-CADENCE-DIAL-in-disguise_cloud.grid.csv,U56,BAND03,1.0,W,25.0
2026-09-11_is-the-4b-DD-CAP-the-CADENCE-DIAL-in-disguise_cloud.grid.csv,U56,BAND03,1.0,M,10.0
2026-09-11_is-the-4b-DD-CAP-the-CADENCE-DIAL-in-disguise_cloud.grid.csv,U56,BAND03,1.0,M,25.0
2026-09-11_is-the-4b-DD-CAP-the-CADENCE-DIAL-in-disguise_cloud.grid.csv,U56,BAND03,1.0,M,50.0
2026-09-11_is-the-4b-DD-CAP-the-CADENCE-DIAL-in-disguise_cloud.grid.csv,B136,BAND03,1.0,W,10.0
