shape_stat,kind,claim_set,n,n_unstable,bal_acc,bal_acc_trthr,auc,insample
SKEW,shape,ALL,146,26,0.5,0.5496794871794872,0.47852564102564105,0.5
SKEW,shape,HEADLINE,22,7,0.4666666666666667,0.3476190476190476,0.26666666666666666,0.5
SKEW,shape,HEADLINE_RAW,30,8,0.5,0.48863636363636365,0.4147727272727273,0.5
SKEW,shape,COST,86,20,0.5,0.5037878787878788,0.3893939393939394,0.5
SKEW,shape,WINDOW,60,6,0.5,0.7222222222222223,0.6512345679012346,0.5
SKEW,shape,NEARABLE,69,18,0.5,0.41013071895424835,0.3779956427015251,0.5
EXKURT,shape,ALL,146,26,0.49583333333333335,0.5631410256410256,0.4551282051282051,0.5
EXKURT,shape,HEADLINE,22,7,0.4714285714285714,0.5571428571428572,0.5904761904761905,0.6095238095238096
EXKURT,shape,HEADLINE_RAW,30,8,0.5170454545454546,0.6988636363636364,0.6647727272727273,0.6022727272727273
EXKURT,shape,COST,86,20,0.5272727272727273,0.6962121212121213,0.49393939393939396,0.5
EXKURT,shape,WINDOW,60,6,0.5,0.5555555555555556,0.25617283950617287,0.5
EXKURT,shape,NEARABLE,69,18,0.46078431372549017,0.7369281045751634,0.5043572984749455,0.5163398692810457
NEAR,shape,ALL,72,18,0.5,0.6111111111111112,0.4058641975308642,0.5
NEAR,shape,HEADLINE,19,6,0.46153846153846156,0.5705128205128205,0.5,0.46153846153846156
NEAR,shape,HEADLINE_RAW,24,7,0.47058823529411764,0.5462184873949579,0.5042016806722689,0.5
NEAR,shape,COST,72,18,0.5,0.6111111111111112,0.4058641975308642,0.5
NEAR,shape,WINDOW,0,0,,,,
NEAR,shape,NEARABLE,72,18,0.5,0.6111111111111112,0.4058641975308642,0.5
SKEW+EXKURT,shape,ALL,146,26,0.5,0.5673076923076923,0.46025641025641023,0.5
SKEW+EXKURT,shape,HEADLINE,22,7,0.4714285714285714,0.6238095238095238,0.5714285714285714,0.6095238095238096
SKEW+EXKURT,shape,HEADLINE_RAW,30,8,0.5170454545454546,0.6988636363636364,0.6534090909090909,0.6022727272727273
SKEW+EXKURT,shape,COST,86,20,0.49242424242424243,0.6151515151515151,0.46515151515151515,0.5
SKEW+EXKURT,shape,WINDOW,60,6,0.5,0.7222222222222223,0.6419753086419753,0.5
SKEW+EXKURT,shape,NEARABLE,69,18,0.46078431372549017,0.6274509803921569,0.5947712418300654,0.5359477124183006
SKEW+EXKURT+NEAR,shape,ALL,69,18,0.553921568627451,0.7401960784313726,0.5718954248366013,0.6748366013071896
SKEW+EXKURT+NEAR,shape,HEADLINE,18,6,0.6666666666666667,0.7916666666666667,0.7222222222222222,0.6666666666666667
SKEW+EXKURT+NEAR,shape,HEADLINE_RAW,23,7,0.6205357142857143,0.7321428571428572,0.6785714285714286,0.6517857142857143
SKEW+EXKURT+NEAR,shape,COST,69,18,0.553921568627451,0.7401960784313726,0.5718954248366013,0.6748366013071896
SKEW+EXKURT+NEAR,shape,WINDOW,0,0,,,,
SKEW+EXKURT+NEAR,shape,NEARABLE,69,18,0.553921568627451,0.7401960784313726,0.5718954248366013,0.6748366013071896
LAMBDA,shape,ALL,146,26,0.5,0.5173076923076922,0.4439102564102564,0.5
LAMBDA,shape,HEADLINE,22,7,0.4666666666666667,0.4238095238095238,0.3142857142857143,0.5
LAMBDA,shape,HEADLINE_RAW,30,8,0.4772727272727273,0.5284090909090909,0.4715909090909091,0.5
