conv,lag,cost_bps,n,pass4b,pass4a
EW,1,0.0,17,3,0
EW,1,5.0,17,3,0
EW,1,10.0,17,2,0
EW,1,15.0,17,2,0
EW,1,20.0,17,2,0
EW,1,25.0,17,2,0
EW,1,50.0,17,1,0
EW,2,0.0,17,3,0
EW,2,5.0,17,3,0
EW,2,10.0,17,2,0
EW,2,15.0,17,2,0
EW,2,20.0,17,2,0
EW,2,25.0,17,2,0
EW,2,50.0,17,1,0
EW,3,0.0,17,3,0
EW,3,5.0,17,3,0
EW,3,10.0,17,2,0
EW,3,15.0,17,2,0
EW,3,20.0,17,2,0
EW,3,25.0,17,2,0
EW,3,50.0,17,1,0
NAV,1,0.0,17,3,0
NAV,1,5.0,17,3,0
NAV,1,10.0,17,2,0
NAV,1,15.0,17,2,0
NAV,1,20.0,17,2,0
NAV,1,25.0,17,2,0
NAV,1,50.0,17,1,0
NAV,2,0.0,17,3,0
NAV,2,5.0,17,3,0
NAV,2,10.0,17,2,0
NAV,2,15.0,17,2,0
NAV,2,20.0,17,2,0
NAV,2,25.0,17,2,0
NAV,2,50.0,17,1,0
NAV,3,0.0,17,3,0
NAV,3,5.0,17,3,0
NAV,3,10.0,17,2,0
NAV,3,15.0,17,2,0
NAV,3,20.0,17,2,0
NAV,3,25.0,17,2,0
NAV,3,50.0,17,1,0
