side,family,base,sel,empty,q,w,depth,cadence,gross,isCAGR,isSharpe,isMaxDD,oCAGR,oSharpe,oMaxDD,beat_base,beat_spy,oos_dd_ok,oos_cagr_ok,pass4b,pass4a,fail4b
HI,CORR,EWALL,S1,False,0.07,1008,1.0,W,1.0,0.13115689138958886,1.0563768294296598,-0.15489549784191248,0.12408005202357542,1.0159718610845176,-0.22929564912665923,False,True,False,True,False,False,DD
HI,CORR,EWALL,S2,False,0.07,1008,1.0,W,0.75,0.09833733889290341,1.055984440070794,-0.11753652723941399,0.09318076042666568,1.0156731291289505,-0.17631590640022032,False,True,True,False,False,False,CAGR
HI,CORR,RULESv2,S1,False,0.17,2016,1.0,W,1.0,0.10402781670861283,1.1575471591597506,-0.10593266908889953,0.09336823193151389,1.08173375854832,-0.12399469916031958,False,True,True,False,False,False,CAGR
HI,CORR,RULESv2,S2,False,0.17,2016,1.0,W,1.0,0.10402781670861283,1.1575471591597506,-0.10593266908889953,0.09336823193151389,1.08173375854832,-0.12399469916031958,False,True,True,False,False,False,CAGR
HI,CORR,TOP20,S1,False,0.17,1008,1.0,D,1.0,0.16362450953865793,1.1898113673774644,-0.19007269855044162,0.22072843230602834,1.4715777475464298,-0.12944714096324983,True,True,True,True,True,False,-
HI,CORR,TOP20,S2,False,0.17,504,0.5,D,1.0,0.16411901365088677,1.1789601044252023,-0.1309067962226581,0.2196635733219381,1.4067322576314512,-0.19848469902525967,True,True,True,True,True,False,-
HI,NAMEVOL,EWALL,S1,False,0.17,504,0.25,W,1.0,0.1202277735981856,0.9846875081541104,-0.13539931464923993,0.14426528046723752,1.1429135691722712,-0.18725287498826448,False,True,True,True,True,False,-
HI,NAMEVOL,EWALL,S2,False,0.12,504,0.5,W,1.0,0.11771862174891679,0.9823600686244605,-0.12410610859140392,0.14476159865691418,1.1908396390323792,-0.16760853379245388,False,True,True,True,True,False,-
HI,NAMEVOL,RULESv2,S1,False,0.07,2016,0.25,D,1.0,0.10178876602572795,1.1097525031107602,-0.10431295904293847,0.12203961092175675,1.2718720944081479,-0.14051266827900666,False,True,True,True,True,False,-
HI,NAMEVOL,RULESv2,S2,False,0.07,2016,0.25,D,1.0,0.10178876602572795,1.1097525031107602,-0.10431295904293847,0.12203961092175675,1.2718720944081479,-0.14051266827900666,False,True,True,True,True,False,-
