panel,kind,q,k,draw,arm,n,Ebar,breadth,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,spy_S,spy_CAGR,spy_DD,spy_H1,spy_H2,spy_OOS_S,v2_S,v2_H1,v2_H2,v2_DD,v2_OOS_S,pass4a,pass4b,is525
q0.00_k40_d0,ladder,0.0,40,0,CAND5,5.0,26.3971119133574,0.659927797833935,0.10121508613725494,0.6736173376397526,-0.29025920537554883,0.8852406505128273,0.5241579997369782,0.10624303391583534,0.6563368723709287,-0.2902592053755497,0.7284016643182452,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.9919513411853971,1.1494555370125665,0.842373052574152,-0.12842375409608398,0.9995379785750428,False,False,True
q0.00_k40_d0,ladder,0.0,40,0,CAND10,10.0,26.3971119133574,0.659927797833935,0.10788769666735254,0.8168247321511759,-0.21012011594014401,1.052881437207413,0.629539485763897,0.11205503743940204,0.7983784129765074,-0.21012011594014413,0.864116502086441,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.9919513411853971,1.1494555370125665,0.842373052574152,-0.12842375409608398,0.9995379785750428,False,False,True
q0.00_k40_d0,ladder,0.0,40,0,CAND15,15.0,26.3971119133574,0.659927797833935,0.10664616500296331,0.8803849929548657,-0.21012491887834528,1.089764844656067,0.7069767457943015,0.11488712759148667,0.8982965385048497,-0.21012491887834517,0.8530150080972622,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.9919513411853971,1.1494555370125665,0.842373052574152,-0.12842375409608398,0.9995379785750428,False,False,True
q0.00_k40_d0,ladder,0.0,40,0,CAND20,20.0,26.3971119133574,0.659927797833935,0.10274792600697658,0.930411200390509,-0.19077883750837166,1.1073894251174166,0.7756793919330959,0.10872349805435211,0.9429747126031802,-0.19077883750837177,0.9114383785914213,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.9919513411853971,1.1494555370125665,0.842373052574152,-0.12842375409608398,0.9995379785750428,False,False,True
q0.00_k40_d0,ladder,0.0,40,0,CAND30,30.0,26.3971119133574,0.659927797833935,0.08616752082348555,0.9527119076552146,-0.15770859550651029,1.1368961828407607,0.7783920690325024,0.08744854512004085,0.9476033605631112,-0.15770859550651062,0.9621191455182143,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.9919513411853971,1.1494555370125665,0.842373052574152,-0.12842375409608398,0.9995379785750428,False,False,True
q0.00_k40_d0,ladder,0.0,40,0,EWall,,26.3971119133574,0.659927797833935,0.10888808080020929,0.9294780175084255,-0.27623208189535486,1.159023791985916,0.751694510950063,0.10974338801651151,0.895316036326514,-0.27623208189535464,0.9999850323097773,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.9919513411853971,1.1494555370125665,0.842373052574152,-0.12842375409608398,0.9995379785750428,False,False,True
q0.00_k40_d1,ladder,0.0,40,1,CAND5,5.0,27.252707581227437,0.6813176895306858,0.13535798582578296,0.8456053905433464,-0.2418152306166702,1.013174169973145,0.697485907359375,0.11494087987437696,0.7286634529800664,-0.24181523061667043,1.042768022049918,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0804455184871757,1.175107995457244,0.9912886855146763,-0.12068066971756808,1.0701292582095738,False,False,True
q0.00_k40_d1,ladder,0.0,40,1,CAND10,10.0,27.252707581227437,0.6813176895306858,0.13788153335082365,1.0027620393598593,-0.20522562706847491,1.1393141046778676,0.8762524936672491,0.1265392447758793,0.9237032834888519,-0.20522562706847325,1.1337313142787162,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0804455184871757,1.175107995457244,0.9912886855146763,-0.12068066971756808,1.0701292582095738,False,False,True
q0.00_k40_d1,ladder,0.0,40,1,CAND15,15.0,27.252707581227437,0.6813176895306858,0.12495580701368425,1.0085812680107913,-0.18689304313083954,1.1633985980528536,0.8623217882427153,0.1203132768803783,0.9683637988109797,-0.18689304313083832,1.0750524368006327,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0804455184871757,1.175107995457244,0.9912886855146763,-0.12068066971756808,1.0701292582095738,False,True,True
q0.00_k40_d1,ladder,0.0,40,1,CAND20,20.0,27.252707581227437,0.6813176895306858,0.11290736871234697,0.9883497449265244,-0.1771268005713219,1.142461908701775,0.8442588543447882,0.11236922372775582,0.9717004074497952,-0.1771268005713218,1.0165406972584916,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0804455184871757,1.175107995457244,0.9912886855146763,-0.12068066971756808,1.0701292582095738,False,True,True
q0.00_k40_d1,ladder,0.0,40,1,CAND30,30.0,27.252707581227437,0.6813176895306858,0.09768264290245043,1.0157854246132794,-0.14636890248134138,1.099014323826341,0.9358709644406265,0.10217385809708968,1.0485268468079485,-0.14636890248134138,0.9611527406245998,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0804455184871757,1.175107995457244,0.9912886855146763,-0.12068066971756808,1.0701292582095738,False,False,True
q0.00_k40_d1,ladder,0.0,40,1,EWall,,27.252707581227437,0.6813176895306858,0.11452390183689154,0.9363474017682867,-0.27153448655923573,1.1361629506353694,0.779612118245068,0.11292226934712613,0.8920333122343591,-0.2715344865592352,1.02118418644283,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0804455184871757,1.175107995457244,0.9912886855146763,-0.12068066971756808,1.0701292582095738,False,False,True
q0.00_k40_d2,ladder,0.0,40,2,CAND5,5.0,27.607701564380264,0.6901925391095067,0.15433453123323404,0.9068446581339078,-0.21005723416300848,1.0592690937039615,0.8046651169787681,0.15916048711743724,0.8774164234589006,-0.21005723416300837,0.9812230435929721,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0743720123052785,1.2070527360048182,0.9580818006026598,-0.14160888361572144,1.0696345099544655,False,False,True
q0.00_k40_d2,ladder,0.0,40,2,CAND10,10.0,27.607701564380264,0.6901925391095067,0.1436286129605986,0.9888959608932553,-0.21364538984174275,1.0752814713940346,0.9261389074136294,0.15252261344961915,0.9936348758710644,-0.21364538984174264,0.9879591765935534,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0743720123052785,1.2070527360048182,0.9580818006026598,-0.14160888361572144,1.0696345099544655,False,False,True
q0.00_k40_d2,ladder,0.0,40,2,CAND15,15.0,27.607701564380264,0.6901925391095067,0.12105870511621819,0.9376088694808083,-0.2156685739992421,1.0932442638834914,0.8116854330440288,0.12709691982881455,0.9372936018111937,-0.21566857399924189,0.9442215483429397,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0743720123052785,1.2070527360048182,0.9580818006026598,-0.14160888361572144,1.0696345099544655,False,False,True
