panel,cadence,kind,L_H1,L_H2,L_OOS,L_DD,L_CAGR,pass4b,pass_no_OOS,med_turn,med_OOS_Sharpe
B136,M,RANDFIX,0.96,0.888,0.944,0.196,0.772,0.148,0.148,4.0979751047388655,1.0260504802233696
B136,M,RANDROT,0.748,0.584,0.72,0.14,0.364,0.036,0.036,14.468674469997143,0.9288999770175623
B136,M,RANDROT_FREE,0.868,0.628,0.716,0.004,0.948,0.004,0.004,15.445366696754164,0.9327038077418879
B136,Q,RANDFIX,0.996,0.544,0.708,0.024,0.732,0.016,0.016,2.103993803850314,0.9321447088908779
B136,Q,RANDROT,0.984,0.44,0.624,0.024,0.652,0.024,0.024,4.963779734837752,0.9067468310833
B136,Q,RANDROT_FREE,0.956,0.86,0.896,0.016,0.996,0.016,0.016,5.152450054707064,1.025076054171333
B136,W,RANDFIX,0.928,0.596,0.824,0.916,0.448,0.36,0.36,9.360154871910343,0.9523613738233548
B136,W,RANDROT,0.0,0.0,0.0,0.684,0.0,0.0,0.0,60.4736978238711,0.4977042035640486
B136,W,RANDROT_FREE,0.0,0.0,0.0,0.004,0.0,0.0,0.0,66.81340625556079,0.5313211046805016
U56,M,RANDFIX,0.948,1.0,1.0,1.0,0.86,0.836,0.836,3.8961354552751235,1.185091492759934
U56,M,RANDROT,0.904,0.996,1.0,1.0,0.804,0.76,0.76,9.926002899622862,1.1301865742076906
U56,M,RANDROT_FREE,0.8,0.864,0.892,0.084,0.904,0.068,0.068,11.930186618725454,1.0118632137124215
U56,Q,RANDFIX,0.992,0.888,0.94,0.156,0.816,0.112,0.112,2.008011669470319,0.9986195402184447
U56,Q,RANDROT,1.0,0.888,0.94,0.18,0.884,0.16,0.16,3.6871420369662045,0.98994123104997
U56,Q,RANDROT_FREE,0.924,0.944,0.968,0.184,0.988,0.168,0.168,4.066923276767854,1.0865742017634448
U56,W,RANDFIX,0.776,0.976,0.996,1.0,0.352,0.344,0.344,9.03605053357276,1.0632865171861166
U56,W,RANDROT,0.0,0.048,0.048,1.0,0.0,0.0,0.0,38.69772411215603,0.7588573317315565
U56,W,RANDROT_FREE,0.008,0.028,0.028,0.032,0.004,0.0,0.0,51.29198109640842,0.6567324529950065
