book,panel,family,mode,theta,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,PASS_IS_4b,PASS_OOS_4b,PASS_IS_4a,PASS_OOS_4a,IS_4b_legs,mono_dd,mono_cg,gmin@0.25,gmax@0.25,W@0.25,state@0.25,gmin@0.10,gmax@0.10,W@0.10,state@0.10,gmin@0.05,gmax@0.05,W@0.05,state@0.05
U56|TREND|ROW|0.00,U56,TREND,ROW,0.0,0.07609485171306529,1.1042715618213594,-0.0788718418803599,0.09464348447629689,1.2771844071673888,-0.12054947951644879,False,False,False,False,C,True,True,1.0301350413021897,1.2752294882799056,0.24509444697771587,interp/interp,1.030137731120219,1.2752683389155963,0.24513060779537743,interp/interp,1.0301398989984563,1.2752353881168708,0.2450954891184145,interp/interp
U56|TREND|ROW|0.20,U56,TREND,ROW,0.2,0.07609485171306529,1.1042715618213594,-0.0788718418803599,0.09464348447629689,1.2771844071673888,-0.12054947951644879,False,False,False,False,C,True,True,1.0301350413021897,1.2752294882799056,0.24509444697771587,interp/interp,1.030137731120219,1.2752683389155963,0.24513060779537743,interp/interp,1.0301398989984563,1.2752353881168708,0.2450954891184145,interp/interp
U56|TREND|ROW|0.40,U56,TREND,ROW,0.4,0.07609485171306529,1.1042715618213594,-0.0788718418803599,0.09464348447629689,1.2771844071673888,-0.12054947951644879,False,False,False,False,C,True,True,1.0301350413021897,1.2752294882799056,0.24509444697771587,interp/interp,1.030137731120219,1.2752683389155963,0.24513060779537743,interp/interp,1.0301398989984563,1.2752353881168708,0.2450954891184145,interp/interp
U56|TREND|ROW|0.60,U56,TREND,ROW,0.6,0.07609485171306529,1.1042715618213594,-0.0788718418803599,0.09464348447629689,1.2771844071673888,-0.12054947951644879,False,False,False,False,C,True,True,1.0301350413021897,1.2752294882799056,0.24509444697771587,interp/interp,1.030137731120219,1.2752683389155963,0.24513060779537743,interp/interp,1.0301398989984563,1.2752353881168708,0.2450954891184145,interp/interp
U56|TREND|ROW|0.80,U56,TREND,ROW,0.8,0.07609485171306529,1.1042715618213594,-0.0788718418803599,0.09464348447629689,1.2771844071673888,-0.12054947951644879,False,False,False,False,C,True,True,1.0301350413021897,1.2752294882799056,0.24509444697771587,interp/interp,1.030137731120219,1.2752683389155963,0.24513060779537743,interp/interp,1.0301398989984563,1.2752353881168708,0.2450954891184145,interp/interp
U56|TREND|AGG|0.00,U56,TREND,AGG,0.0,0.12609204770068705,1.1099760419372977,-0.12567791032443032,0.13701664432325344,1.128103058486071,-0.22525880022924205,True,False,False,False,-,True,True,0.6237688661027478,0.7927915892218501,0.16902272311910227,interp/interp,0.6239101303430462,0.7922370920532944,0.1683269617102482,interp/interp,0.6239215892506833,0.7922103231201212,0.16828873386943788,interp/interp
U56|TREND|AGG|0.20,U56,TREND,AGG,0.2,0.12095841195022139,1.1438160100327244,-0.11950116077672102,0.12298031881009464,1.0756008346911132,-0.22525880022924205,True,False,False,False,-,True,True,0.6501771801349395,0.8334302227674342,0.18325304263249464,interp/interp,0.6503525627130332,0.8330221175105554,0.18266955479752223,interp/interp,0.6503864124607187,0.8329647068463341,0.18257829438561535,interp/interp
U56|TREND|AGG|0.40,U56,TREND,AGG,0.4,0.0824805236749564,0.9139360668478884,-0.16750161862557478,0.11713996207145594,1.2013629167546511,-0.17986596832459212,False,True,False,False,HDC,True,True,0.9554474248743049,0.584351005033416,-0.3710964198408889,interp/interp,0.9552915939257721,0.5830848637598094,-0.37220673016596273,interp/interp,0.9552356768427687,0.5829977518016146,-0.37223792504115405,interp/interp
U56|TREND|AGG|0.60,U56,TREND,AGG,0.6,0.08313648794624484,1.0606951976199717,-0.08908863439497117,0.09320003422301437,1.0717501381055927,-0.17986596832459234,False,False,False,False,C,True,True,0.9441873496458318,1.1178266735612021,0.1736393239153703,interp/interp,0.9441680314872226,1.1176657662886733,0.1734977348014507,interp/interp,0.9441603955406391,1.1176555065728238,0.17349511103218462,interp/interp
U56|TREND|AGG|0.80,U56,TREND,AGG,0.8,0.016307837050066887,0.31273233756069435,-0.1282169378235707,0.04596142436150008,0.7882669422937262,-0.12849273541492323,False,False,False,False,HHC,True,True,,0.7759712177342025,-0.7240287822657975,none/interp,,0.7757088271890634,-0.7242911728109366,none/interp,,0.7756279632636973,-0.7243720367363027,none/interp
