chooser,STEP,k,cost_bps,CAGR,Sharpe,MaxDD,H1,H2
WIDTH,0.05,5,0.0,0.10903387646219276,1.1713891473067846,-0.1403926910529929,1.372687282405816,0.934571636222208
WIDTH,0.05,5,10.0,0.10579601937303651,1.1397648794692135,-0.14094937728947698,1.3485973930407043,0.8928939157825264
WIDTH,0.05,5,25.0,0.10095605279881248,1.092211588800306,-0.14178427182510878,1.3123705769053546,0.830242011619248
WIDTH@75,0.05,5,0.0,0.0816075110339145,1.172717972158815,-0.10614108440599246,1.3753422427868456,0.9343380736585354
WIDTH@75,0.05,5,10.0,0.0792299656864619,1.140962666312502,-0.10656887530834636,1.3511044809979187,0.8925633941869191
WIDTH@75,0.05,5,25.0,0.07567295096452598,1.0932127614276326,-0.10721048388952481,1.3146559745777389,0.8297659602698261
PASS,0.05,5,0.0,0.12103213680630653,1.1168334325506222,-0.19022010567033498,1.2809227036778206,0.9447240993606262
PASS,0.05,5,10.0,0.11944771088138117,1.1036939112841728,-0.19029776791319264,1.2692837127103629,0.9299846401317686
PASS,0.05,5,25.0,0.11707498804831751,1.0839612359029578,-0.19041425286747837,1.251798930526982,0.9078534896839627
ISSHARPE,0.05,5,0.0,0.11644077840568601,1.170758691430368,-0.1705925733028849,1.347855647883937,0.980226998754963
ISSHARPE,0.05,5,10.0,0.11469347684139253,1.1549229739958893,-0.17077445076994602,1.3349185364565344,0.9612079401412226
ISSHARPE,0.05,5,25.0,0.11207730808663507,1.131128789882646,-0.1710472426311982,1.3154758274354503,0.9326345340664269
