cadence,cost,n,n_pass4b,rho_spearman,rho_pearson,mean_base_pass,mean_base_fail,mean_base,max_base,cells_above_bar,outside_null,mean_turn
W,0.0,30,7,0.6568921797540405,0.7072174205212358,0.5888571428571429,0.07417391304347826,0.19426666666666667,1.0,12,1,16.081589260901513
W,5.0,30,7,0.46387245746418304,0.5107535671060793,0.07285714285714286,0.005043478260869565,0.020866666666666665,0.234,4,4,16.081589260901513
W,10.0,30,4,-0.07283570407292297,-0.07283570407292297,0.0,0.0003846153846153846,0.0003333333333333333,0.01,0,4,16.081589260901513
W,25.0,30,2,,,0.0,0.0,0.0,0.0,0,2,16.081589260901513
2W,0.0,30,7,0.4418041960712859,0.4743052927366524,0.5154285714285715,0.1359130434782609,0.2244666666666667,1.0,12,2,11.114866400011174
2W,5.0,30,7,0.49145266781598584,0.4292237815755618,0.3171428571428571,0.05930434782608696,0.11946666666666665,0.96,10,2,11.114866400011174
2W,10.0,30,7,0.45332990161272435,0.31415044616494264,0.10114285714285713,0.020782608695652172,0.03953333333333333,0.444,4,4,11.114866400011174
2W,25.0,30,2,-0.07142857142857144,-0.07142857142857134,0.0,0.00014285714285714287,0.00013333333333333334,0.002,0,2,11.114866400011174
M,0.0,30,3,0.40451176824211216,0.4216105882893237,0.35800000000000004,0.06051851851851851,0.09026666666666666,0.958,8,1,7.274145074122183
M,5.0,30,3,0.4116084659305703,0.46656364169848663,0.2853333333333334,0.04,0.06453333333333335,0.758,8,1,7.274145074122183
M,10.0,30,3,0.4469704124501656,0.5214646057522181,0.15733333333333335,0.020814814814814817,0.034466666666666666,0.384,5,1,7.274145074122183
M,25.0,30,3,0.45967611231717886,0.6383919231797937,0.016,0.0005185185185185185,0.0020666666666666667,0.04,0,3,7.274145074122183
Q,0.0,30,0,,,,0.017066666666666667,0.017066666666666667,0.174,4,0,3.5480905616384804
Q,5.0,30,0,,,,0.015000000000000003,0.015000000000000003,0.158,4,0,3.5480905616384804
Q,10.0,30,0,,,,0.0124,0.0124,0.134,4,0,3.5480905616384804
Q,25.0,30,0,,,,0.006533333333333334,0.006533333333333334,0.076,2,0,3.5480905616384804
