panel,book,gross,cost,claims,M_base,W_base,turn
U56,EWELIG,0.75,10.0,20,0.055,0.0075,3.6392903237231984
U56,EWELIG,0.75,25.0,19,0.03,0.0,3.6392903237231984
U56,EWELIG,0.75,0.0,18,0.07,0.08,3.6392903237231984
U56,EWELIG,0.75,5.0,18,0.0575,0.0425,3.6392903237231984
U56,TOP20,0.75,10.0,17,0.4425,0.0,4.325825386050146
U56,TOP20,0.75,0.0,17,0.9425,0.7125,4.325825386050146
U56,TOP20,0.75,25.0,17,0.005,0.0,4.325825386050146
U56,TOP20,0.75,5.0,16,0.77,0.0025,4.325825386050146
U56,TOP20,0.75,50.0,15,0.0,0.0,4.325825386050146
B136,TOP20,0.75,25.0,14,0.0,0.0,6.299782732017368
B136,TOP20,0.75,10.0,14,0.0425,0.0,6.299782732017368
B136,TOP20,0.75,5.0,14,0.11,0.0,6.299782732017368
B136,TOP20,0.75,0.0,14,0.1575,0.815,6.299782732017368
B136,EWELIG,0.75,50.0,14,0.0,0.0,3.766140051466548
B136,EWELIG,0.75,25.0,14,0.0,0.0,3.766140051466548
B136,EWELIG,0.75,10.0,14,0.0,0.0025,3.766140051466548
B136,EWELIG,0.75,5.0,14,0.0,0.0075,3.766140051466548
B136,EWELIG,0.75,0.0,14,0.0,0.01,3.766140051466548
B136,TOP20,0.75,50.0,14,0.0,0.0,6.299782732017368
U56,EWELIG,0.75,50.0,14,0.0025,0.0,3.6392903237231984
U56,BAND03,1.0,0.0,3,0.06,0.9625,1.6421264032421914
U56,BAND03,1.0,10.0,3,0.055,0.0,1.6421264032421914
U56,BAND03,1.0,25.0,3,0.035,0.0,1.6421264032421914
U56,BAND03,1.0,5.0,2,0.0575,0.215,1.6421264032421914
U56,BAND03,1.0,50.0,1,0.0,0.0,1.6421264032421914
