panel,subwin,arm,mean_gross_frac,min_gross_frac
U56,ISH1_HALF,CAND20,1.0003123160264444,0.9827122527372468
U56,ISH1_HALF,EWELIG,1.000266685363121,0.9837338356695223
U56,ISH1_HALF,CAND20_NG,1.0003546044742373,0.9827575010161227
U56,ISH1_HALF,EWALL,1.0003000178150214,0.983704281600782
U56,ISH1_HALF,BAND03,0.6846112253754351,0.1184362065138805
U56,ISH2_HALF,CAND20,1.0002620589913849,0.9836634491765565
U56,ISH2_HALF,EWELIG,1.00018526888273,0.9840784974650006
U56,ISH2_HALF,CAND20_NG,1.000326620481269,0.9836634491765565
U56,ISH2_HALF,EWALL,1.0001939214175075,0.9885605540837646
U56,ISH2_HALF,BAND03,0.722789682620896,0.2736442761732238
U56,CAL0912,CAND20,1.0002911942307686,0.9827122527372468
U56,CAL0912,EWELIG,1.0002504699765897,0.9837338356695223
U56,CAL0912,CAND20_NG,1.0003322314947651,0.9827575010161227
U56,CAL0912,EWALL,1.000281419990362,0.983704281600782
U56,CAL0912,BAND03,0.684458010544159,0.1184362065138805
U56,CAL0910,CAND20,1.0006230462360468,0.9827122527372468
U56,CAL0910,EWELIG,1.0005453982121884,0.9837338356695223
U56,CAL0910,CAND20_NG,1.0006412724889306,0.9827575010161227
U56,CAL0910,EWALL,1.0005003996133872,0.986000750025339
U56,CAL0910,BAND03,0.6577264431004671,0.1184362065138805
U56,CAL1112,CAND20,0.9999626475243478,0.9839682586443238
U56,CAL1112,EWELIG,0.999958479273218,0.9857721571017799
U56,CAL1112,CAND20_NG,1.0000262685981507,0.9839682586443238
U56,CAL1112,EWALL,1.0000646214392794,0.983704281600782
U56,CAL1112,BAND03,0.7109233273161008,0.2482076466661737
U56,CAL1316,CAND20,1.0002831916322779,0.9836634491765565
U56,CAL1316,EWELIG,1.0002016625702959,0.9840784974650006
U56,CAL1316,CAND20_NG,1.0003489047495873,0.9836634491765565
U56,CAL1316,EWALL,1.0002127742076115,0.9885605540837646
U56,CAL1316,BAND03,0.722790027648141,0.2736442761732238
U56,Y2009,CAND20,1.000633957887447,0.9837338356695223
U56,Y2009,EWELIG,1.0005540458610869,0.9837338356695223
U56,Y2009,CAND20_NG,1.0006290176561266,0.9873553621039637
U56,Y2009,EWALL,1.0004450984270237,0.986000750025339
U56,Y2009,BAND03,0.6010617731304732,0.1184362065138805
U56,Y2010,CAND20,1.0006124376860737,0.9827122527372468
U56,Y2010,EWELIG,1.0005369907757595,0.9875091529886814
U56,Y2010,CAND20_NG,1.0006531869097124,0.9827575010161227
U56,Y2010,EWALL,1.0005541646556848,0.987302778971277
U56,Y2010,BAND03,0.7128170944601834,0.2881431139131658
U56,Y2011,CAND20,0.9997954287866168,0.9839682586443238
U56,Y2011,EWELIG,0.9998579512316305,0.9857721571017799
U56,Y2011,CAND20_NG,0.9998992299407052,0.9839682586443238
U56,Y2011,EWALL,1.000008783802787,0.983704281600782
U56,Y2011,BAND03,0.6648418767530845,0.2482076466661737
U56,Y2012,CAND20,1.0001312040119805,0.9915313440245095
U56,Y2012,EWELIG,1.0000598115391386,0.992069847604489
U56,Y2012,CAND20_NG,1.0001543235648562,0.9915313440245095
U56,Y2012,EWALL,1.0001209057768639,0.9922001904039042
U56,Y2012,BAND03,0.7573734294836211,0.4615384615384615
U56,Y2013,CAND20,1.0002625770486373,0.988765168299306
U56,Y2013,EWELIG,1.0002023570645504,0.9920563135890275
U56,Y2013,CAND20_NG,1.000393365830101,0.988765168299306
U56,Y2013,EWALL,1.0002764623825469,0.992233702739517
U56,Y2013,BAND03,0.7720150221591795,0.6936420068357658
U56,Y2014,CAND20,1.0004367849199112,0.9930632803734737
U56,Y2014,EWELIG,1.0002877801837367,0.9948077654883299
U56,Y2014,CAND20_NG,1.0004663004021925,0.9923275592237181
U56,Y2014,EWALL,1.0002467900204608,0.9949632868832882
U56,Y2014,BAND03,0.8019156007795529,0.5094339622641509
U56,Y2015,CAND20,1.0001145149802466,0.9878219093010472
U56,Y2015,EWELIG,1.0000401501781144,0.9878219093010472
U56,Y2015,CAND20_NG,1.0001296811801668,0.9883264525535794
U56,Y2015,EWALL,0.9999684053703879,0.9889815566900603
U56,Y2015,BAND03,0.6077798691007166,0.3015516366424726
U56,Y2016,CAND20,1.0003188895803166,0.9836634491765565
U56,Y2016,EWELIG,1.000276362854782,0.9840784974650006
U56,Y2016,CAND20_NG,1.000406271585889,0.9836634491765565
U56,Y2016,EWALL,1.0003594390570496,0.9885605540837646
U56,Y2016,BAND03,0.7094496185531153,0.2736442761732238
B136,ISH1_HALF,CAND20,1.000478866208627,0.982865353301306
B136,ISH1_HALF,EWELIG,1.000295880039173,0.9843862309824476
B136,ISH1_HALF,CAND20_NG,1.0004857044390343,0.9831297839551221
B136,ISH1_HALF,EWALL,1.000355905309308,0.9832074999287209
B136,ISH1_HALF,BAND03,0.6895153692830754,0.05619594746407713
B136,ISH2_HALF,CAND20,1.000266940816733,0.986292373500547
B136,ISH2_HALF,EWELIG,1.0002246389483285,0.9863771153791565
B136,ISH2_HALF,CAND20_NG,1.000304738259142,0.986292373500547
B136,ISH2_HALF,EWALL,1.000214452801486,0.9874230816690274
B136,ISH2_HALF,BAND03,0.7415586257247299,0.25190839694656486
B136,CAL0912,CAND20,1.0004545053194838,0.982865353301306
B136,CAL0912,EWELIG,1.0002756589657325,0.9843862309824476
B136,CAL0912,CAND20_NG,1.0004609100588067,0.9831297839551221
B136,CAL0912,EWALL,1.0003347278834074,0.9832074999287209
B136,CAL0912,BAND03,0.6893756899507607,0.05619594746407713
B136,CAL0910,CAND20,1.0007223245686252,0.982865353301306
B136,CAL0910,EWELIG,1.0005178768117176,0.9843862309824476
B136,CAL0910,CAND20_NG,1.0007098241426327,0.9831297839551221
B136,CAL0910,EWALL,1.0005450038616315,0.9841864290923975
B136,CAL0910,BAND03,0.651425375184014,0.05619594746407713
B136,CAL1112,CAND20,1.0001893535927442,0.9862589909883522
B136,CAL1112,EWELIG,1.0000358536480938,0.9845873701006912
B136,CAL1112,CAND20_NG,1.0002144751989228,0.9853571755622076
B136,CAL1112,EWALL,1.0001265462874365,0.9832074999287209
B136,CAL1112,BAND03,0.7269480135345714,0.21186607374792013
B136,CAL1316,CAND20,1.0002919251717146,0.986292373500547
B136,CAL1316,EWELIG,1.0002449621792118,0.9863771153791565
B136,CAL1316,CAND20_NG,1.0003300293807362,0.986292373500547
B136,CAL1316,EWALL,1.0002360024627024,0.9874230816690274
B136,CAL1316,BAND03,0.7414905370612535,0.25190839694656486
B136,Y2009,CAND20,1.0007167045541658,0.9840072917351205
B136,Y2009,EWELIG,1.0004752292453118,0.9843862309824476
B136,Y2009,CAND20_NG,1.0006780979287184,0.9846031623831918
B136,Y2009,EWALL,1.0005316558775383,0.9841864290923975
B136,Y2009,BAND03,0.5901464460084846,0.05619594746407713
B136,Y2010,CAND20,1.0007277884715717,0.982865353301306
B136,Y2010,EWELIG,1.0005593397235006,0.9868425122799596
B136,Y2010,CAND20_NG,1.0007406690728269,0.9831297839551221
B136,Y2010,EWALL,1.000557981068389,0.9871622216704062
B136,Y2010,BAND03,0.7110021118824453,0.31200000000000006
B136,Y2011,CAND20,0.9999825454844418,0.9862589909883522
B136,Y2011,EWELIG,0.9999647045311134,0.9845873701006912
B136,Y2011,CAND20_NG,1.000040271425166,0.9853571755622076
B136,Y2011,EWALL,1.000058564947779,0.9832074999287209
B136,Y2011,BAND03,0.6781547972300735,0.21186607374792013
B136,Y2012,CAND20,1.0003978161659128,0.989646117037831
B136,Y2012,EWELIG,1.0001075719580104,0.9917199439318917
B136,Y2012,CAND20_NG,1.00039007260287,0.989646117037831
B136,Y2012,EWALL,1.0001950714778114,0.9914635364545442
B136,Y2012,BAND03,0.7761315755695054,0.536
B136,Y2013,CAND20,1.0002367646387353,0.9874086463347026
B136,Y2013,EWELIG,1.0002654863991742,0.992725892924501
B136,Y2013,CAND20_NG,1.000318218640338,0.9874086463347026
B136,Y2013,EWALL,1.000285624739876,0.992536969508992
B136,Y2013,BAND03,0.8326437359997413,0.7075727252313775
