claim_set,base,q,reading,n,n_moves,ESCAPABLE,INDUCED,ROBUST,DEAD,mv_ESCAPABLE,mv_INDUCED,mv_ROBUST,mv_DEAD,escape_share_of_movers
CS_CELL,11311131,0.8,ALL,2571,1445,640,0,236,1695,640,0,164,641,0.4429065743944637
CS_CELL,11311131,0.8,ANY,2571,1445,675,0,341,1555,675,0,234,536,0.4671280276816609
CS_CELL,11311131,0.9,ALL,2571,1445,822,0,853,896,822,0,623,0,0.5688581314878892
CS_CELL,11311131,0.9,ANY,2571,1445,742,0,983,846,742,0,703,0,0.5134948096885813
CS_CELL,11311131,0.95,ALL,2571,1445,448,0,1625,498,448,0,997,0,0.31003460207612454
CS_CELL,11311131,0.95,ANY,2571,1445,398,0,1780,393,398,0,1047,0,0.2754325259515571
CS_CELL,11171117,0.8,ALL,2571,1445,567,0,164,1840,567,0,164,714,0.3923875432525952
CS_CELL,11171117,0.8,ANY,2571,1445,567,0,234,1770,567,0,234,644,0.3923875432525952
CS_CELL,11171117,0.9,ALL,2571,1445,722,0,830,1019,722,0,623,100,0.4996539792387543
CS_CELL,11171117,0.9,ANY,2571,1445,677,0,1000,894,677,0,703,65,0.4685121107266436
CS_CELL,11171117,0.95,ALL,2571,1445,478,0,1521,572,478,0,967,0,0.33079584775086507
CS_CELL,11171117,0.95,ANY,2571,1445,373,0,1736,462,373,0,1072,0,0.25813148788927337
CS_CELL,11161116,0.8,ALL,2571,1445,567,0,164,1840,567,0,164,714,0.3923875432525952
CS_CELL,11161116,0.8,ANY,2571,1445,567,0,234,1770,567,0,234,644,0.3923875432525952
CS_CELL,11161116,0.9,ALL,2571,1445,801,0,748,1022,801,0,541,103,0.554325259515571
CS_CELL,11161116,0.9,ANY,2571,1445,776,0,898,897,776,0,601,68,0.5370242214532872
CS_CELL,11161116,0.95,ALL,2571,1445,375,0,1624,572,375,0,1070,0,0.25951557093425603
CS_CELL,11161116,0.95,ANY,2571,1445,305,0,1804,462,305,0,1140,0,0.21107266435986158
CS_PROSE,11311131,0.8,ALL,9,6,0,0,0,9,0,0,0,6,0.0
CS_PROSE,11311131,0.8,ANY,9,6,1,0,5,3,1,0,5,0,0.16666666666666666
CS_PROSE,11311131,0.9,ALL,9,6,1,0,0,8,1,0,0,5,0.16666666666666666
CS_PROSE,11311131,0.9,ANY,9,6,1,0,5,3,1,0,5,0,0.16666666666666666
CS_PROSE,11311131,0.95,ALL,9,6,1,0,0,8,1,0,0,5,0.16666666666666666
CS_PROSE,11311131,0.95,ANY,9,6,0,0,6,3,0,0,6,0,0.0
CS_PROSE,11171117,0.8,ALL,9,6,0,0,0,9,0,0,0,6,0.0
CS_PROSE,11171117,0.8,ANY,9,6,1,0,5,3,1,0,5,0,0.16666666666666666
CS_PROSE,11171117,0.9,ALL,9,6,0,0,0,9,0,0,0,6,0.0
CS_PROSE,11171117,0.9,ANY,9,6,1,0,5,3,1,0,5,0,0.16666666666666666
CS_PROSE,11171117,0.95,ALL,9,6,1,0,0,8,1,0,0,5,0.16666666666666666
CS_PROSE,11171117,0.95,ANY,9,6,0,0,6,3,0,0,6,0,0.0
CS_PROSE,11161116,0.8,ALL,9,6,0,0,0,9,0,0,0,6,0.0
CS_PROSE,11161116,0.8,ANY,9,6,1,0,5,3,1,0,5,0,0.16666666666666666
CS_PROSE,11161116,0.9,ALL,9,6,1,0,0,8,1,0,0,5,0.16666666666666666
CS_PROSE,11161116,0.9,ANY,9,6,1,0,5,3,1,0,5,0,0.16666666666666666
CS_PROSE,11161116,0.95,ALL,9,6,1,0,0,8,1,0,0,5,0.16666666666666666
CS_PROSE,11161116,0.95,ANY,9,6,0,0,6,3,0,0,6,0,0.0
CS_ALL,11311131,0.8,ALL,2580,1451,640,0,236,1704,640,0,164,647,0.4410751206064783
CS_ALL,11311131,0.8,ANY,2580,1451,676,0,346,1558,676,0,239,536,0.4658855961405927
CS_ALL,11311131,0.9,ALL,2580,1451,823,0,853,904,823,0,623,5,0.5671950379048932
CS_ALL,11311131,0.9,ANY,2580,1451,743,0,988,849,743,0,708,0,0.5120606478290833
CS_ALL,11311131,0.95,ALL,2580,1451,449,0,1625,506,449,0,997,5,0.3094417643004824
CS_ALL,11311131,0.95,ANY,2580,1451,398,0,1786,396,398,0,1053,0,0.2742935906271537
CS_ALL,11171117,0.8,ALL,2580,1451,567,0,164,1849,567,0,164,720,0.3907649896623019
CS_ALL,11171117,0.8,ANY,2580,1451,568,0,239,1773,568,0,239,644,0.39145416953824946
CS_ALL,11171117,0.9,ALL,2580,1451,722,0,830,1028,722,0,623,106,0.49758787043418334
CS_ALL,11171117,0.9,ANY,2580,1451,678,0,1005,897,678,0,708,65,0.4672639558924879
CS_ALL,11171117,0.95,ALL,2580,1451,479,0,1521,580,479,0,967,5,0.3301171605789111
CS_ALL,11171117,0.95,ANY,2580,1451,373,0,1742,465,373,0,1078,0,0.2570640937284631
CS_ALL,11161116,0.8,ALL,2580,1451,567,0,164,1849,567,0,164,720,0.3907649896623019
CS_ALL,11161116,0.8,ANY,2580,1451,568,0,239,1773,568,0,239,644,0.39145416953824946
CS_ALL,11161116,0.9,ALL,2580,1451,802,0,748,1030,802,0,541,108,0.5527222605099931
CS_ALL,11161116,0.9,ANY,2580,1451,777,0,903,900,777,0,606,68,0.5354927636113026
CS_ALL,11161116,0.95,ALL,2580,1451,376,0,1624,580,376,0,1070,5,0.259131633356306
CS_ALL,11161116,0.95,ANY,2580,1451,305,0,1810,465,305,0,1146,0,0.2101998621640248
