panel,cadence,rule,n,turn_yr,c0_L_H1,c0_L_H2,c0_L_OOS,c0_L_DD,c0_L_CAGR,c0_pass4b,c0_CAGR,c0_MaxDD,c10_L_H1,c10_L_H2,c10_L_OOS,c10_L_DD,c10_L_CAGR,c10_pass4b,c10_CAGR,c10_MaxDD
U56,D,UNIF,20,239.00416213204772,0.0,0.0,0.0,0.85,0.0,0.15,0.13702105563553135,-0.222022827542894,1.0,1.0,1.0,1.0,1.0,0.0,-0.1046972781509425,-0.8702171374846086
U56,D,SWAP,20,26.98396834929948,0.0,0.0,0.0,1.0,0.0,0.0,0.1345413364141524,-0.2296682824201381,0.6,0.45,0.35,1.0,0.65,0.0,0.10434783473136407,-0.23172802484049168
U56,D,HOLD,20,25.485175448732193,0.0,0.05,0.0,0.95,0.0,0.05,0.1323768493975808,-0.22578539919885038,0.5,0.5,0.45,0.95,0.6,0.05,0.10387350920769614,-0.22853763671566818
U56,D,FIXED,20,1.640506131158085,0.05,0.05,0.0,0.9,0.15,0.05,0.1200923461982553,-0.2203806251431939,0.15,0.05,0.05,0.9,0.2,0.05,0.11825699591067632,-0.22076533642387366
U56,W,UNIF,20,49.80375773777136,0.0,0.0,0.0,1.0,0.0,0.0,0.1326376948846885,-0.22916115945799226,1.0,1.0,1.0,1.0,1.0,0.0,0.07759927587945478,-0.2385137498475131
U56,W,SWAP,20,10.99422387060584,0.0,0.15,0.05,0.95,0.0,0.05,0.1313038717080993,-0.23039224364645058,0.15,0.25,0.25,0.95,0.15,0.05,0.11893562337017456,-0.23196826358689032
U56,W,HOLD,20,10.629871666390724,0.0,0.0,0.0,0.8,0.0,0.2,0.13422877686299375,-0.22110873532241276,0.05,0.2,0.2,0.85,0.2,0.15,0.12223987026930276,-0.22239337957535615
U56,W,FIXED,20,0.7596406890794432,0.05,0.05,0.05,0.9,0.2,0.05,0.11902669857058715,-0.22232434945203736,0.15,0.05,0.05,0.9,0.2,0.05,0.1181768330398171,-0.2224916123740094
U56,M,UNIF,20,11.500987573579753,0.0,0.0,0.0,0.95,0.0,0.05,0.13347843283324043,-0.2295420333070453,0.15,0.1,0.05,0.95,0.1,0.0,0.12052378371378931,-0.23102915713158456
U56,M,SWAP,20,4.818497257685027,0.0,0.0,0.0,0.8,0.0,0.2,0.1326673005532754,-0.22081024488020712,0.0,0.1,0.05,0.8,0.1,0.2,0.12722716141955284,-0.22127411130272018
U56,M,HOLD,20,4.0794561293611,0.0,0.05,0.0,1.0,0.0,0.0,0.13308169408873768,-0.23623041185172772,0.0,0.05,0.05,1.0,0.0,0.0,0.1284731195710393,-0.23642517732492302
U56,M,FIXED,20,0.36660469836673854,0.15,0.05,0.05,0.9,0.2,0.05,0.11804612687682814,-0.21888870729417226,0.15,0.05,0.05,0.9,0.2,0.05,0.11763663784113336,-0.21893467303675845
U56,Q,UNIF,20,3.8906698008168528,0.0,0.0,0.0,0.85,0.0,0.15,0.1359026150656305,-0.22444084514963367,0.0,0.05,0.0,0.85,0.0,0.15,0.1314954919919377,-0.22471870765619215
U56,Q,SWAP,20,2.7706617713957042,0.0,0.0,0.0,0.65,0.0,0.35,0.14036998445196977,-0.21597007823007575,0.05,0.0,0.0,0.65,0.0,0.35,0.137217857540361,-0.21634428146113108
