estimator,cadence,leg,n_cell,mean_p,med_p,n_pin0,n_pin1,n_sole_kill
CANON,D,L1_H1,10,0.0,0.0,10,0,0
CANON,D,L2_H2,10,0.003,0.0,9,0,0
CANON,D,L3_OOS,10,0.026000000000000002,0.0,9,0,0
CANON,D,L4_DD,10,0.3,0.0,7,3,0
CANON,D,L5_CAGR,10,0.0,0.0,10,0,0
CANON,W,L1_H1,10,0.41833333333333333,0.22,4,2,0
CANON,W,L2_H2,10,0.35233333333333333,0.22333333333333333,4,2,0
CANON,W,L3_OOS,10,0.42833333333333334,0.3566666666666667,4,3,0
CANON,W,L4_DD,10,0.7073333333333334,0.9299999999999999,0,5,0
CANON,W,L5_CAGR,10,0.123,0.0,8,0,4
CANON,M,L1_H1,10,0.8873333333333335,0.995,0,5,0
CANON,M,L2_H2,10,0.8253333333333334,0.99,0,5,0
CANON,M,L3_OOS,10,0.8766666666666666,1.0,0,6,0
CANON,M,L4_DD,10,0.5349999999999999,0.56,2,4,2
CANON,M,L5_CAGR,10,0.556,0.49,2,1,2
CANON,Q,L1_H1,10,0.9673333333333332,1.0,0,6,0
CANON,Q,L2_H2,10,0.6343333333333333,0.53,0,4,0
CANON,Q,L3_OOS,10,0.7856666666666666,0.8466666666666667,0,4,0
CANON,Q,L4_DD,10,0.13966666666666666,0.058333333333333334,4,0,3
CANON,Q,L5_CAGR,10,0.3776666666666666,0.31,2,2,1
FPORT,D,L1_H1,10,0.0,0.0,10,0,0
FPORT,D,L2_H2,10,0.003,0.0,9,0,0
FPORT,D,L3_OOS,10,0.026000000000000002,0.0,9,0,0
FPORT,D,L4_DD,10,0.3,0.0,7,3,0
FPORT,D,L5_CAGR,10,0.0,0.0,10,0,0
FPORT,W,L1_H1,10,0.46299999999999997,0.315,5,4,0
FPORT,W,L2_H2,10,0.40266666666666673,0.17833333333333334,4,2,0
FPORT,W,L3_OOS,10,0.501,0.535,4,3,0
FPORT,W,L4_DD,10,0.765,1.0,2,7,2
FPORT,W,L5_CAGR,10,0.16899999999999998,0.0,8,0,3
FPORT,M,L1_H1,10,1.0,1.0,0,10,0
FPORT,M,L2_H2,10,0.8733333333333334,1.0,0,7,0
FPORT,M,L3_OOS,10,0.9833333333333334,1.0,0,8,0
FPORT,M,L4_DD,10,0.51,0.5416666666666666,3,5,2
FPORT,M,L5_CAGR,10,0.4726666666666667,0.36333333333333334,4,4,3
FPORT,Q,L1_H1,10,1.0,1.0,0,10,0
FPORT,Q,L2_H2,10,1.0,1.0,0,10,0
FPORT,Q,L3_OOS,10,1.0,1.0,0,10,0
FPORT,Q,L4_DD,10,0.337,0.0,6,2,5
FPORT,Q,L5_CAGR,10,0.8,1.0,2,8,1
