panel,ladder,chooser,pick,margin,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,CAGR,Sharpe,MaxDD,pass_4b_full,pass_4b_oos,pass_4a,L_H1,L_H2,L_OOS,L_DD,L_CAGR,O_S,O_DD,O_CAGR,A_H1,A_H2,A_DD
U56,N,C_ISSHARPE,40,0.010077615517875893,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,False,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,N,C_ISDD,40,0.013708304391296444,0.13996738679597365,1.0983460997969055,-0.2298418885359632,0.13457634739318403,1.126761290242574,-0.229841888535963,False,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,N,C_ISCAGR,5,0.023520488134305406,0.1706185380438232,0.9002767132439443,-0.2585359630563616,0.17827666701103606,0.9859644343185225,-0.25853596305636206,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,H,C_ISSHARPE,252,0.00965540547187227,0.1730763293628057,1.193101873569091,-0.2184352664199284,0.15883666876073566,1.164779855465909,-0.2184352664199286,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,H,C_ISDD,21,0.009795175535236456,0.15388681224346845,1.1166795464756156,-0.20241626421443537,0.14353247083583587,1.1152259223790748,-0.20241626421443515,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,H,C_ISCAGR,252,0.002657265328260827,0.1730763293628057,1.193101873569091,-0.2184352664199284,0.15883666876073566,1.164779855465909,-0.2184352664199286,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,GROSS,C_ISSHARPE,0.75,0.00010870912050653381,0.1696947758085483,1.1643314948267134,-0.19127568902302317,0.15578668168705812,1.139700973748421,-0.19127568902302328,True,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,GROSS,C_ISDD,0.3,0.00934348957780684,0.06711038275279413,1.1622160035760587,-0.0799033369848432,0.06176977027085084,1.1379126985991532,-0.07990333698484353,False,False,False,True,True,True,True,False,True,True,False,False,False,True
U56,GROSS,C_ISCAGR,0.75,0.009332335567530103,0.1696947758085483,1.1643314948267134,-0.19127568902302317,0.15578668168705812,1.139700973748421,-0.19127568902302328,True,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,CADENCE,C_ISSHARPE,W,0.00784413458759503,0.1696947758085483,1.1643314948267134,-0.19127568902302317,0.15578668168705812,1.139700973748421,-0.19127568902302328,True,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,CADENCE,C_ISDD,D,0.007450320617598871,0.1719911413770463,1.121963347986831,-0.2313086085733016,0.1541824575763988,1.0977079179818103,-0.23130860857330138,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,CADENCE,C_ISCAGR,W,0.006201106453944671,0.1696947758085483,1.1643314948267134,-0.19127568902302317,0.15578668168705812,1.139700973748421,-0.19127568902302328,True,True,False,True,True,True,True,True,True,True,True,False,False,False
B136,N,C_ISSHARPE,8,0.009369302261435175,0.1455591690419591,0.7866466863657643,-0.24535256443898168,0.1782211925038646,0.9883520420625724,-0.24535256443898135,False,False,False,True,False,False,False,True,False,False,True,True,False,False
B136,N,C_ISDD,30,0.0007983238369267953,0.1661079493963833,1.0695530808226905,-0.24354358049436964,0.1601345108161336,1.0981338933042264,-0.24354358049436975,False,False,False,True,True,True,False,True,True,False,True,True,True,False
B136,N,C_ISCAGR,5,0.018795664533841183,0.150259915145035,0.7686882215621813,-0.2812388100874458,0.18905908768145907,0.9776027635417431,-0.281238810087446,False,False,False,True,False,False,False,True,False,False,True,True,False,False
B136,H,C_ISSHARPE,63,0.0046360134424350274,0.16487229134834314,0.9960363388880005,-0.28694818362899355,0.1695140686096932,1.082336942583977,-0.2869481836289933,False,False,False,True,True,True,False,True,True,False,True,True,False,False
B136,H,C_ISDD,21,0.003247419789500161,0.15547309710536084,0.9966114494768078,-0.2569070436953067,0.16273672121545713,1.0848266176335637,-0.2569070436953068,False,False,False,True,True,True,False,True,True,False,True,True,False,False
B136,H,C_ISCAGR,63,0.0035585605592283187,0.16487229134834314,0.9960363388880005,-0.28694818362899355,0.1695140686096932,1.082336942583977,-0.2869481836289933,False,False,False,True,True,True,False,True,True,False,True,True,False,False
B136,GROSS,C_ISSHARPE,0.75,0.000332938823043083,0.16023726571201902,1.0100346106764955,-0.20740302267849475,0.16040704123612182,1.0634318900924733,-0.20740302267849475,False,False,False,True,True,True,False,True,True,False,True,True,False,False
B136,GROSS,C_ISDD,0.3,0.009800324617187939,0.06411548358053709,1.0054987279847747,-0.08672096624141135,0.06388483980525494,1.0594428126149014,-0.08672096624141135,False,False,False,True,True,True,True,False,True,True,False,True,False,True
B136,GROSS,C_ISCAGR,0.75,0.01084004186969545,0.16023726571201902,1.0100346106764955,-0.20740302267849475,0.16040704123612182,1.0634318900924733,-0.20740302267849475,False,False,False,True,True,True,False,True,True,False,True,True,False,False
B136,CADENCE,C_ISSHARPE,W,0.02047292148834412,0.16023726571201902,1.0100346106764955,-0.20740302267849475,0.16040704123612182,1.0634318900924733,-0.20740302267849475,False,False,False,True,True,True,False,True,True,False,True,True,False,False
B136,CADENCE,C_ISDD,D,0.007648003967920758,0.17050660867462075,0.9522190783873681,-0.283637731649679,0.1658275110791685,1.0108299798090135,-0.283637731649679,False,False,False,True,True,True,False,True,True,False,True,True,False,False
B136,CADENCE,C_ISCAGR,W,0.000439770274247131,0.16023726571201902,1.0100346106764955,-0.20740302267849475,0.16040704123612182,1.0634318900924733,-0.20740302267849475,False,False,False,True,True,True,False,True,True,False,True,True,False,False
