diag,panel,H,a,b,note
D1_leg_rates,U56,21,3.7390365802628076,0.4639320503235024,"mean pp of CAGR lost vs |MaxDD| gained, 0->50 bps"
D1_leg_rates,U56,63,2.3159863770840783,0.10982805092118403,"mean pp of CAGR lost vs |MaxDD| gained, 0->50 bps"
D1_leg_rates,U56,126,1.6620521195665001,0.1486591354449655,"mean pp of CAGR lost vs |MaxDD| gained, 0->50 bps"
D1_leg_rates,B136,21,4.689246982266725,0.5074794031746438,"mean pp of CAGR lost vs |MaxDD| gained, 0->50 bps"
D1_leg_rates,B136,63,2.8468521350225693,0.0681074408059448,"mean pp of CAGR lost vs |MaxDD| gained, 0->50 bps"
D1_leg_rates,B136,126,1.9081407895246247,0.2356176833751358,"mean pp of CAGR lost vs |MaxDD| gained, 0->50 bps"
D2_null_pass_rate,U56,21,0.0,0.05,gross-matched random-rank null 4b pass rate at this rung
D2_null_pass_rate,U56,21,5.0,0.05,gross-matched random-rank null 4b pass rate at this rung
D2_null_pass_rate,U56,21,10.0,0.025,gross-matched random-rank null 4b pass rate at this rung
D2_null_pass_rate,U56,21,15.0,0.0,gross-matched random-rank null 4b pass rate at this rung
D2_null_pass_rate,U56,21,20.0,0.0,gross-matched random-rank null 4b pass rate at this rung
D2_null_pass_rate,U56,21,25.0,0.0,gross-matched random-rank null 4b pass rate at this rung
D2_null_pass_rate,U56,21,30.0,0.0,gross-matched random-rank null 4b pass rate at this rung
D2_null_pass_rate,U56,21,40.0,0.0,gross-matched random-rank null 4b pass rate at this rung
D2_null_pass_rate,U56,21,50.0,0.0,gross-matched random-rank null 4b pass rate at this rung
D2_null_pass_rate,U56,21,75.0,0.0,gross-matched random-rank null 4b pass rate at this rung
D2_null_pass_rate,U56,21,100.0,0.0,gross-matched random-rank null 4b pass rate at this rung
D2_null_cstar,U56,21,9.0,63.0,"median null c* vs book c*, bps"
D3_bracket,U56,21,25.0,1.0,N=12; PROTOCOL 4b True
D3_bracket,U56,21,50.0,1.0,N=12; PROTOCOL 4b True
D3_bracket,U56,126,25.0,1.0,N=12; PROTOCOL 4b True
D3_bracket,U56,126,50.0,1.0,N=12; PROTOCOL 4b True
D3_bracket,B136,21,25.0,0.0,N=12; PROTOCOL 4b False
D3_bracket,B136,21,50.0,0.0,N=12; PROTOCOL 4b False
D3_bracket,B136,126,25.0,0.0,N=12; PROTOCOL 4b False
D3_bracket,B136,126,50.0,0.0,N=12; PROTOCOL 4b False
