legset,wstart,cost,kind,panel,book,gross,cadence,binding,rec_h1,rec_h2,disj_h1,disj_h2,spy_h1,spy_h2
REC5,2009-01-01,0.0,DESTROYED,U56,TOP5,0.5,W,L_H1,1.008944724810907,1.089753458756114,0.8010713337520501,1.1971095379026828,0.8377497662257906,1.0603122235597955
REC5,2009-01-01,0.0,DESTROYED,U56,TOP5,0.65,W,L_H1,1.0101125770072161,1.0918375098571689,0.8007139885516876,1.199394088763524,0.8377497662257906,1.0603122235597955
REC5,2009-01-01,0.0,DESTROYED,U56,TOP10,0.65,W,L_H1,1.0228201966377306,1.0322786519324245,0.6605084937099057,1.3068343256194797,0.8377497662257906,1.0603122235597955
REC5,2009-01-01,0.0,DESTROYED,U56,TOP10,0.75,W,L_H1,1.0233153734422344,1.0328675905828564,0.6603383643797998,1.3078127296202267,0.8377497662257906,1.0603122235597955
REC5,2009-01-01,0.0,CREATED,B136,TOP10,0.5,W,L_H2,1.2310391993252727,0.7978264761884378,0.9613879344730915,1.3873254661243857,0.837767650154543,1.0603721885256991
REC5,2009-01-01,0.0,CREATED,B136,TOP10,0.65,W,L_H2,1.2319948159549496,0.800349639571548,0.9615957895131678,1.388653770877675,0.837767650154543,1.0603721885256991
REC5,2009-01-01,5.0,DESTROYED,U56,TOP10,0.65,W,L_H1,0.9693960522991943,0.9864965197104446,0.6060063377170515,1.2555652353317868,0.8377497662257906,1.0603122235597955
REC5,2009-01-01,5.0,DESTROYED,U56,TOP10,0.75,W,L_H1,0.969948971176093,0.9871451342940165,0.6058966218889372,1.256603397153746,0.8377497662257906,1.0603122235597955
REC5,2009-01-01,5.0,DESTROYED,U56,TOP20,0.65,W,L_H1,1.1385780290621161,1.1299139302920833,0.800520999636069,1.3120066356543651,0.8377497662257906,1.0603122235597955
REC5,2009-01-01,5.0,DESTROYED,U56,TOP20,0.75,W,L_H1,1.1385839051729802,1.1300554559188498,0.8001764037075396,1.31231169591153,0.8377497662257906,1.0603122235597955
REC5,2009-01-01,10.0,DESTROYED,U56,TOP20,0.65,W,L_H1,1.0936596428878476,1.0905087532400037,0.7569773915636167,1.2649669257760436,0.8377497662257906,1.0603122235597955
REC5,2009-01-01,10.0,DESTROYED,U56,TOP20,0.75,W,L_H1,1.0937243021178327,1.090716772740829,0.7566955853335385,1.2653289148017208,0.8377497662257906,1.0603122235597955
REC5,2009-01-01,10.0,CREATED,B136,TOP20,0.65,W,L_H2,1.1408120197127312,0.7942428758446612,0.9976692822457947,1.1225133609984572,0.837767650154543,1.0603721885256991
REC5,2009-01-01,10.0,CREATED,B136,TOP20,0.75,W,L_H2,1.1417967928700368,0.7950108914174998,0.9982533602110496,1.1238307269350163,0.837767650154543,1.0603721885256991
REC5,2009-01-01,25.0,DESTROYED,U56,TOP20,0.75,W,L_H1,0.9588515505320659,0.9724901142242105,0.6259616112362787,1.1241640736431524,0.8377497662257906,1.0603122235597955
REC5,2009-01-01,50.0,DESTROYED,U56,TOP20,0.65,M,L_H1,1.0597285965677903,1.0614417885124994,0.7913927479564167,1.1112103141579592,0.8377497662257906,1.0603122235597955
REC5,2009-01-01,50.0,DESTROYED,U56,TOP20,0.75,M,L_H1,1.0614807095061076,1.062650719491735,0.7937162191651669,1.1125037783198424,0.8377497662257906,1.0603122235597955
REC5,2010-01-01,0.0,DESTROYED,U56,TOP10,0.65,W,L_H1,1.0228201966377306,1.0322786519324245,0.7859947630731277,1.2098620762110375,0.805175752810617,0.9465922474525762
REC5,2010-01-01,0.0,DESTROYED,U56,TOP10,0.75,W,L_H1,1.0233153734422344,1.0328675905828564,0.7861743668386555,1.2108113531396363,0.805175752810617,0.9465922474525762
